Category,States/ UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
State,Andhra Pradesh,82,2,734,19,928,36,1744,57,1801
State,Arunachal Pradesh,8,0,39,0,58,0,105,0,105
State,Assam,124,10,396,60,484,81,1004,151,1155
State,Bihar,14,0,140,3,1195,44,1349,47,1396
State,Chhattisgarh,64,0,808,39,647,18,1519,57,1576
State,Goa,5,0,36,0,34,1,75,1,76
State,Gujarat,50,10,726,50,1345,95,2121,155,2276
State,Haryana,7,0,301,12,1074,63,1382,75,1457
State,Himachal Pradesh,2,0,31,3,102,7,135,10,145
State,Jammu & Kashmir,11,4,0,0,0,0,11,4,15
State,Jharkhand,6,0,50,0,411,0,467,0,467
State,Karnataka,8,0,205,3,274,14,487,17,504
State,Kerala,3,1,119,5,490,12,612,18,630
State,Madhya Pradesh,284,25,2472,142,3285,199,6041,366,6407
State,Maharashtra,215,23,2071,121,3590,226,5876,370,6246
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,3,0,22,4,69,7,94,11,105
State,Mizoram,14,0,42,1,21,2,77,3,80
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,44,0,254,9,304,16,602,25,627
State,Punjab,13,3,47,0,42,0,102,3,105
State,Rajasthan,51,3,865,20,988,42,1904,65,1969
State,Sikkim,0,0,0,0,81,9,81,9,90
State,Tamil Nadu,13,3,265,12,527,20,805,35,840
State,Tripura,0,0,0,0,2,0,2,0,2
State,Uttar Pradesh,1,0,64,6,320,23,385,29,414
State,Uttarakhand,8,0,64,0,44,0,116,0,116
State,West Bengal,6,0,56,5,32,1,94,6,100
State,Total (States),1036,84,9807,514,16347,916,27190,1514,28704
Union Territory,A & N Islands,0,0,6,0,14,9,20,9,29
Union Territory,Chandigarh,3,1,46,1,64,0,113,2,115
Union Territory,D & N Haveli,1,0,5,0,5,0,11,0,11
Union Territory,Daman & Diu,0,0,3,0,11,0,14,0,14
Union Territory,Delhi,25,0,273,6,503,29,801,35,836
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,19,0,39,4,58,4,62
Union Territory,Total (UTs),29,1,352,7,636,42,1017,50,1067
Total (All-India),Total (All-India),1065,85,10159,521,16983,958,28207,1564,29771
