Category,States/ UTs,"Murder (Sec. 302,303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) -Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Others,"Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - Total","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Others",Dacoity (Sec. 395-398 IPC),Preparation and Assembly For Dacoity (Sec. 399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC) - Total,Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,"Riots (Sec. 143-145,147-151, 153, 153A,153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counterfeiting (Sec. 231-254,489A, 489D IPC)","Arson (Sec. 435, 436, 438 IPC)","Hurt (Sec. 323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog.Crimes Under IPC
State,andhra Pradesh,89.8,94,96.1,97.7,100,97.7,93.1,95.5,87,89.5,100,75.8,57.9,70.3,58.8,74.3,93.4,79.9,80.7,39.7,80.8,96.1,98.5,94.3,96.3,98.5,NA,87.4,93.1,88.3
State,Arunachal Pradesh,71.2,73.3,66.7,72.5,NA,72.5,59.5,71.7,39.3,60,NA,50.6,32.2,45.1,48.8,43.8,53.3,57.1,57.7,16.7,33.3,74.7,0,64.9,100,80,NA,58.2,62.9,56.9
State,Assam,80.7,69.4,75.9,80.7,NA,80.7,66,68.2,59.7,48.7,93.8,57.8,32.5,31.6,22,34,74.4,65.5,61.4,80.4,47.8,71.8,79.1,77.4,58.3,78.5,NA,74.5,64,58.9
State,Bihar,73.8,84.6,77.7,84.8,NA,84.8,79.4,78.7,79.8,61.3,94.8,54,34.5,40.4,33.4,42,87,74.7,77,77.5,75.6,87.2,88.1,89.9,100,86.4,96.4,71.1,76.4,73.5
State,Chhattisgarh,89.2,89.6,95.8,99.3,NA,99.3,87.7,90.2,80,64.2,100,72.3,35.8,40,32.3,43.8,94.3,80,87.3,69.5,54.5,97.6,99.1,98.9,95.5,99.1,NA,72.6,90.4,80.2
State,Goa,80,88.9,100,93.8,NA,93.8,30.8,40,25,80,NA,53.8,22.1,31.2,21.1,38.6,60.8,31.4,42.9,0,10.7,85.2,NA,81.8,75,90,NA,70.4,75,55.8
State,Gujarat,83.9,94.6,87.5,94.4,NA,94.4,82.9,81.3,89.1,68.9,100,57.5,31,31.8,20.8,40.1,97.2,78.8,80.1,12.9,77.8,96.6,90.5,98.3,86.5,99.4,NA,78.5,94.2,81.5
State,Haryana,84.3,90.2,100,98.4,NA,98.4,91.4,92.6,88.4,84.9,100,81.7,45.5,41.2,32.9,53.4,96.1,86,87,80,76.5,96.8,99.6,98.3,98.3,89,NA,74.9,87.4,74.4
State,Himachal Pradesh,84.5,98,91.7,96.3,NA,96.3,81.9,86.4,61.5,100,NA,52.4,34.5,34.8,24.1,38.4,97.8,77.5,88,83.3,45.5,95.8,100,98.9,90,99,NA,55.1,96,85.8
State,Jammu & Kashmir,57.4,60.3,87,96,NA,96,88.2,92.4,53.1,42.9,NA,75.2,27.8,63.5,29.4,74.2,95,83.1,83.5,98,41.9,96.5,87.5,97.7,100,99.2,NA,89.7,92.6,83.1
State,Jharkhand,76.4,90.9,79.5,92,NA,92,81.7,82.1,81,49.5,87.2,44.5,30.6,36.4,21.9,40.8,90.5,88.4,71.6,93.8,64.9,89.7,82,83.8,87.5,91.4,0,69,84.2,72.8
State,Karnataka,82.7,93.3,96.8,94.8,NA,94.8,78.8,71.1,87.4,73.1,99.6,62.9,39.7,43.7,33,50.5,89.6,66.6,84.1,17.2,54.9,97.3,92.6,97,100,94.6,NA,93.3,92.6,83.1
State,Kerala,99.4,93.3,96.8,96.6,NA,96.6,94,94.8,92.1,78,100,75.4,40.1,49.7,35.4,57.3,93.2,85.5,81,93.8,64.9,98.3,96.4,98,95.5,97.5,NA,95.5,95.2,90.6
State,Madhya Pradesh,89.9,95.5,94.8,98.5,NA,98.5,86.7,86.8,86.4,81.3,100,63.5,33.3,35.8,22.9,44.3,93,87.9,82.2,90.3,80.1,98.3,98.9,99.2,99.1,99.2,NA,85.6,94.5,84.8
State,Maharashtra,86.1,94.9,92.7,96.8,NA,96.8,83.3,84.8,79.3,81.2,99,66.5,37,36.6,26,40.8,94.6,73,65.9,33.9,67.7,95.8,99.7,98.2,98.1,99.1,NA,73.5,87.6,71.3
State,Manipur,10.7,4.9,25,20,NA,20,2.5,2,3.1,0,0,0,0,2.8,3.2,2.6,0,0,8.5,75,0,1.8,NA,0,NA,0,NA,NA,5,4.4
State,Meghalaya,55.4,57.9,100,76.2,NA,76.2,50,42.9,52.6,39.3,NA,34.1,23.5,32.1,20,33.8,84.6,41.7,68.3,66.7,28.6,65.3,33.3,92.6,NA,55.6,NA,64.7,65.1,50.2
State,Mizoram,68.2,78.3,100,97.5,NA,97.5,100,NA,100,100,NA,100,78.3,85.9,86.7,85.9,100,80,83.1,80,91.7,89.6,NA,91.2,NA,100,NA,97.2,90.3,85.6
State,Nagaland,34.2,75.5,50,85.7,NA,85.7,51.7,100,46.2,0,NA,33.3,35.7,48,38.6,54.4,0,77.8,46.2,37.5,60,87.2,NA,83.3,100,100,NA,77.3,53.6,49.2
State,Orissa,96.8,96.9,91.3,98.2,NA,98.2,92.3,92,93.8,93.1,95.7,81.6,52.9,60.9,44.9,66.1,95.5,95.3,89.8,93.3,71.6,94.7,97.7,98.3,98.2,97.7,100,88.8,94.6,87.7
State,Punjab,81.2,82.8,79.3,93.1,NA,93.1,66.2,63.4,72.9,73,97.9,87.2,43.2,56.4,53.4,58.9,33.3,81.2,81.4,92.9,69.4,84.4,96,81.9,80,82.3,NA,67.3,84.9,75.5
State,Rajasthan,87,97.3,95.6,99.3,NA,99.3,79.5,77.7,84.5,86.7,100,64.4,34.1,28.5,19.6,35.4,98,83.9,83.6,58.3,74.2,99.2,99.4,99.2,100,98.4,NA,88,93.5,81
State,Sikkim,100,100,100,100,NA,100,100,100,NA,NA,NA,40,45.8,67.4,83.3,66.3,84.6,100,100,100,0,89.3,NA,100,NA,66.7,NA,62.5,72.9,76.1
State,Tamil Nadu,94.6,98,96.2,98,NA,98,73.7,74.3,71.3,95.6,100,94.2,88.5,93.1,92,93.5,96.1,75.4,78.3,77.8,73.7,97.3,100,98.2,95.5,91.9,NA,89.7,93.4,93.2
