Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,316654,6591,232163,77900,24.6,12
State,Arunachal Pradesh,4057,1049,1821,1187,29.3,0.2
State,Assam,127415,23833,37358,66224,52,10.2
State,Bihar,314526,13848,188393,112285,35.7,17.3
State,Chhattisgarh,62755,648,58898,3209,5.1,0.5
State,Goa,4828,919,1786,2123,44,0.3
State,Gujarat,184510,43,169728,14739,8,2.3
State,Haryana,75634,0,69293,6341,8.4,1
State,Himachal Pradesh,22101,209,18068,3824,17.3,0.6
State,Jammu & Kashmir,33063,33,32932,98,0.3,0
State,Jharkhand,63319,2402,42457,18460,29.2,2.8
State,Karnataka,150997,3332,131399,16266,10.8,2.5
State,Kerala,179154,113,149406,29635,16.5,4.6
State,Madhya Pradesh,332366,11,329263,3092,0.9,0.5
State,Maharashtra,358477,4830,272888,80759,22.5,12.4
State,Manipur,2959,1350,93,1516,51.2,0.2
State,Meghalaya,4810,340,896,3574,74.3,0.5
State,Mizoram,3619,59,2595,965,26.7,0.1
State,Nagaland,1636,39,689,908,55.5,0.1
State,Orissa,92517,560,78314,13643,14.7,2.1
State,Punjab,72939,2407,44045,26487,36.3,4.1
State,Rajasthan,184557,2,183575,980,0.5,0.2
State,Sikkim,961,108,468,385,40.1,0.1
State,Tamil Nadu,237423,5715,192604,39104,16.5,6
State,Tripura,5696,717,3905,1074,18.9,0.2
State,Uttar Pradesh,268942,31918,210722,26302,9.8,4
State,Uttarakhand,17825,1756,12219,3850,21.6,0.6
State,West Bengal,167000,16069,93532,57399,34.4,8.8
State,Total (States),3290740,118901,2559510,612329,18.6,94.2
Union Territory,A & N Islands,1454,0,956,498,34.3,0.1
Union Territory,Chandigarh,3823,264,2058,1501,39.3,0.2
Union Territory,D & N Haveli,559,6,399,154,27.5,0
Union Territory,Daman & Diu,546,13,354,179,32.8,0
Union Territory,Delhi,81693,6340,41117,34236,41.9,5.3
Union Territory,Lakshadweep,172,0,17,155,90.1,0
Union Territory,Puducherry,8092,3,7059,1030,12.7,0.2
Union Territory,Total (UTs),96339,6626,51960,37753,39.2,5.8
Total (All-India),Total (All-India),3387079,125527,2611470,650082,19.2,100
