Category,States/ UTs/ Cities,No. of Incest (Rape) Cases Reported,No. of Victims of Incest (Rape) - Upto 10 Years,No. of Victims of Incest (Rape) - 10 - 14 Years,No. of Victims of Incest (Rape) - 14 - 18 Years,No. of Victims of Incest (Rape) - 18 - 30 Years,No. of Victims of Incest (Rape) - 30 - 50 Years,No. of Victims of Incest (Rape) - Above 50 Years,No. of Victims of Incest (Rape) - Total Victims,No. of Other (Rape) Cases Reported,No. of Victims of Other (Rape) - Upto 10 Years,No. of Victims of Other (Rape) - 10 - 14 Years,No. of Victims of Other (Rape) - 14 - 18 Years,No. of Victims of Other (Rape) - 18 - 30 Years,No. of Victims of Other (Rape) - 30 - 50 Years,No. of Victims of Other (Rape) - Above 50 Years,No. of Victims of Other (Rape) - Total Victims,No. of Rape Cases (Total) Reported,No. of Victims of Rape Cases (Total) - Upto 10 Years,No. of Victims of Rape Cases (Total) - 10 - 14 Years,No. of Victims of Rape Cases (Total) - 14 - 18 Years,No. of Victims of Rape Cases (Total) - 18 - 30 Years,No. of Victims of Rape Cases (Total) - 30 - 50 Years,No. of Victims of Rape Cases (Total) - Above 50 Years,No. of Victims of Rape Cases (Total) - Total Victims
State,Andhra Pradesh,7,0,0,4,3,0,0,7,1063,52,110,197,569,128,7,1063,1070,52,110,201,572,128,7,1070
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,48,1,0,0,42,5,0,48,48,1,0,0,42,5,0,48
State,Assam,1,0,0,1,0,0,0,1,1436,0,0,39,898,485,14,1436,1437,0,0,40,898,485,14,1437
State,Bihar,2,0,2,0,0,0,0,2,1553,9,26,79,1186,253,0,1553,1555,9,28,79,1186,253,0,1555
State,Chhattisgarh,63,2,10,31,14,6,0,63,919,30,107,188,486,95,13,919,982,32,117,219,500,101,13,982
State,Goa,1,0,0,1,0,0,0,1,19,4,4,6,4,1,0,19,20,4,4,7,4,1,0,20
State,Gujarat,3,1,0,1,0,1,0,3,313,17,30,50,180,36,1,314,316,18,30,51,180,37,1,317
State,Haryana,3,0,2,0,1,0,0,3,485,17,24,79,321,41,3,485,488,17,26,79,322,41,3,488
State,Himachal Pradesh,2,1,0,0,0,1,0,2,157,10,19,46,58,22,2,157,159,11,19,46,58,23,2,159
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,288,0,5,10,176,97,0,288,288,0,5,10,176,97,0,288
State,Jharkhand,0,0,0,0,0,0,0,0,855,0,15,8,639,188,5,855,855,0,15,8,639,188,5,855
State,Karnataka,2,0,0,1,1,0,0,2,434,20,32,31,296,48,7,434,436,20,32,32,297,48,7,436
State,Kerala,21,1,5,4,11,0,0,21,491,22,40,111,251,63,5,492,512,23,45,115,262,63,5,513
State,Madhya Pradesh,49,1,7,23,14,4,0,49,2961,63,280,669,1385,521,43,2961,3010,64,287,692,1399,525,43,3010
State,Maharashtra,40,4,5,9,13,9,0,40,1411,95,120,384,646,159,13,1417,1451,99,125,393,659,168,13,1457
State,Manipur,1,1,0,0,0,0,0,1,19,1,2,0,14,2,0,19,20,2,2,0,14,2,0,20
State,Meghalaya,9,2,0,1,6,0,0,9,73,22,12,18,30,2,0,84,82,24,12,19,36,2,0,93
State,Mizoram,2,1,0,0,0,0,1,2,81,22,23,18,10,7,1,81,83,23,23,18,10,7,2,83
State,Nagaland,1,0,0,1,0,0,0,1,12,0,0,2,6,4,0,12,13,0,0,3,6,4,0,13
State,Orissa,0,0,0,0,0,0,0,0,939,9,41,42,659,188,0,939,939,9,41,42,659,188,0,939
State,Punjab,7,0,0,6,1,0,0,7,512,26,38,65,301,79,3,512,519,26,38,71,302,79,3,519
State,Rajasthan,42,3,7,13,15,3,1,42,1196,38,72,273,624,184,7,1198,1238,41,79,286,639,187,8,1240
State,Sikkim,4,3,0,1,0,0,0,4,20,7,3,4,5,1,0,20,24,10,3,5,5,1,0,24
State,Tamil Nadu,2,1,0,1,0,0,0,2,521,19,41,88,346,35,1,530,523,20,41,89,346,35,1,532
State,Tripura,0,0,0,0,0,0,0,0,157,3,14,16,113,11,0,157,157,3,14,16,113,11,0,157
State,Uttar Pradesh,1,1,0,0,0,0,0,1,1647,12,109,349,910,267,0,1647,1648,13,109,349,910,267,0,1648
State,Uttarakhand,8,0,2,4,2,0,0,8,109,1,7,3,72,26,0,109,117,1,9,7,74,26,0,117
State,West Bengal,114,3,2,3,81,25,0,114,1992,11,40,33,1397,506,5,1992,2106,14,42,36,1478,531,5,2106
State,Total (States),385,25,42,105,162,49,2,385,19711,511,1214,2808,11624,3454,130,19741,20096,536,1256,2913,11786,3503,132,20126
