Category,State/UT,Estimated Mid Year Population(In Lakhs)#,"Murder(Sec. 302,303 IPC) - (I)","Murder(Sec. 302,303 IPC) - ( R)","Murder(Sec. 302,303 IPC) - (P)",Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - ( R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction(Sec.363-369,371-373 IPC) - (I)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - ( R)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - (P)",Dacoity(Sec. 395-398 IPC) - (I),Dacoity(Sec. 395-398 IPC) - ( R),Dacoity(Sec. 395-398 IPC) - (P),"Robbery(Sec. 392-394,397,398 IPC) - (I)","Robbery(Sec. 392-394,397,398 IPC) - ( R)","Robbery(Sec. 392-394,397,398 IPC) - (P)","Arson(Sec. 435,436,438 IPC) - (I)","Arson(Sec. 435,436,438 IPC) - ( R)","Arson(Sec. 435,436,438 IPC) - (P)","Hurt(Sec. 323-333,335-338 IPC) - (I)","Hurt(Sec. 323-333,335-338 IPC) - ( R)","Hurt(Sec. 323-333,335-338 IPC) - (P)",Prot.Of Civil Rights Act(1955) - (I),Prot.Of Civil Rights Act(1955) - ( R),Prot.Of Civil Rights Act(1955) - (P),SC/ST Prev.Of Attrocities Act(1989) - (I),SC/ST Prev.Of Attrocities Act(1989) - ( R),SC/ST Prev.Of Attrocities Act(1989) - (P),Other Offences - (I),Other Offences - ( R),Other Offences - (P),Total - (I),Total - ( R),Total - (P)
State,West Bengal,871.8,0,0,0,1,0,0.2,1,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.2,0,0,0,5,0,0.1
State,Total (States),11167.97,140,0,100,625,0.1,99.7,87,0,97.8,9,0,100,21,0,100,54,0,100,854,0.1,99.9,5,0,100,1104,0.1,100,2625,0.2,99.9,5524,0.5,99.9
Union Territory,A & N Islands,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,1,0.2,0
Union Territory,Chandigarh,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,2.6,0,0,0,0,0,0,2,0.8,2.2,0,0,0,0,0,0,0,0,0,1,0.4,0.1,0,0,0,0,0,0,0,0,0,3,1.2,0.1
Union Territory,Daman & Diu,1.8,0,0,0,1,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,0.1,3,1.6,0.1
Union Territory,Delhi,167.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0.7,0,0,0,1,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0
Union Territory,Puducherry,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),197.56,0,0,0,2,0,0.3,2,0,2.2,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,3,0,0.1,8,0,0.1
All India,Total (All India),11365.53,140,0,100,627,0.1,100,89,0,100,9,0,100,21,0,100,54,0,100,855,0.1,100,5,0,100,1104,0.1,100,2628,0.2,100,5532,0.5,100
