Category,States/ UTs,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to Total
State,Andhra Pradesh,216760,19416,236176,8.2
State,Arunachal Pradesh,2441,37,2478,1.5
State,Assam,58030,1372,59402,2.3
State,Bihar,212397,7498,219895,3.4
State,Chhattisgarh,57430,2809,60239,4.7
State,Goa,2446,173,2619,6.6
State,Gujarat,155838,13606,169444,8
State,Haryana,67430,3316,70746,4.7
State,Himachal Pradesh,17416,2182,19598,11.1
State,Jammu & Kashmir,30684,2252,32936,6.8
State,Jharkhand,44342,2147,46489,4.6
State,Karnataka,123327,10727,134054,8
State,Kerala,143682,5435,149117,3.6
State,Madhya Pradesh,313717,15563,329280,4.7
State,Maharashtra,264712,26601,291313,9.1
State,Manipur,1231,75,1306,5.7
State,Meghalaya,1517,40,1557,2.6
State,Mizoram,1984,78,2062,3.8
State,Nagaland,760,35,795,4.4
State,Orissa,76603,4271,80874,5.3
State,Punjab,43781,3261,47042,6.9
State,Rajasthan,170933,12881,183814,7
State,Sikkim,593,30,623,4.8
State,Tamil Nadu,188703,12669,201372,6.3
State,Tripura,4135,443,4578,9.7
State,Uttar Pradesh,240332,6489,246821,2.6
State,Uttarakhand,13517,956,14473,6.6
State,West Bengal,102236,7442,109678,6.8
State,Total (States),2556977,161804,2718781,6
Union Territory,A & N Islands,966,99,1065,9.3
Union Territory,Chandigarh,2730,116,2846,4.1
Union Territory,D & N Haveli,405,8,413,1.9
Union Territory,Daman & Diu,364,29,393,7.4
Union Territory,Delhi,47909,2835,50744,5.6
Union Territory,Lakshadweep,26,0,26,0
Union Territory,Puducherry,6007,284,6291,4.5
Union Territory,Total (UTs),58407,3371,61778,5.5
Total (All-India),Total (All-India),2615384,165175,2780559,5.9
