Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,723243,335,716727,6181,0.9,2.5
State,Arunachal Pradesh,94,16,47,31,33,0
State,Assam,11875,1363,2366,8146,68.6,3.4
State,Bihar,24053,582,14175,9296,38.6,3.8
State,Chhattisgarh,220922,2,219328,1592,0.7,0.7
State,Goa,3802,36,3398,368,9.7,0.2
State,Gujarat,252489,5,233222,19262,7.6,7.9
State,Haryana,26718,0,25451,1267,4.7,0.5
State,Himachal Pradesh,6440,17,5240,1183,18.4,0.5
State,Jammu & Kashmir,3850,109,3709,32,0.8,0
State,Jharkhand,6226,19,4186,2021,32.5,0.8
State,Karnataka,42876,537,39190,3149,7.3,1.3
State,Kerala,109479,14951,88391,6137,5.6,2.5
State,Madhya Pradesh,232925,0,232721,204,0.1,0.1
State,Maharashtra,226789,239,163461,63089,27.8,26
State,Manipur,1762,807,68,887,50.3,0.4
State,Meghalaya,515,38,73,404,78.4,0.2
State,Mizoram,1370,0,1189,181,13.2,0.1
State,Nagaland,832,304,293,235,28.2,0.1
State,Orissa,16225,12,15046,1167,7.2,0.5
State,Punjab,38682,281,21745,16656,43.1,6.9
State,Rajasthan,48998,0,48919,79,0.2,0
State,Sikkim,293,3,200,90,30.7,0
State,Tamil Nadu,596952,222270,308906,65776,11,27.1
State,Tripura,218,17,150,51,23.4,0
State,Uttar Pradesh,1510002,10041,1487973,11988,0.8,4.9
State,Uttarakhand,142077,127,141287,663,0.5,0.3
State,West Bengal,20443,587,10151,9705,47.5,4
State,Total (States),4270150,252698,3787612,229840,5.4,94.7
Union Territory,A & N Islands,7780,0,6881,899,11.6,0.4
Union Territory,Chandigarh,1448,4,996,448,30.9,0.2
Union Territory,D & N Haveli,38,0,22,16,42.1,0
Union Territory,Daman & Diu,65,0,0,65,100,0
Union Territory,Delhi,37077,193,25580,11304,30.5,4.7
Union Territory,Lakshadweep,20,0,5,15,75,0
Union Territory,Puducherry,1750,11,1657,82,4.7,0
Union Territory,Total (UTs),48178,208,35141,12829,26.6,5.3
Total (All-India),Total (All-India),4318328,252906,3822753,242669,5.6,100
