Sl. No.,Category,State/ut/city,2002,2003,2004,2005,2006,"Quinquennial Average (2002-2006)
(Q.A.)@",2007,Percentage Change in 2007 [(+) Increase (-) Decrease] over - Qa,Percentage Change in 2007 [(+) Increase (-) Decrease] over - 2006
1,State,Andhra Pradesh,143610,156951,158756,157123,173909,158070,175087,10.8,0.7
2,State,Arunachal Pradesh,2228,2061,2256,2304,2294,2229,2286,2.6,-0.3
3,State,Assam,36346,38195,40675,42006,43673,40179,45282,12.7,3.7
4,State,Bihar,94040,92263,108060,97850,100665,98576,109420,11,8.7
5,State,Chhattisgarh,37950,38449,41927,43633,45177,41427,45845,10.7,1.5
6,State,Goa,2440,2244,2127,2119,2204,2227,2479,11.3,12.5
7,State,Gujarat,106675,103709,105469,113414,120972,110048,123195,11.9,1.8
8,State,Haryana,40152,38612,39096,42664,50509,42207,51597,22.2,2.2
9,State,Himachal Pradesh,12243,12011,12326,12345,13093,12404,14222,14.7,8.6
10,State,Jammu & Kashmir,19967,21233,21191,20115,20787,20659,21443,3.8,3.2
11,State,Jharkhand,31439,32203,31439,35175,36364,33324,38489,15.5,5.8
12,State,Karnataka,113699,112405,114440,117580,117710,115167,120606,4.7,2.5
13,State,Kerala,104200,98824,104025,104350,105255,103331,108530,5,3.1
14,State,Madhya Pradesh,191799,191078,196867,189172,194711,192725,202386,5,3.9
15,State,Maharashtra,165462,164306,176302,187027,191788,176977,195707,10.6,2
16,State,Manipur,2584,2537,2535,2913,2884,2691,3259,21.1,13
17,State,Meghalaya,1664,1669,1757,1880,1935,1781,2079,16.7,7.4
18,State,Mizoram,2820,3456,1515,2156,2073,2404,2083,-13.4,0.5
19,State,Nagaland,1114,976,984,1049,1103,1045,1180,12.9,7
20,State,Orissa,47728,47281,48739,51685,52792,49645,54872,10.5,3.9
21,State,Punjab,28794,28756,25630,27136,32068,28477,35793,25.7,11.6
22,State,Rajasthan,151248,145579,154859,140917,141992,146919,148870,1.3,4.8
23,State,Sikkim,485,443,631,552,703,563,667,18.5,-5.1
24,State,Tamil Nadu,166942,157186,166606,162360,148972,160413,172754,7.7,16
25,State,Tripura,3075,3514,3081,3356,3940,3393,4273,25.9,8.5
26,State,Uttar Pradesh,146037,95073,130181,122108,127001,124080,150258,21.1,18.3
27,State,Uttarakhand,7976,7923,8634,8033,8412,8196,9599,17.1,14.1
28,State,West Bengal,58962,61174,69350,66406,68052,64789,81102,25.2,19.2
State,State,Total (States),1721679,1660111,1769458,1757428,1811038,1743943,1923363,10.3,6.2
29,Union Territory,A & N Islands,608,644,748,682,676,672,807,20.2,19.4
30,Union Territory,Chandigarh,3806,2806,2889,3133,3126,3152,3643,15.6,16.5
31,Union Territory,D & N Haveli,349,338,409,434,435,393,425,8.1,-2.3
32,Union Territory,Daman & Diu,261,269,198,243,288,252,260,3.3,-9.7
33,Union Territory,Delhi,49137,47404,53623,56065,57963,52838,56065,6.1,-3.3
34,Union Territory,Lakshadweep,53,31,70,42,80,55,56,1.4,-30
35,Union Territory,Puducherry,4437,4517,4620,4575,4687,4567,5054,10.7,7.8
Union Territory,Union Territory,Total (UTs),58651,56009,62557,65174,67255,61929,66310,7.1,-1.4
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),1780330,1716120,1832015,1822602,1878293,1805872,1989673,10.2,5.9
36,City,Agra,5617,2227,3442,3248,4410,3789,4304,13.6,-2.4
37,City,Ahmedabad,14479,16199,17553,17468,19238,16987,17310,1.9,-10
38,City,Allahabad,1838,1072,1551,1564,1589,1523,1706,12,7.4
39,City,Amritsar,1077,1143,1204,931,1295,1130,2142,89.6,65.4
40,City,Asansol,363,1327,1062,1217,1699,1134,1491,31.5,-12.2
41,City,Bengaluru,29120,29260,28526,29042,26284,28446,27049,-4.9,2.9
42,City,Bhopal,11166,11780,12268,8092,10468,10755,11069,2.9,5.7
43,City,Chennai,8526,8580,12436,20127,16168,13167,16508,25.4,2.1
44,City,Coimbatore,3226,3187,3831,3845,3974,3613,3924,8.6,-1.3
45,City,Delhi (city),44158,41961,48677,51010,53007,47763,50895,6.6,-4
46,City,Dhanbad,3242,1929,1726,1758,1577,2046,1331,-35,-15.6
47,City,Faridabad,4305,3987,3148,3153,4682,3855,4520,17.3,-3.5
48,City,Hyderabad,14413,20252,18868,17276,17295,17621,17391,-1.3,0.6
49,City,Indore,11678,12286,11935,12556,12605,12212,12992,6.4,3.1
50,City,Jabalpur,6735,6990,6395,6082,6244,6489,6543,0.8,4.8
51,City,Jaipur,11758,11579,13224,11790,13877,12446,14102,13.3,1.6
52,City,Jamshedpur,2405,2550,2203,2538,2624,2464,2767,12.3,5.4
53,City,Kanpur,5908,3618,4526,3718,4736,4501,8008,77.9,69.1
54,City,Kochi,6524,6829,6756,5930,5699,6348,6602,4,15.8
55,City,Kolkata,10663,10714,10757,9391,9381,10181,10901,7.1,16.2
56,City,Lucknow,6954,4277,6300,6147,6772,6090,8468,39,25
57,City,Ludhiana,5245,4256,2551,2541,2817,3482,3075,-11.7,9.2
58,City,Madurai,3689,3253,3164,3384,2464,3191,2325,-27.1,-5.6
