Category,State/UT/City,Estimated Mid-YearPopulation (In Lakhs)#,Rape(Sec. 376 IPC) (I),Rape(Sec. 376 IPC) ( R),Rape(Sec. 376 IPC) (P),"Kidnapping & Abduction(Sec.363-369,371-373 IPC) (I)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) ( R)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) (P)",Dowry Deaths(Sec.304B IPC) (I),Dowry Deaths(Sec.304B IPC) ( R),Dowry Deaths(Sec.304B IPC) (P),Cruelty By Husband And Relatives(Sec.498A IPC) (I),Cruelty By Husband And Relatives(Sec.498A IPC) ( R),Cruelty By Husband And Relatives(Sec.498A IPC) (P),Molestation(Sec.354 IPC) (I),Molestation(Sec.354 IPC) ( R),Molestation(Sec.354 IPC) (P),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) (I),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) ( R),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) (P),Importation of Girls(Sec.366B IPC) (I),Importation of Girls(Sec.366B IPC) ( R),Importation of Girls(Sec.366B IPC) (P),"Sati PreventionAct, 1987 (I)","Sati PreventionAct, 1988 ( R)","Sati PreventionAct, 1989 (P)","Immoral Traffic (P) Act, 1956 (I)","Immoral Traffic (P) Act, 1957 ( R)","Immoral Traffic (P) Act, 1958 (P)","Indecent Representation of Women (P) Act, 1986 (I)","Indecent Representation of Women (P) Act, 1987 ( R)","Indecent Representation of Women (P) Act, 1988 (P)","Dowry Prohibition Act, 1961 (I)","Dowry Prohibition Act, 1962 ( R)","Dowry Prohibition Act, 1963 (P)",Total (I),Total ( R),Total (P)
State,Andhra Pradesh,816.02,1070,1.3,5.2,1564,1.9,7.7,613,0.8,7.6,11335,13.9,14.9,4406,5.4,11.4,3316,4.1,30.3,0,0,0,0,0,0,612,0.7,17.2,1005,1.2,83.8,817,1,14.5,24738,30.3,13.3
State,Arunachal Pradesh,11.9,48,4,0.2,44,3.7,0.2,0,0,0,20,1.7,0,72,6.1,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,15.5,0.1
State,Assam,296.22,1437,4.9,6.9,1471,5,7.2,100,0.3,1.2,3000,10.1,4,789,2.7,2,10,0,0.1,0,0,0,0,0,0,21,0.1,0.6,0,0,0,16,0.1,0.3,6844,23.1,3.7
State,Bihar,928.32,1555,1.7,7.5,1260,1.4,6.2,1172,1.3,14.5,1635,1.8,2.2,853,0.9,2.2,12,0,0.1,56,0.1,91.8,0,0,0,27,0,0.8,0,0,0,978,1.1,17.4,7548,8.1,4.1
State,Chhattisgarh,233.85,982,4.2,4.7,181,0.8,0.9,100,0.4,1.2,824,3.5,1.1,1549,6.6,4,111,0.5,1,0,0,0,0,0,0,14,0.1,0.4,0,0,0,14,0.1,0.2,3775,16.1,2
State,Goa,15.96,20,1.3,0.1,7,0.4,0,2,0.1,0,14,0.9,0,20,1.3,0.1,7,0.4,0.1,0,0,0,0,0,0,10,0.6,0.3,0,0,0,0,0,0,80,5,0
State,Gujarat,558.79,316,0.6,1.5,1089,1.9,5.3,42,0.1,0.5,5827,10.4,7.7,822,1.5,2.1,120,0.2,1.1,0,0,0,0,0,0,44,0.1,1.2,0,0,0,0,0,0,8260,14.8,4.5
State,Haryana,235.3,488,2.1,2.4,554,2.4,2.7,269,1.1,3.3,2412,10.3,3.2,417,1.8,1.1,409,1.7,3.7,0,0,0,0,0,0,88,0.4,2.5,0,0,0,8,0,0.1,4645,19.7,2.5
State,Himachal Pradesh,65.09,159,2.4,0.8,150,2.3,0.7,8,0.1,0.1,342,5.3,0.5,322,4.9,0.8,33,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.1,1018,15.6,0.5
State,Jammu & Kashmir,121.03,288,2.4,1.4,707,5.8,3.5,9,0.1,0.1,176,1.5,0.2,986,8.1,2.5,353,2.9,3.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2521,20.8,1.4
State,Jharkhand,297.34,855,2.9,4.1,534,1.8,2.6,303,1,3.7,801,2.7,1.1,342,1.2,0.9,15,0.1,0.1,0,0,0,0,0,0,14,0,0.4,0,0,0,453,1.5,8.1,3317,11.2,1.8
State,Karnataka,569.82,436,0.8,2.1,390,0.7,1.9,251,0.4,3.1,2507,4.4,3.3,1828,3.2,4.7,28,0,0.3,0,0,0,0,0,0,612,1.1,17.2,0,0,0,517,0.9,9.2,6569,11.5,3.5
State,Kerala,340.12,512,1.5,2.5,177,0.5,0.9,27,0.1,0.3,3999,11.8,5.3,2624,7.7,6.8,262,0.8,2.4,0,0,0,0,0,0,201,0.6,5.6,26,0.1,2.2,9,0,0.2,7837,23,4.2
State,Madhya Pradesh,684.55,3010,4.4,14.5,701,1,3.4,742,1.1,9.2,3294,4.8,4.3,6772,9.9,17.5,780,1.1,7.1,0,0,0,0,0,0,19,0,0.5,0,0,0,52,0.1,0.9,15370,22.5,8.3
State,Maharashtra,1059.69,1451,1.4,7,967,0.9,4.7,436,0.4,5.4,7356,6.9,9.7,3306,3.1,8.5,1039,1,9.5,0,0,0,0,0,0,322,0.3,9,2,0,0.2,45,0,0.8,14924,14.1,8.1
State,Manipur,26.05,20,0.8,0.1,83,3.2,0.4,0,0,0,15,0.6,0,70,2.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,7.2,0.1
State,Meghalaya,25.15,82,3.3,0.4,22,0.9,0.1,2,0.1,0,19,0.8,0,45,1.8,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,6.8,0.1
State,Mizoram,9.72,83,8.5,0.4,0,0,0,0,0,0,2,0.2,0,66,6.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,15.5,0.1
State,Nagaland,21.69,13,0.6,0.1,6,0.3,0,0,0,0,0,0,0,8,0.4,0,1,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,0,0,0,32,1.5,0
State,Orissa,396.21,939,2.4,4.5,660,1.7,3.2,461,1.2,5.7,728,1.8,1,2775,7,7.2,241,0.6,2.2,0,0,0,0,0,0,40,0.1,1.1,0,0,0,1460,3.7,26,7304,18.4,3.9
State,Punjab,263.89,519,2,2.5,545,2.1,2.7,133,0.5,1.6,971,3.7,1.3,427,1.6,1.1,48,0.2,0.4,0,0,0,0,0,0,45,0.2,1.3,0,0,0,6,0,0.1,2694,10.2,1.5
State,Rajasthan,639.1,1238,1.9,6,1694,2.7,8.3,439,0.7,5.4,8170,12.8,10.8,2477,3.9,6.4,28,0,0.3,0,0,0,0,0,0,91,0.1,2.6,131,0.2,10.9,2,0,0,14270,22.3,7.7
State,Sikkim,5.89,24,4.1,0.1,9,1.5,0,0,0,0,7,1.2,0,13,2.2,0,0,0,0,0,0,0,0,0,0,2,0.3,0.1,0,0,0,0,0,0,55,9.3,0
State,Tamil Nadu,660.23,523,0.8,2.5,1097,1.7,5.4,208,0.3,2.6,1976,3,2.6,1540,2.3,4,875,1.3,8,0,0,0,0,0,0,1199,1.8,33.6,25,0,2.1,368,0.6,6.5,7811,11.8,4.2
State,Tripura,34.81,157,4.5,0.8,81,2.3,0.4,36,1,0.4,545,15.7,0.7,244,7,0.6,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,30.7,0.6
State,Uttar Pradesh,1885.41,1648,0.9,7.9,3363,1.8,16.5,2076,1.1,25.7,7650,4.1,10.1,2522,1.3,6.5,2882,1.5,26.3,0,0,0,0,0,0,49,0,1.4,0,0,0,803,0.4,14.3,20993,11.1,11.3
State,Uttarakhand,94.04,117,1.2,0.6,227,2.4,1.1,70,0.7,0.9,463,4.9,0.6,146,1.6,0.4,63,0.7,0.6,0,0,0,0,0,0,9,0.1,0.3,0,0,0,2,0,0,1097,11.7,0.6
State,West Bengal,871.78,2106,2.4,10.2,1590,1.8,7.8,451,0.5,5.6,9900,11.4,13,2281,2.6,5.9,99,0.1,0.9,5,0,8.2,0,0,0,62,0.1,1.7,10,0,0.8,40,0,0.7,16544,19,8.9
State,Total (States),11167.97,20096,1.8,96.9,19173,1.7,93.9,7950,0.7,98.2,73988,6.6,97.4,37722,3.4,97.4,10738,1,98.1,61,0,100,0,0,0,3487,0.3,97.7,1199,0.1,99.9,5595,0.5,99.5,180009,16.1,97.1
Union Territory,A & N Islands,4.05,3,0.7,0,9,2.2,0,1,0.2,0,18,4.4,0,21,5.2,0.1,2,0.5,0,0,0,0,0,0,0,1,0.2,0,0,0,0,1,0.2,0,56,13.8,0
Union Territory,Chandigarh,10.46,22,2.1,0.1,46,4.4,0.2,1,0.1,0,112,10.7,0.1,32,3.1,0.1,11,1.1,0.1,0,0,0,0,0,0,5,0.5,0.1,1,0.1,0.1,0,0,0,230,22,0.1
Union Territory,D & N Haveli,2.57,7,2.7,0,6,2.3,0,0,0,0,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.1,0,0,0,0,0,0,18,7,0
Union Territory,Daman & Diu,1.84,1,0.5,0,1,0.5,0,1,0.5,0,3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.7,0.1,0,0,0,0,0,0,11,6,0
Union Territory,Delhi,167.33,598,3.6,2.9,1167,7,5.7,138,0.8,1.7,1787,10.7,2.4,868,5.2,2.2,167,1,1.5,0,0,0,0,0,0,63,0.4,1.8,0,0,0,16,0.1,0.3,4804,28.7,2.6
Union Territory,Lakshadweep,0.68,1,1.5,0,0,0,0,0,0,0,2,2.9,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.4,0
Union Territory,Puducherry,10.63,9,0.8,0,14,1.3,0.1,2,0.2,0,17,1.6,0,89,8.4,0.2,32,3,0.3,0,0,0,0,0,0,5,0.5,0.1,0,0,0,11,1,0.2,179,16.8,0.1
Union Territory,Total (UTs),197.56,641,3.2,3.1,1243,6.3,6.1,143,0.7,1.8,1942,9.8,2.6,1012,5.1,2.6,212,1.1,1.9,0,0,0,0,0,0,81,0.4,2.3,1,0.4,0.1,28,0.1,0.5,5303,26.8,2.9
All India,Total (All India),11365.53,20737,1.8,100,20416,1.8,100,8093,0.7,100,75930,6.7,100,38734,3.4,100,10950,1,100,61,0,100,0,0,0,3568,0.3,100,1200,0.1,100,5623,0.5,100,185312,16.3,100
City,Agra,13.21,15,1.1,0.8,113,8.6,3.5,34,2.6,4.8,287,21.7,2.4,48,3.6,1.4,101,7.6,5.7,0,0,0,0,0,0,7,0.5,0.5,0,0,0,0,0,0,605,45.8,2.4
City,Ahmedabad,45.19,37,0.8,2.1,147,3.3,4.6,4,0.1,0.6,1221,27,10.1,104,2.3,3,13,0.3,0.7,0,0,0,0,0,0,9,0.2,0.7,0,0,0,0,0,0,1535,34,6.2
City,Allahabad,10.5,4,0.4,0.2,24,2.3,0.7,10,1,1.4,105,10,0.9,6,0.6,0.2,37,3.5,2.1,0,0,0,0,0,0,3,0.3,0.2,0,0,0,6,0.6,1.6,195,18.6,0.8
City,Amritsar,10.11,21,2.1,1.2,46,4.5,1.4,5,0.5,0.7,78,7.7,0.6,20,2,0.6,6,0.6,0.3,0,0,0,0,0,0,7,0.7,0.5,0,0,0,0,0,0,183,18.1,0.7
City,Asansol,10.91,15,1.4,0.8,10,0.9,0.3,11,1,1.5,242,22.2,2,20,1.8,0.6,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,1,303,27.8,1.2
City,Bengaluru,56.87,62,1.1,3.5,35,0.6,1.1,54,0.9,7.6,290,5.1,2.4,187,3.3,5.4,2,0,0.1,0,0,0,0,0,0,345,6.1,26.4,0,0,0,265,4.7,69.2,1240,21.8,5
City,Bhopal,14.55,62,4.3,3.5,41,2.8,1.3,22,1.5,3.1,129,8.9,1.1,146,10,4.2,29,2,1.6,0,0,0,0,0,0,5,0.3,0.4,0,0,0,2,0.1,0.5,436,30,1.8
City,Chennai,64.25,46,0.7,2.6,59,0.9,1.8,43,0.7,6,323,5,2.7,108,1.7,3.1,126,2,7.1,0,0,0,0,0,0,202,3.1,15.5,0,0,0,0,0,0,907,14.1,3.7
City,Coimbatore,14.46,10,0.7,0.6,8,0.6,0.2,4,0.3,0.6,50,3.5,0.4,12,0.8,0.3,2,0.1,0.1,0,0,0,0,0,0,143,9.9,11,1,0.1,2.3,1,0.1,0.3,231,16,0.9
City,Delhi (city),127.91,524,4.1,29.5,1021,8,31.8,111,0.9,15.6,1711,13.4,14.2,744,5.8,21.5,148,1.2,8.3,0,0,0,0,0,0,58,0.5,4.4,0,0,0,14,0.1,3.7,4331,33.9,17.5
City,Dhanbad,10.64,5,0.5,0.3,20,1.9,0.6,7,0.7,1,12,1.1,0.1,5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.2,6,72,6.8,0.3
City,Faridabad,10.55,37,3.5,2.1,117,11.1,3.6,19,1.8,2.7,167,15.8,1.4,23,2.2,0.7,0,0,0,0,0,0,0,0,0,10,0.9,0.8,0,0,0,1,0.1,0.3,374,35.5,1.5
