Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
Riot Control,119,52,437,5,729
Anti-dacoity Operations,334,90,140,12,7
Against Extremists And Terrorists,183,54,9,42,49
Against Others,229,54,30,0,70
Total,865,250,616,59,855
