Sr. No.,Category,States/ UTs,DG/ Addl.DG /IG /DIG - Sanctioned,DG/ Addl.DG /IG /DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,4,4,9,9,38,30,1151,1126,1202,1169
2,State,Arunachal Pradesh,0,0,0,0,15,13,52,270,67,283
3,State,Assam,0,0,0,0,22,22,201,201,223,223
4,State,Bihar,0,0,0,9,4,72,101,927,105,1008
5,State,Chhattisgarh,0,0,31,31,82,82,1002,1002,1115,1115
6,State,Goa,0,0,0,1,4,21,211,292,215,314
7,State,Gujarat,0,0,0,0,282,282,2192,2192,2474,2474
8,State,Haryana,0,0,0,0,210,104,2073,1016,2283,1120
9,State,Himachal Pradesh,0,0,0,7,3,35,137,538,140,580
10,State,Jammu & Kashmir,0,1,0,7,0,44,0,741,0,793
11,State,Jharkhand,3,3,9,6,0,79,0,1149,12,1237
12,State,Karnataka,0,0,10,6,445,248,5195,3447,5650,3701
13,State,Kerala,0,0,2,1,95,83,2688,2349,2785,2433
14,State,Madhya Pradesh,3,3,39,39,180,180,1359,1359,1581,1581
15,State,Maharashtra,0,6,0,32,0,698,0,8361,0,9097
16,State,Manipur,0,0,0,0,22,8,476,452,498,460
17,State,Meghalaya,0,0,0,4,9,15,56,56,65,75
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,1,1,3,3,64,49,68,53
20,State,Orissa,2,2,15,15,348,348,2727,2727,3092,3092
21,State,Punjab,0,0,0,0,175,175,1340,1340,1515,1515
22,State,Rajasthan,1,1,32,32,42,144,830,2359,905,2536
23,State,Sikkim,0,0,0,4,0,32,0,140,0,176
24,State,Tamil Nadu,6,5,56,45,1571,1570,7155,7190,8788,8810
25,State,Tripura,0,0,3,3,121,68,745,587,869,658
26,State,Uttar Pradesh,2,2,38,28,196,140,1763,1725,1999,1895
27,State,Uttarakhand,0,1,0,10,8,31,733,639,741,681
28,State,West Bengal,0,1,1,9,298,264,1149,1306,1448,1580
State,State,Total (States),21,29,246,299,4173,4791,33400,43540,37840,48659
29,Union Territory,A & N Islands,0,0,0,0,2,23,14,155,16,178
30,Union Territory,Chandigarh,0,0,0,0,2,30,33,231,35,261
31,Union Territory,D & N Haveli,0,0,0,0,2,2,7,7,9,9
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,1,1,28,522,736,2906,2404,3429,3169
34,Union Territory,Lakshadweep,0,0,0,0,1,0,7,16,8,16
35,Union Territory,Puducherry,0,0,0,2,5,5,76,78,81,85
Union Territory,Union Territory,Total (UTs),0,1,1,30,534,796,3043,2891,3578,3718
Total (All-India),Total (All-India),Total (All-India),21,30,247,329,4707,5587,36443,46431,41418,52377
