Purpose,Total No. of Cases Reported,Sex-Wise/Age Group-Wise - Upto 10 Years (Male),Sex-Wise/Age Group-Wise - Upto 10 Years (Female),Sex-Wise/Age Group-Wise - 10-15 Years (Male),Sex-Wise/Age Group-Wise - 10-15 Years (Female),Sex-Wise/Age Group-Wise - 15-18 Years (Male),Sex-Wise/Age Group-Wise - 15-18 Years (Female),Sex-Wise/Age Group-Wise - 18-30 Years (Male),Sex-Wise/Age Group-Wise - 18-30 Years (Female),Sex-Wise/Age Group-Wise - 30-50 Years (Male),Sex-Wise/Age Group-Wise - 30-50 Years (Female),Sex-Wise/Age Group-Wise - Above 50 Years (Male),Sex-Wise/Age Group-Wise - Above 50 Years (Female),Sex-Wise/Age Group-Wise - Total (Male),Sex-Wise/Age Group-Wise - Total (Female),Sex-Wise/Age Group-Wise - Grand Total
Adoption,131,9,1,8,2,8,8,43,43,4,5,0,0,72,59,131
Begging,15,5,2,2,2,2,0,4,0,0,0,0,0,13,4,17
Camel Racing,3,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
Illicit Intercourse,2651,1,11,0,174,14,449,43,1608,9,336,0,8,67,2586,2653
Marriage,12856,2,26,1,659,15,2521,142,7930,46,1523,3,6,209,12665,12874
Prostitution,313,0,0,0,19,0,111,5,264,0,18,0,0,5,412,417
For Ransom,584,68,4,53,8,44,3,241,33,158,5,32,1,596,54,650
Revenge,411,15,6,9,13,19,0,225,16,96,10,14,1,378,46,424
Sale,30,2,2,1,1,2,4,0,18,0,1,0,0,5,26,31
Selling Body Parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slavery,159,0,0,9,0,26,0,83,3,38,0,0,0,156,3,159
Unlawful Activity,408,16,13,8,9,12,26,122,97,80,22,6,2,244,169,413
Others,10000,391,273,261,394,369,700,2894,2752,1537,514,143,30,5595,4663,10258
Total,27561,509,338,352,1281,511,3822,3802,12765,1968,2436,198,48,7340,20690,28030
