Category,State/ UT,Murder(Sec.302 & 303 IPC) (I),Murder(Sec.302 & 303 IPC) ( R),Attempt To Commit Murder (Sec. 307 IPC) (I),Attempt To Commit Murder (Sec. 307 IPC) ( R),"C.H. Not Amounting Murder (Sec.304 , 308 IPC) (I)","C.H. Not Amounting Murder (Sec.304 , 308 IPC) ( R)",Rape (Sec. 376 IPC) - Total (I),Rape (Sec. 376 IPC) - Total ( R),Rape(Sec. 376 IPC) - Custodial Rape (I),Rape(Sec. 376 IPC) - Custodial Rape ( R),Rape(Sec. 376 IPC) - Other Rape (I),Rape(Sec. 376 IPC) - Other Rape ( R),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others ( R)",Dacoity (Sec.395-398 IPC) (I),Dacoity (Sec.395-398 IPC) ( R),Preparation & Assembly For Dacoity (Sec.399 To 402 IPC) (I),Preparation & Assembly For Dacoity (Sec.399 To 402 IPC) ( R),"Robbery(Sec.392-394, 397,398 IPC) (I)","Robbery(Sec.392-394, 3,97,398 IPC)
 ( R)","Burglary(Sec.449-452,454,455,457-460 IPC) (I)","Burglary(Sec.449-452,454,455,457-460 IPC) ( R)",Theft(Sec.379 – 382 IPC) - Total (I),Theft(Sec.379 – 382 IPC) - Total ( R),Theft(Sec.379 – 382 IPC) - Auto Theft (I),Theft(Sec.379 – 382 IPC) - Auto Theft ( R),Theft(Sec.379 – 382 IPC) - Other Theft (I),Theft(Sec.379 – 382 IPC) - Other Theft ( R),"Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC) (I)","Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC) ( R)",Criminal Breach of Trust(Sec.406-409 IPC) (I),Criminal Breach of Trust(Sec.406-409 IPC) ( R),"Cheating (Sec.419,420 IPC) (I)","Cheating (Sec.419,420 IPC) ( R)","Counterfeiting(Sec.231-254, 489a-489d IPC) (I)","Counterfeiting(Sec.231-254, 489a-489d IPC) ( R)","Arson (Sec.435,436,438 IPC) (I)","Arson (Sec.435,436,438 IPC) ( R)","Hurt(Sec.323-333,335-338 IPC) (I)","Hurt(Sec.323-333,335-338 IPC) ( R)",Dowry Deaths (Sec.304b IPC) (I),Dowry Deaths (Sec.304b IPC) ( R),Molestation (Sec. 354 IPC) (I),Molestation (Sec. 354 IPC) ( R),Sexual Harassment (Sec.509 IPC) (I),Sexual Harassment (Sec.509 IPC) ( R),Cruelty By Husband And Relatives (Sec. 498a IPC) (I),Cruelty By Husband And Relatives (Sec. 498a IPC) ( R),Importation of Girls (Sec.366b IPC) (I),Importation of Girls (Sec.366b IPC) ( R),Causing Death By Negligence (Sec. 304a IPC) (I),Causing Death By Negligence (Sec. 304a IPC) ( R),Other IPC Crimes (I),Other IPC Crimes ( R),Total Cognizable Crimes (I),Total Cognizable Crimes ( R)
State,Andhra Pradesh,2665,3.3,1885,2.3,135,0.2,1070,1.3,0,0,1070,1.3,2097,2.6,1564,1.9,533,0.7,170,0.2,6,0,614,0.8,7677,9.4,24391,29.9,6183,7.6,18208,22.3,1998,2.4,869,1.1,8103,9.9,224,0.3,1176,1.4,46122,56.5,613,0.8,4406,5.4,3316,4.1,11335,13.9,0,0,12629,15.5,43586,53.4,175087,214.6
State,Arunachal Pradesh,68,5.7,29,2.4,2,0.2,48,4,0,0,48,4,68,5.7,44,3.7,24,2,16,1.3,0,0,75,6.3,240,20.2,513,43.1,116,9.7,397,33.4,16,1.3,41,3.4,33,2.8,10,0.8,22,1.8,375,31.5,0,0,72,6.1,1,0.1,20,1.7,0,0,82,6.9,555,46.6,2286,192.1
State,Assam,1374,4.6,451,1.5,109,0.4,1437,4.9,0,0,1437,4.9,1971,6.7,1471,5,500,1.7,299,1,12,0,496,1.7,2603,8.8,7754,26.2,1982,6.7,5772,19.5,2601,8.8,653,2.2,895,3,115,0.4,380,1.3,5175,17.5,100,0.3,789,2.7,10,0,3000,10.1,0,0,2875,9.7,12183,41.1,45282,152.9
State,Bihar,3034,3.3,3113,3.4,257,0.3,1555,1.7,0,0,1555,1.7,2530,2.7,1260,1.4,1270,1.4,686,0.7,78,0.1,1787,1.9,3259,3.5,11795,12.7,2392,2.6,9403,10.1,7962,8.6,1326,1.4,2358,2.5,79,0.1,865,0.9,16288,17.5,1172,1.3,853,0.9,12,0,1635,1.8,56,0.1,3789,4.1,44931,48.4,109420,117.9
State,Chhattisgarh,1097,4.7,747,3.2,26,0.1,982,4.2,0,0,982,4.2,244,1,181,0.8,63,0.3,115,0.5,13,0.1,427,1.8,3632,15.5,5381,23,1814,7.8,3567,15.3,881,3.8,150,0.6,467,2,64,0.3,253,1.1,6801,29.1,100,0.4,1549,6.6,111,0.5,824,3.5,0,0,2476,10.6,19505,83.4,45845,196
State,Goa,33,2.1,23,1.4,7,0.4,20,1.3,0,0,20,1.3,12,0.8,7,0.4,5,0.3,7,0.4,0,0,22,1.4,292,18.3,494,31,207,13,287,18,70,4.4,36,2.3,55,3.4,10,0.6,24,1.5,150,9.4,2,0.1,20,1.3,7,0.4,14,0.9,0,0,247,15.5,934,58.5,2479,155.3
State,Gujarat,1166,2.1,494,0.9,21,0,316,0.6,0,0,316,0.6,1312,2.3,1089,1.9,223,0.4,245,0.4,10,0,1095,2,4870,8.7,18164,32.5,8022,14.4,10142,18.1,1668,3,1139,2,1116,2,286,0.5,330,0.6,10989,19.7,42,0.1,822,1.5,120,0.2,5827,10.4,0,0,4831,8.6,68332,122.3,123195,220.5
State,Haryana,911,3.9,592,2.5,72,0.3,488,2.1,0,0,488,2.1,801,3.4,554,2.4,247,1,139,0.6,266,1.1,502,2.1,4231,18,11047,46.9,6499,27.6,4548,19.3,1173,5,726,3.1,1232,5.2,33,0.1,142,0.6,5031,21.4,269,1.1,417,1.8,409,1.7,2412,10.3,0,0,1545,6.6,19159,81.4,51597,219.3
State,Himachal Pradesh,127,2,57,0.9,9,0.1,159,2.4,0,0,159,2.4,171,2.6,150,2.3,21,0.3,5,0.1,0,0,23,0.4,877,13.5,1092,16.8,264,4.1,828,12.7,649,10,132,2,212,3.3,11,0.2,141,2.2,1318,20.2,8,0.1,322,4.9,33,0.5,342,5.3,0,0,597,9.2,7937,121.9,14222,218.5
State,Jammu & Kashmir,318,2.6,669,5.5,23,0.2,288,2.4,0,0,288,2.4,758,6.3,707,5.8,51,0.4,18,0.1,0,0,111,0.9,1460,12.1,2086,17.2,514,4.2,1572,13,1209,10,121,1,489,4,31,0.3,186,1.5,374,3.1,9,0.1,986,8.1,353,2.9,176,1.5,0,0,243,2,11535,95.3,21443,177.2
