Crime Head (Col. 2),Total No. of Persons Under Trial Including those from Previous Year (Col. 3),No of Persons Whose (Col. 4) - Cases Compounded or Withdrawn,No of Persons Whose (Col. 5) - Trial Completed,No of Persons Whose (Col. 6) - Trial Remained Pending,No of Persons Convicted (Col. 7),Percentage of Persons - Whose Trails Remained Pending (Col. 8) = Col. (6)× 100 /(3)},Percentage of Persons - Convicted to Trials Completed (Col. 9) = Col. (7) × 100/(5))
Arms Act,429254,312,68322,360620,38401,84,56.2
Narcotic Drugs & Psychotropic Substances Act,159667,212,28668,130787,17877,81.9,62.4
Gambling Act,1206444,1736,344680,860028,282188,71.3,81.9
Excise Act,591539,2097,131694,457748,94506,77.4,71.8
Prohibition Act,2309603,24160,303992,1981451,154073,85.8,50.7
Explosive & Explosive Substances Act,32498,70,4762,27666,1891,85.1,39.7
Immoral Traffic (p) Act,38943,42,6151,32750,3220,84.1,52.3
Indian Railways Act,18694,24,3270,15400,2370,82.4,72.5
Registration of Foreigners Act,10611,32,1958,8621,1797,81.2,91.8
Protection of Civil Rights Act - Total,5362,415,1300,3647,239,68,18.4
Protection of Civil Rights Act - (i) PCR Act For SCs,5250,415,1274,3561,234,67.8,18.4
Protection of Civil Rights Act - (ii) PCR Act For STs,112,0,26,86,5,76.8,19.2
Indian Passport Act,5940,0,1064,4876,733,82.1,68.9
Essential Commodities Act,61945,107,5937,55901,1723,90.2,29
Terrorist & Disruptive Activities Act,5374,2,22,5350,0,99.6,0
Antiquities & Art Treasures Act,283,0,35,248,3,87.6,8.6
Dowry Prohibition Act,34832,357,6679,27796,1544,79.8,23.1
Child Marriage Restraint Act,2037,15,216,1806,70,88.7,32.4
Indecent Representation of Women (p) Act,2646,1,1138,1507,976,57,85.8
Copyright Act,37882,60,4980,32842,1622,86.7,32.6
Sati Prevention Act,18,0,0,18,0,100,0
SC/ST (prevention of Atrocities) Act - Total,100762,309,18092,82361,4419,81.7,24.4
SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act For SCs,90934,280,16204,74450,4009,81.9,24.7
SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act For STs,9828,29,1888,7911,410,80.5,21.7
Forest Act,31283,56,6281,24946,4216,79.7,67.1
Other Sll Crimes,4820972,10436,2647404,2163132,2292994,44.9,86.6
Total Cognizable Crimes Under Sll,9906589,40443,3586645,6279501,2904862,63.4,81
