Category,States/ UTs,No. of Complaints Received/ Alleged During the Year,Complaints Received/Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/Cases Registered - Complaints / Cases Declared False/ Unsustantiate,Complaints Received/Cases Registered - No. of Cases Registered During the Year,Complaints Received/Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/Cases Registered - No. of Cases - Sent Up for Trials/ Charge Sheeted,Police Personnel Involved/Action Taken - No. of Police Personnel Sent Up for Trial During the Year,Police Personnel Involved/Action Taken - No. of Police Personnel Whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved/Action Taken - No. of Personnel In Whose Cases Trial Completed,Police Personnel Involved/Action Taken - No. of Police Personnel - Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel - Acquitted,Departmental Action/Punishment - No. of Police Personnel - Against Whom Disciplinary Action Initiated,Departmental Action/Punishment - No. of Police Personnel - Whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel - In Whose Cases Trial Was Completed,Departmental Action/Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/Punishment - No. of Police Personnel - Minor Punishment Awarded
State,Andhra Pradesh,327,209,10,25,27,200,99,121,131,22,7,1,6,2018,531,1,45,206,1335
State,Arunachal Pradesh,40,38,0,0,0,16,0,6,6,0,0,0,0,6,0,0,0,2,1
State,Assam,31,22,2,7,0,18,5,2,3,1,1,0,1,0,0,1,2,0,87
State,Bihar,2011,27,0,2,27,7,0,19,33,31,0,0,0,306,150,260,53,506,288
State,Chhattisgarh,1965,548,2,0,1620,6,149,14,84,23,14,6,8,118,48,65,16,21,26
State,Goa,35,4,0,1,25,11,2,3,1,0,1,0,1,69,40,16,9,3,26
State,Gujarat,686,540,2,29,208,226,385,196,241,11,18,5,13,1234,252,759,47,270,743
State,Haryana,1246,583,0,0,1218,19,6,10,12,0,0,0,0,47,0,5,6,18,18
State,Himachal Pradesh,217,10,0,0,207,6,1,0,9,10,11,5,6,79,19,21,0,18,31
State,Jammu & Kashmir,135,289,4,0,104,17,5,4,3,1,0,0,0,994,329,218,7,720,466
State,Jharkhand,4,0,0,4,0,0,0,0,0,0,7,0,7,446,65,124,7,207,194
State,Karnataka,154,141,1,10,10,86,28,59,71,6,7,0,7,792,9,263,5,32,646
State,Kerala,3684,2278,2,0,2994,89,34,28,49,3,5,1,4,1080,210,122,7,97,253
State,Madhya Pradesh,18526,3216,5,4,12328,4562,95,28,40,2,5,2,3,281,50,63,10,106,131
State,Maharashtra,3838,1170,0,39,2680,354,213,157,184,39,33,9,24,172,7,115,6,18,91
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,16,12,0,0,0,16,4,8,7,0,0,0,0,91,54,21,5,67,103
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,1
State,Nagaland,3,3,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0
State,Orissa,51,8,14,21,1,45,17,17,32,1,1,0,1,232,48,68,9,145,218
State,Punjab,5750,1173,35,0,2195,144,54,24,61,14,21,7,14,1381,55,342,133,556,3528
State,Rajasthan,1237,248,6,2,981,84,71,39,47,0,6,2,4,4567,0,3123,84,431,2608
State,Sikkim,8,8,0,0,0,3,5,1,1,0,0,0,0,54,1,1,5,2,39
State,Tamil Nadu,369,267,16,86,10,141,65,76,86,3,6,2,4,1467,99,1103,39,370,694
State,Tripura,62,51,0,13,4,23,26,10,12,28,4,2,2,96,42,14,15,20,237
State,Uttar Pradesh,4620,1673,20,0,2927,1693,1560,96,139,0,0,0,0,1785,116,1669,46,353,1270
State,Uttarakhand,749,740,0,9,447,9,293,5,5,0,0,0,0,293,84,180,5,30,145
State,West Bengal,22,10,0,6,6,17,9,7,8,0,1,1,0,56,23,29,5,40,59
State,Total (States),45786,13268,119,258,28019,7795,3129,933,1266,195,148,43,105,17669,2232,8588,566,4242,13238
Union Territory,A & N Islands,20,0,0,20,0,20,0,5,4,0,0,0,0,13,0,2,4,6,2
Union Territory,Chandigarh,172,172,0,0,105,3,0,0,0,4,0,0,0,84,85,0,4,38,28
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Union Territory,Delhi,5786,513,0,0,288,87,0,0,0,0,0,0,0,1386,0,0,91,364,1995
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,3,0,0,0,0,3,0,3,3,0,0,0,0,34,12,5,0,0,12
Union Territory,Total (UTs),5981,685,0,20,393,113,0,8,7,4,1,0,1,1518,97,7,99,408,2037
Total (All-India),Total (All-India),51767,13953,119,278,28412,7908,3129,941,1273,199,149,43,106,19187,2329,8595,665,4650,15275
