Sr. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1997,14282,3514,17796,19.7
2,1998,13974,4949,18923,26.2
3,1999,13088,5372,18460,29.1
4,2000,13854,4128,17982,23
5,2001*,31295,2333,33628,6.9
6,2002,33551,2228,35779,6.2
7,2003,30985,2335,33320,7
8,2004,28878,2065,30943,6.7
9,2005,30606,2075,32681,6.3
10,2006,30375,1770,32145,5.5
11,2007,32671,1856,34527,5.4
