Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Railways - Total - Number,Railways - Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,221,122,101,132,0,0,12,3.4,0,0,12,3.4,4,54.9,19,15.1,257,100.2,614,427.5
State,Arunachal Pradesh,30,9.3,6,0.9,0,0,0,0,0,0,0,0,0,0,18,12.7,21,10.4,75,33.2
State,Assam,140,49.4,64,24.6,3,2.5,4,0,9,1,13,1.1,0,0,76,16.1,200,50.9,496,144.5
State,Bihar,282,72.2,890,386.5,0,0,37,18.6,8,12.6,45,31.2,9,10,47,23.6,514,159.6,1787,683.1
State,Chhattisgarh,42,7.6,61,23.1,1,0,2,0.5,1,0.2,3,0.6,10,30.6,9,3.5,301,118.5,427,184
State,Goa,1,0.4,2,53.9,0,0,0,0,0,0,0,0,0,0,3,1.8,16,8.4,22,64.5
State,Gujarat,178,61,68,81,1,0,14,2.5,21,0.2,35,2.8,1,22.6,48,102.4,764,271.2,1095,540.9
State,Haryana,49,94.1,83,189.3,0,0,2,0.2,16,1.9,18,2,6,32.3,34,63.9,312,488.3,502,869.9
State,Himachal Pradesh,3,0.4,6,32.9,0,0,0,0,0,0,0,0,0,0,1,0,13,10,23,43.2
State,Jammu & Kashmir,45,21.3,3,3.4,0,0,0,0,0,0,0,0,5,3.7,21,26.7,37,15.2,111,70.2
State,Jharkhand,149,49.2,348,80.5,0,0,2,0.6,22,0.9,24,1.5,4,10.7,44,11.9,202,221,771,374.7
State,Karnataka,185,75.9,56,31.1,0,0,21,4.2,0,0,21,4.2,5,1.8,81,35.7,965,514.8,1313,663.5
State,Kerala,172,59.8,30,27.1,0,0,4,1,2,0.2,6,1.2,0,0,52,20.9,609,180.1,869,289.1
State,Madhya Pradesh,119,48.3,238,287,2,0.2,5,1.1,17,5.3,22,6.4,6,20.1,59,25.9,1529,504.1,1975,892.1
State,Maharashtra,263,120.1,237,433,1,0.2,31,4.2,37,4.7,68,8.9,0,0,141,200.3,2060,912.2,2770,1674.7
State,Manipur,1,2.5,6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,4,5.8,11,13.9
State,Meghalaya,17,3.5,23,7.6,0,0,0,0,0,0,0,0,0,0,2,0.1,14,2.8,56,14
State,Mizoram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,5,0.4
State,Nagaland,20,9.2,29,22,0,0,0,0,0,0,0,0,0,0,0,0,26,49.5,75,80.7
State,Orissa,139,66.7,409,204.2,0,0,4,0.6,5,2.5,9,3.2,10,12.6,103,66.9,603,275.9,1273,629.6
State,Punjab,18,20.5,7,19.4,0,0,0,0,0,0,0,0,3,58.7,9,13.4,101,122.8,138,234.8
State,Rajasthan,15,2.3,51,149.7,0,0,0,0,0,0,0,0,2,14.4,19,21.5,691,470.6,778,658.6
State,Sikkim,6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.9
State,Tamil Nadu,146,104.4,46,54.4,0,0,1,0.7,3,0.1,4,0.8,0,0,26,17.1,273,118.6,495,295.3
State,Tripura,25,3.3,0,0,0,0,0,0,0,0,0,0,0,0,6,0.3,33,5.6,64,9.2
State,Uttar Pradesh,167,59.1,792,972.3,0,0,18,16.3,9,1.5,27,17.8,6,18,77,30.8,1100,355.8,2169,1453.9
State,Uttarakhand,29,4.3,56,26.1,0,0,1,3.2,0,0,1,3.2,1,0.1,3,0.5,83,46.6,173,80.7
State,West Bengal,55,23.6,44,163,0,0,10,1.9,3,1.3,13,3.2,5,7.1,43,31.3,267,119.4,427,347.7
State,Total (States),2517,1091,3657,3410.6,8,3,168,59.1,153,32.5,321,91.5,77,297.8,941,742.4,10999,5138.5,18520,10774.8
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.4,9,2.4
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16.2,37,16.2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,3,0.3
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
Union Territory,Delhi,45,54.6,6,14.2,0,0,0,0,2,0.2,2,0.2,0,0,30,25.5,474,391.6,557,486
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31.3,8,32.4
Union Territory,Total (UTs),47,55.6,6,14.2,0,0,0,0,2,0.2,2,0.2,1,0,30,25.5,530,441.8,616,537.3
Total (All-India),Total (All-India),2564,1146.7,3663,3424.7,8,3,168,59.1,155,32.6,323,91.7,78,297.8,971,767.9,11529,5580.3,19136,11312.1
City,Agra,2,0.4,20,10.9,0,0,0,0,0,0,0,0,0,0,0,0,14,6.9,36,18.1
City,Ahmedabad,14,4,0,0,0,0,0,0,0,0,0,0,1,22.6,17,94.4,385,33.1,417,154.2
City,Allahabad,3,0.3,20,31.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,31.7
City,Amritsar,12,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10.9,21,25.1
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.9,9,2.9
City,Bengaluru,102,37.5,17,5.4,0,0,0,0,0,0,0,0,4,1.8,48,30.8,374,239.8,545,315.4
City,Bhopal,10,3.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,172,36.9,184,40.1
City,Chennai,32,60.9,0,0,0,0,0,0,0,0,0,0,0,0,4,2.8,38,33.3,74,97
City,Coimbatore,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.2,8,12.5
City,Delhi (city),38,47.9,6,14.2,0,0,0,0,2,0.2,2,0.2,0,0,29,24.5,426,342,501,428.7
City,Dhanbad,4,3.8,10,5.8,0,0,0,0,0,0,0,0,0,0,1,0.3,2,0.5,17,10.4
City,Faridabad,5,1.3,2,0.9,0,0,0,0,0,0,0,0,0,0,5,1.3,20,62.7,32,66.2
City,Hyderabad,23,8.9,0,0,0,0,0,0,0,0,0,0,0,0,8,3.1,65,25.3,96,37.3
City,Indore,6,1.1,11,4.5,0,0,0,0,0,0,0,0,0,0,16,4,124,75.5,157,85.2
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15.8,85,15.8
City,Jaipur,0,0,2,9,0,0,0,0,0,0,0,0,0,0,2,16,149,76.3,153,101.3
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.2,32,14.7,39,17.9
City,Kanpur,14,1.3,60,32.1,0,0,0,0,0,0,0,0,0,0,0,0,40,11.7,114,45.1
City,Kochi,8,0.6,1,0.1,0,0,0,0,0,0,0,0,0,0,2,0.2,32,7.6,43,8.5
City,Kolkata,5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,5,7.1,64,53.5,74,63.9
City,Lucknow,7,0.2,25,10.4,0,0,0,0,0,0,0,0,0,0,40,14.4,124,14.9,196,39.8
City,Ludhiana,1,0.5,0,0,0,0,0,0,0,0,0,0,1,7.8,2,8.5,12,11.6,16,28.4
City,Madurai,4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5.7
City,Meerut,10,8.3,15,18,0,0,0,0,0,0,0,0,0,0,2,2,20,4.9,47,33.1
City,Mumbai,28,38.9,4,0.9,0,0,0,0,0,0,0,0,0,0,27,135.9,206,195.5,265,371.3
City,Nagpur,6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,17,4.7,334,56.4,357,64.4
City,Nasik,5,0.2,2,0.4,0,0,0,0,0,0,0,0,0,0,3,0.9,40,16.8,50,18.2
City,Patna,113,12.6,98,49.4,0,0,0,0,0,0,0,0,0,0,1,0.9,116,16.1,328,78.9
City,Pune,14,15,3,11.2,0,0,0,0,0,0,0,0,0,0,24,20.3,191,74.9,232,121.5
City,Rajkot,7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,23,16.4,32,23.2
City,Surat,19,16.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21,33.7,42,50.3
City,Vadodara,6,0.8,2,12.1,0,0,0,0,0,0,0,0,0,0,1,0.9,16,2.1,25,15.9
City,Varanasi,2,2,12,16,0,0,0,0,0,0,0,0,0,0,0,0,14,1.6,28,19.6
City,Vijayawada,11,7.8,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,16,0.4,31,9.6
City,Visakhapatnam,12,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.1,24,28.9
