Category,State / UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
State,Andhra Pradesh,5616,2499,81,298,149,0,2,2,0,44,29,0,349,168,11,6309,2847,92
State,Arunachal Pradesh,104,59,7,12,4,3,0,0,0,0,0,0,0,0,0,116,63,10
State,Assam,545,241,21,264,101,11,8,6,0,136,31,6,848,218,4,1801,597,42
State,Bihar,1871,260,0,61,22,0,0,0,0,5,4,0,456,37,0,2393,323,0
State,Chhattisgarh,1684,618,5,99,40,0,0,0,0,0,0,0,150,58,0,1933,716,5
State,Goa,180,53,3,32,9,2,0,0,0,8,3,0,0,0,0,220,65,5
State,Gujarat,7252,1655,500,508,156,64,22,10,5,33,10,8,204,60,22,8019,1891,599
State,Haryana,4746,1498,94,1237,411,42,7,5,2,421,161,7,325,149,27,6736,2224,172
State,Himachal Pradesh,114,38,7,86,37,10,17,9,2,41,15,0,7,5,1,265,104,20
State,Jammu & Kashmir,221,65,2,130,35,0,5,2,0,19,14,0,139,49,0,514,165,2
State,Jharkhand,1250,172,3,365,77,0,0,0,0,0,0,0,123,20,0,1738,269,3
State,Karnataka,4877,1573,105,546,132,11,25,13,1,67,31,3,558,209,10,6073,1958,130
State,Kerala,1298,413,13,606,148,6,10,7,0,100,31,1,96,44,0,2110,643,20
State,Madhya Pradesh,7864,1910,395,469,177,25,24,19,8,122,51,9,343,140,21,8822,2297,458
State,Maharashtra,11189,2961,888,2219,467,217,28,7,1,376,124,49,98,36,147,13910,3595,1302
State,Manipur,115,6,0,12,1,0,0,0,0,1,0,0,29,2,0,157,9,0
State,Meghalaya,45,2,0,15,3,0,0,0,0,12,1,0,21,3,0,93,9,0
State,Mizoram,51,29,0,15,10,0,0,0,0,0,0,0,4,2,0,70,41,0
State,Nagaland,117,21,0,56,9,18,0,0,0,0,0,0,60,5,0,233,35,18
State,Orissa,1525,381,34,99,50,3,0,0,0,13,3,0,96,24,0,1733,458,37
State,Punjab,1110,385,415,577,173,157,5,4,2,157,65,73,213,96,40,2062,723,687
State,Rajasthan,6574,1170,100,1130,315,31,13,11,0,106,53,2,110,44,10,7933,1593,143
State,Sikkim,3,3,3,6,5,0,0,0,0,2,2,0,0,0,0,11,10,3
State,Tamil Nadu,2545,2222,1830,100,74,70,3,3,2,59,56,43,181,149,138,2888,2504,2083
State,Tripura,51,13,0,2,0,0,0,0,0,1,1,0,1,1,0,55,15,0
State,Uttar Pradesh,7579,1660,59,1458,348,0,51,23,0,139,54,5,258,93,2,9485,2178,66
State,Uttarakhand,418,106,106,119,28,28,0,0,0,4,2,2,4,2,2,545,138,138
State,West Bengal,1954,353,47,328,66,9,2,2,0,22,4,2,118,21,1,2424,446,59
State,Total (States),70898,20366,4718,10849,3047,707,222,123,23,1888,745,210,4791,1635,436,88648,25916,6094
Union Territory,A & N Islands,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0
Union Territory,Chandigarh,474,119,0,357,96,0,0,0,0,17,5,0,5,2,0,853,222,0
Union Territory,D & N Haveli,16,3,0,1,0,0,0,0,0,2,1,0,0,0,0,19,4,0
Union Territory,Daman & Diu,22,5,0,5,2,0,0,0,0,1,0,0,0,0,0,28,7,0
Union Territory,Delhi,4641,774,32,3613,536,49,10,2,0,153,13,2,457,457,4,8874,1782,87
Union Territory,Lakshadweep,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Union Territory,Puducherry,478,172,0,11,7,0,0,0,0,6,4,0,3,3,0,498,186,0
Union Territory,Total (UTs),5641,1082,32,3987,641,49,10,2,0,179,23,2,465,462,4,10282,2210,87
Total (All-India),Total (All-India),76539,21448,4750,14836,3688,756,232,125,23,2067,768,212,5256,2097,440,98930,28126,6181
City,Agra,813,83,78,110,21,19,8,2,2,0,0,0,13,6,6,944,112,105
City,Ahmedabad,2136,248,0,130,31,0,3,3,0,0,0,0,47,13,0,2316,295,0
City,Allahabad,167,33,0,23,6,0,0,0,0,0,0,0,0,0,0,190,39,0
City,Amritsar,82,35,126,56,19,16,1,1,0,8,2,2,5,2,2,152,59,146
