Category,States/ UTs,Persons in Cust./ Bail During Investigation at Beginning of the Year,Persons Arrested During the Year,Persons Released by Police/ Magistrate Before Trial,Persons in Custody/ Bail During Investigation at the end of Year,Persons Charge Sheets,Persons Under Trial at The Beginning of Year,Total Persons Under Trial,No. of Persons Whose Cases Withdrawn or Otherwise Disposed of,Persons in Custody/ Bail During Trial at the end of Year,Persons In Whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to Trial Completed,Persons Reported for Regular Deptt. Action,Persons Reported for Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Other Major Punishment,Persons Punished Departmentally - Awarded Minor Punishment,Gazetted or Equal Status Officers in Public Under Taking Involved - Group 'A' Officers,Gazetted or Equal Status Officers in Public Under Taking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Public Undertaking Involved,Private Persons Involved
State,Andhra Pradesh,533,292,0,629,196,1200,1396,7,1091,298,188,110,63.1,90,0,14,2,45,2,0,0,149,5
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,11,0,0,11,2,76,78,0,76,3,3,1,100,0,0,0,0,0,0,0,0,1,0
State,Bihar,13,950,0,20,943,0,0,4,0,4,4,0,100,0,0,0,0,0,0,246,150,332,215
State,Chhattisgarh,70,19,5,77,7,228,235,0,219,16,4,12,25,0,0,0,0,0,0,0,3,14,2
State,Goa,6,1,0,7,0,29,29,0,23,6,0,6,0,0,0,0,0,0,0,0,0,0,1
State,Gujarat,125,225,110,120,120,1492,1612,90,1028,494,167,327,33.8,5,9,0,0,0,4,27,11,162,19
State,Haryana,989,285,27,940,307,2655,2962,26,2532,404,42,362,10.4,0,0,0,0,0,0,7,17,146,32
State,Himachal Pradesh,186,177,73,184,119,426,545,26,417,105,1,88,1,5,6,0,0,0,0,10,46,104,105
State,Jammu & Kashmir,39,121,0,0,160,2086,2246,26,2172,48,5,43,10.4,10,0,0,0,0,0,22,22,109,18
State,Jharkhand,15,15,0,15,18,377,15,0,392,0,0,0,0,19,19,0,0,0,0,0,12,16,0
State,Karnataka,250,284,101,181,252,848,1100,56,873,171,35,136,20.5,1,20,0,1,0,0,31,58,198,14
State,Kerala,0,7,7,0,396,1380,1776,27,1651,98,62,36,63.3,16,31,0,0,0,0,4,39,159,141
State,Madhya Pradesh,0,0,0,0,155,874,1029,38,770,221,111,72,50.2,1,0,0,0,2,4,15,45,58,19
State,Maharashtra,775,870,4,1188,453,3588,4041,21,3553,467,97,370,20.8,10,0,1,0,1,1,88,72,433,73
State,Manipur,8,4,0,8,4,35,39,0,39,0,0,0,0,0,0,0,0,0,0,3,0,1,0
State,Meghalaya,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
State,Nagaland,14,14,10,14,4,10,14,0,14,0,0,0,0,4,1,0,0,1,0,0,1,13,1
State,orissa,35,239,16,26,232,2549,2781,16,2641,124,46,78,37.1,62,27,1,2,3,4,93,90,259,193
State,Punjab,330,296,85,212,329,1393,1722,49,1450,223,70,153,31.4,0,3,9,0,0,0,0,0,192,88
State,Rajasthan,390,223,0,377,548,2827,3692,0,3231,461,169,292,36.7,292,292,0,0,13,19,7,0,25,0
State,Sikkim,47,23,11,45,14,38,52,0,45,7,5,2,71.4,5,0,0,0,0,0,5,3,16,28
State,Tamil Nadu,811,223,108,142,784,642,1426,46,1292,88,43,45,48.9,396,171,13,3,24,25,12,148,177,131
State,Tripura,4,1,0,4,1,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,152,130,0,168,115,476,591,0,576,15,2,13,13.3,0,0,0,0,0,0,0,0,198,0
State,Uttarakhand,27,5,0,19,13,18,31,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,2,4,2,3,1,36,37,0,9,28,0,28,0,5,0,0,0,0,0,0,0,7,0
State,Total (States),4834,4410,563,4390,5173,23287,27454,432,24129,3282,1054,2175,32.1,921,579,38,8,89,59,578,717,2769,1088
Union Territory,A & N Islands,12,0,0,12,1,9,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,51,29,0,67,13,84,97,2,87,8,3,5,37.5,0,0,0,0,0,0,0,0,10,19
Union Territory,D & N Haveli,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,169,64,0,162,71,628,699,2,611,86,44,42,51.2,53,0,0,0,0,0,2,1,49,12
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,10,18,0,28,0,24,24,0,18,6,6,0,100,0,0,0,0,0,0,0,2,16,0
Union Territory,Total (UTs),242,111,0,269,85,756,841,4,737,100,53,47,53,53,0,0,0,0,0,2,3,75,31
Total (All-India),Total (All-India),5076,4521,563,4659,5258,24043,28295,436,24866,3382,1107,2222,32.7,974,579,38,8,89,59,580,720,2844,1119
