Category,States/ UTs,Pending Investigation from Previous Year,Cases Regd. During the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Declared False Etc. During Year,Cases ChargeSheeted,Cases in Which Final Report Submitted,Cases Pending Investigation at the end of Year,Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Resulted in Recovery or Seizure,Value of Property Recovered / Seized (In Rs.'000),Cases Pending Trial from the Previous Year,Cases Sent Up for Trial During the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or OtherWise Disposed of,Trials Completed During the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the end of the Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed During the Year (In Rs.'000),Cases Transferred to Local Police,Cases Pending for Prosecution,Cases Sent Up for Trial and Also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action
State,Rajasthan,873,350,1223,1223,0,0,269,125,836,22,219,1227.6,1327,269,1596,0,159,56,101,1439,35.2,630.4,0,262,292,292,0
State,Sikkim,30,18,48,48,0,0,9,6,33,18.8,2,797.9,25,9,34,0,7,5,2,27,71.4,35.5,0,0,0,4,0
State,Tamil Nadu,216,227,443,443,0,0,179,118,154,40.4,39,12677.4,142,179,321,12,67,34,33,242,50.7,379,0,45,51,161,91
State,Tripura,4,1,5,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0
State,Uttar Pradesh,115,129,244,244,0,0,126,5,88,51.6,0,0,360,126,486,1,15,1,15,470,6.7,0,0,43,55,1,0
State,Uttarakhand,27,4,31,12,0,0,12,0,19,100,0,0,17,12,29,0,1,0,1,28,0,0,0,0,0,0,0
State,West Bengal,4,2,6,6,0,2,1,0,3,16.7,0,0,20,1,21,0,13,0,13,8,0,0,0,2,1,0,1
State,Total (States),5163,3108,8279,7051,102,157,2813,635,4965,39.9,1435,296245.8,13021,2838,15861,87,2004,739,1263,13738,36.9,7056.4,4,1329,1080,618,170
Union Territory,A & N Islands,9,5,14,14,0,0,1,1,12,7.1,0,0,7,1,8,0,0,0,0,8,0,0,0,0,0,0,0
Union Territory,Chandigarh,23,8,31,31,1,1,9,0,26,29,0,0,24,9,33,0,8,3,5,25,37.5,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Union Territory,Delhi,152,51,203,60,13,0,47,13,145,78.3,34,94.9,389,47,436,0,65,38,27,371,58.5,644.5,0,21,24,40,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,3,6,9,9,0,0,0,0,9,0,0,0,8,0,8,0,1,1,0,7,100,55,0,0,0,0,0
Union Territory,Total (uts),187,70,257,114,14,1,57,14,192,50,34,94.9,432,57,489,0,74,42,32,415,56.8,699.5,0,21,24,40,0
Total (All-India),Total (All-India),5350,3178,8536,7165,116,158,2870,649,5157,40.1,1469,296340.7,13453,2895,16350,87,2078,781,1295,14153,37.6,7755.9,4,1350,1104,658,170
