Category,States/ UTs,EstimatedMid-YearPopulation #,Infanticide(Sec. 315 IPC) (I),Infanticide(Sec. 315 IPC) ( R),Infanticide(Sec. 315 IPC) (P),"Murder(Sec. 302,303 IPC) (I)","Murder(Sec. 302,303 IPC) ( R)","Murder(Sec. 302,303 IPC) (P)",Rape(Sec. 376 IPC) (I),Rape(Sec. 376 IPC) ( R),Rape(Sec. 376 IPC) (P),"Kidnapping & Abduction(Sec.363-369,371-373 IPC) (I)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) ( R)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) (P)","Foeticide(Sec.315,316 IPC) (I)","Foeticide(Sec.315,316 IPC) ( R)","Foeticide(Sec.315,316 IPC) (P)",Abetment to Suicide(Sec.305 IPC) (I),Abetment to Suicide(Sec.305 IPC) ( R),Abetment to Suicide(Sec.305 IPC) (P),Exposure And Abandonment(Sec.317 IPC) (I),Exposure And Abandonment(Sec.317 IPC) ( R),Exposure And Abandonment(Sec.317 IPC) (P),Procuration ofMinor Girl(Sec.366A IPC) (I),Procuration ofMinor Girl(Sec.366A IPC) ( R),Procuration ofMinor Girl(Sec.366A IPC) (P),Buying of Girls for Prostitution(Sec.373 IPC) (I),Buying of Girls for Prostitution(Sec.373 IPC) ( R),Buying of Girls for Prostitution(Sec.373 IPC) (P),Selling of Girls for Prostitution(Sec.372 IPC) (I),Selling of Girls for Prostitution(Sec.372 IPC) ( R),Selling of Girls for Prostitution(Sec.372 IPC) (P),"Child Marriage Restraint Act,1978 (I)","Child Marriage Restraint Act,1979 ( R)","Child Marriage Restraint Act,1980 (P)",OtherCrimes (I),OtherCrimes ( R),OtherCrimes (P),Total (I),Total ( R),Total (P)
State,Andhra Pradesh,816.02,1,0,0.7,75,0.1,5.4,363,0.4,7.2,609,0.7,9.5,0,0,0,6,0,23.1,35,0,3.8,37,0,14.6,0,0,0,11,0,15.9,21,0,21.9,341,0.4,5.7,1499,1.8,7.3
State,Arunachal Pradesh,11.9,0,0,0,0,0,0,1,0.1,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0
State,Assam,296.22,0,0,0,2,0,0.1,34,0.1,0.7,29,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,101,0.3,1.7,167,0.6,0.8
State,Bihar,928.32,1,0,0.7,87,0.1,6.3,110,0.1,2.2,421,0.5,6.6,0,0,0,0,0,0,0,0,0,36,0,14.2,0,0,0,1,0,1.4,8,0,8.3,11,0,0.2,675,0.7,3.3
State,Chhattisgarh,233.85,8,0,6,37,0.2,2.7,368,1.6,7.3,103,0.4,1.6,10,0,10.4,3,0,11.5,7,0,0.8,3,0,1.2,0,0,0,0,0,0,4,0,4.2,481,2.1,8.1,1024,4.4,5
State,Goa,15.96,1,0.1,0.7,2,0.1,0.1,15,0.9,0.3,7,0.4,0.1,0,0,0,0,0,0,6,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,39,2.4,0.7,70,4.4,0.3
State,Gujarat,558.79,7,0,5.2,76,0.1,5.5,98,0.2,1.9,436,0.8,6.8,1,0,1,0,0,0,149,0.3,16.1,25,0,9.9,0,0,0,0,0,0,14,0,14.6,304,0.5,5.1,1110,2,5.4
State,Haryana,235.3,1,0,0.7,19,0.1,1.4,122,0.5,2.4,107,0.5,1.7,4,0,4.2,1,0,3.8,12,0.1,1.3,0,0,0,0,0,0,0,0,0,4,0,4.2,55,0.2,0.9,325,1.4,1.6
State,Himachal Pradesh,65.09,0,0,0,6,0.1,0.4,48,0.7,1,61,0.9,1,1,0,1,0,0,0,6,0.1,0.7,2,0,0.8,0,0,0,0,0,0,1,0,1,26,0.4,0.4,151,2.3,0.7
State,Jammu & Kashmir,121.03,0,0,0,0,0,0,12,0.1,0.2,8,0.1,0.1,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.1,26,0.2,0.1
State,Jharkhand,297.34,1,0,0.7,2,0,0.1,23,0.1,0.5,7,0,0.1,0,0,0,0,0,0,0,0,0,25,0.1,9.9,0,0,0,0,0,0,4,0,4.2,12,0,0.2,74,0.2,0.4
State,Karnataka,569.82,3,0,2.2,50,0.1,3.6,84,0.1,1.7,62,0.1,1,7,0,7.3,0,0,0,25,0,2.7,8,0,3.2,0,0,0,0,0,0,4,0,4.2,23,0,0.4,266,0.5,1.3
State,Kerala,340.12,1,0,0.7,37,0.1,2.7,183,0.5,3.6,73,0.2,1.1,0,0,0,1,0,3.8,6,0,0.7,22,0.1,8.7,0,0,0,0,0,0,1,0,1,163,0.5,2.7,487,1.4,2.4
State,Madhya Pradesh,684.55,29,0,21.6,131,0.2,9.5,1043,1.5,20.7,283,0.4,4.4,10,0,10.4,5,0,19.2,141,0.2,15.3,16,0,6.3,0,0,0,2,0,2.9,5,0,5.2,2625,3.8,43.9,4290,6.3,21
State,Maharashtra,1059.69,2,0,1.5,211,0.2,15.3,615,0.6,12.2,590,0.6,9.3,1,0,1,8,0,30.8,297,0.3,32.2,13,0,5.1,31,0,77.5,0,0,0,7,0,7.3,932,0.9,15.6,2707,2.6,13.3
State,Manipur,26.05,0,0,0,3,0.1,0.2,4,0.2,0.1,42,1.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.9,0.2
State,Meghalaya,25.15,0,0,0,12,0.5,0.9,41,1.6,0.8,9,0.4,0.1,0,0,0,0,0,0,0,0,0,8,0.3,3.2,0,0,0,0,0,0,1,0,1,0,0,0,71,2.8,0.3
State,Mizoram,9.72,0,0,0,3,0.3,0.2,60,6.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,64,6.6,0.3
State,Nagaland,21.69,1,0,0.7,2,0.1,0.1,2,0.1,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3,0
State,Orissa,396.21,0,0,0,30,0.1,2.2,92,0.2,1.8,36,0.1,0.6,5,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,37,0.1,0.6,201,0.5,1
State,Punjab,263.89,3,0,2.2,26,0.1,1.9,135,0.5,2.7,296,1.1,4.6,35,0.1,36.5,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,5,0,5.2,18,0.1,0.3,527,2,2.6
State,Rajasthan,639.1,1,0,0.7,88,0.1,6.4,406,0.6,8,589,0.9,9.2,16,0,16.7,0,0,0,146,0.2,15.8,1,0,0.4,0,0,0,0,0,0,3,0,3.1,2,0,0,1252,2,6.1
State,Sikkim,5.89,0,0,0,1,0.2,0.1,17,2.9,0.3,5,0.8,0.1,0,0,0,0,0,0,4,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.7,0.1,31,5.3,0.2
State,Tamil Nadu,660.23,10,0,7.5,44,0.1,3.2,141,0.2,2.8,197,0.3,3.1,0,0,0,0,0,0,28,0,3,2,0,0.8,0,0,0,0,0,0,2,0,2.1,17,0,0.3,441,0.7,2.2
State,Tripura,34.81,0,0,0,9,0.3,0.7,33,0.9,0.7,11,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0.3,0.2,63,1.8,0.3
State,Uttar Pradesh,1885.41,61,0,45.5,336,0.2,24.4,471,0.2,9.3,1041,0.6,16.3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2.5,0,0,0,0,0,0,337,0.2,5.6,2248,1.2,11
State,Uttarakhand,94.04,0,0,0,14,0.1,1,17,0.2,0.3,46,0.5,0.7,0,0,0,0,0,0,0,0,0,1,0,0.4,0,0,0,0,0,0,0,0,0,23,0.2,0.4,101,1.1,0.5
State,West Bengal,871.78,3,0,2.2,12,0,0.9,92,0.1,1.8,88,0.1,1.4,1,0,1,0,0,0,1,0,0.1,54,0.1,21.3,6,0,15,55,0.1,79.7,9,0,9.4,40,0,0.7,361,0.4,1.8
State,Total (States),11167.97,134,0,100,1315,0.1,95.5,4630,0.4,91.8,5161,0.5,80.9,92,0,95.8,24,0,92.3,873,0.1,94.6,253,0,100,38,0,95,69,0,100,96,0,100,5606,0.5,93.8,18291,1.6,89.6
Union Territory,A & N Islands,4.05,0,0,0,0,0,0,3,0.7,0.1,7,1.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,0
Union Territory,Chandigarh,10.46,0,0,0,1,0.1,0.1,8,0.8,0.2,30,2.9,0.5,0,0,0,1,0.1,3.8,12,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,53,5.1,0.3
Union Territory,D & N Haveli,2.57,0,0,0,1,0.4,0.1,3,1.2,0.1,6,2.3,0.1,0,0,0,0,0,0,1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.3,0.1
Union Territory,Daman & Diu,1.84,0,0,0,2,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0
Union Territory,Delhi,167.33,0,0,0,56,0.3,4.1,398,2.4,7.9,1161,6.9,18.2,4,0,4.2,1,0,3.8,35,0.2,3.8,0,0,0,2,0,5,0,0,0,0,0,0,362,2.2,6.1,2019,12.1,9.9
Union Territory,Lakshadweep,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,10.63,0,0,0,2,0.2,0.1,3,0.3,0.1,12,1.1,0.2,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0.1,23,2.2,0.1
Union Territory,Total (UTs),197.56,0,0,0,62,0.3,4.5,415,2.1,8.2,1216,6.2,19.1,4,0,4.2,2,0.1,7.7,50,0.3,5.4,0,0,0,2,0,5,0,0,0,0,0,0,368,1.9,6.2,2119,10.7,10.4
All India,Total (All India),11365.53,134,0,100,1377,0.1,100,5045,0.4,100,6377,0.6,100,96,0,100,26,0.1,100,923,0.1,100,253,0,0,40,0,100,69,0,100,96,0,100,5974,0.5,100,20410,1.8,100
City,Agra,13.21,0,0,0,0,0,0,2,0.2,0.3,20,1.5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8,0.7,32,2.4,0.7
City,Ahmedabad,45.19,0,0,0,2,0,1.1,8,0.2,1,22,0.5,1.2,0,0,0,0,0,0,26,0.6,14.8,0,0,0,0,0,0,0,0,0,0,0,0,103,2.3,6.8,161,3.6,3.5
City,Allahabad,10.5,0,0,0,2,0.2,1.1,2,0.2,0.3,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3,0.3
City,Amritsar,10.11,0,0,0,3,0.3,1.7,6,0.6,0.8,22,2.2,1.2,10,1,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,12.5,2,0.2,0.1,44,4.4,0.9
City,Asansol,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bengaluru,56.87,0,0,0,1,0,0.6,0,0,0,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5,0,0,0,4,0.1,0.1
City,Bhopal,14.55,0,0,0,9,0.6,5.1,52,3.6,6.5,26,1.8,1.4,0,0,0,0,0,0,22,1.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7.5,2.3
City,Chennai,64.25,0,0,0,4,0.1,2.3,15,0.2,1.9,21,0.3,1.1,0,0,0,0,0,0,0,0,0,1,0,4.3,0,0,0,0,0,0,0,0,0,6,0.1,0.4,47,0.7,1
City,Coimbatore,14.46,0,0,0,1,0.1,0.6,8,0.6,1,3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.8,0.3
City,Delhi (city),127.91,0,0,0,52,0.4,29.5,353,2.8,44.5,980,7.7,52.1,4,0,19,1,0,50,27,0.2,15.3,0,0,0,2,0,5.6,0,0,0,0,0,0,323,2.5,21.3,1742,13.6,37.4
City,Dhanbad,10.64,0,0,0,1,0.1,0.6,0,0,0,3,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.8,1.3,23,2.2,0.5
City,Faridabad,10.55,0,0,0,6,0.6,3.4,27,2.6,3.4,56,5.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1.4,110,10.4,2.4
City,Hyderabad,55.34,0,0,0,2,0,1.1,12,0.2,1.5,9,0.2,0.5,0,0,0,0,0,0,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,37,0.7,2.4,61,1.1,1.3
City,Indore,16.39,0,0,0,12,0.7,6.8,6,0.4,0.8,3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,25.6,27.6,440,26.8,9.4
City,Jabalpur,11.17,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,6,0.5,0.1
City,Jaipur,23.24,0,0,0,3,0.1,1.7,11,0.5,1.4,40,1.7,2.1,1,0,4.8,0,0,0,3,0.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,32,1.4,2.1,90,3.9,1.9
City,Jamshedpur,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,26.9,2,0.1,12.5,4,0.1,2.3,6,0.2,0.8,45,1.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0.3,62,2.3,1.3
City,Kochi,13.55,0,0,0,0,0,0,8,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.4,0.4,14,1,0.3
City,Kolkata,132.17,0,0,0,2,0,1.1,20,0.2,2.5,47,0.4,2.5,0,0,0,0,0,0,0,0,0,13,0.1,56.5,3,0,8.3,7,0.1,100,0,0,0,38,0.3,2.5,130,1,2.8
City,Lucknow,22.67,2,0.1,12.5,7,0.3,4,26,1.1,3.3,47,2.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.6,0.9,96,4.2,2.1
City,Ludhiana,13.95,0,0,0,5,0.4,2.8,25,1.8,3.1,83,5.9,4.4,0,0,0,0,0,0,7,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.1,122,8.7,2.6
City,Madurai,11.95,3,0.3,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.1
City,Meerut,11.67,2,0.2,12.5,6,0.5,3.4,7,0.6,0.9,30,2.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9,0.7,55,4.7,1.2
City,Mumbai,163.68,0,0,0,8,0,4.5,65,0.4,8.2,73,0.4,3.9,0,0,0,1,0,50,23,0.1,13.1,5,0,21.7,0,0,0,0,0,0,0,0,0,103,0.6,6.8,278,1.7,6
City,Nagpur,21.23,0,0,0,11,0.5,6.3,37,1.7,4.7,47,2.2,2.5,0,0,0,0,0,0,15,0.7,8.5,0,0,0,0,0,0,0,0,0,2,0.1,25,52,2.4,3.4,164,7.7,3.5
City,Nasik,11.52,0,0,0,4,0.3,2.3,3,0.3,0.4,14,1.2,0.7,0,0,0,0,0,0,17,1.5,9.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.2,41,3.6,0.9
City,Patna,17.07,0,0,0,3,0.2,1.7,14,0.8,1.8,67,3.9,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,25,2,0.1,0.1,88,5.2,1.9
City,Pune,37.56,0,0,0,12,0.3,6.8,42,1.1,5.3,37,1,2,0,0,0,0,0,0,6,0.2,3.4,0,0,0,31,0.8,86.1,0,0,0,1,0,12.5,202,5.4,13.3,331,8.8,7.1
City,Rajkot,10.02,0,0,0,2,0.2,1.1,1,0.1,0.1,17,1.7,0.9,0,0,0,0,0,0,5,0.5,2.8,1,0.1,4.3,0,0,0,0,0,0,0,0,0,30,3,2,56,5.6,1.2
City,Surat,28.11,7,0.2,43.8,7,0.2,4,16,0.6,2,24,0.9,1.3,1,0,4.8,0,0,0,13,0.5,7.4,3,0.1,13,0,0,0,0,0,0,0,0,0,16,0.6,1.1,87,3.1,1.9
City,Vadodara,14.92,0,0,0,3,0.2,1.7,2,0.1,0.3,44,2.9,2.3,0,0,0,0,0,0,5,0.3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,0.3,59,4,1.3
City,Varanasi,12.12,0,0,0,2,0.2,1.1,5,0.4,0.6,15,1.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0.4,28,2.3,0.6
City,Vijayawada,10.11,0,0,0,1,0.1,0.6,11,1.1,1.4,46,4.5,2.4,0,0,0,0,0,0,6,0.6,3.4,0,0,0,0,0,0,0,0,0,1,0.1,12.5,51,5,3.4,116,11.5,2.5
City,Vishakhapatnam,13.29,0,0,0,1,0.1,0.6,4,0.3,0.5,27,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2.4,0.7
City,Total (Cities),1078.8,16,0,100,176,0.2,100,794,0.7,100,1880,1.7,100,21,0,100,2,0,100,176,0.2,100,23,0,100,36,0,100,7,0,100,8,0,100,1518,1.4,100,4657,4.3,100
