Sr. No.,Category,State/UT,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,The Foreigners Act - Incidence,The Foreigners Act - Rate,PCR Act (Total SC & ST) - Incidence,PCR Act (Total SC & ST) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquities & Art Treasures Act - Incidence,Antiquities & Art Treasures Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Prohibition of Child Marriage Act - Incidence,Prohibition of Child Marriage Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act -Incidence - (Total),SC/ST (Prev.) of Atrocities) Act - Rate -(Total),SC/ST (Prev) of Atrocities Act For SCs - Incidence,SC/ST (Prev) of Atrocities Act For SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev) of Atrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes # - Incidence,Other SLL Crimes # - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
1,State,Andhra Pradesh,296,0.3,413,0.5,51816,61.2,3806,4.5,2065,2.4,271,0.3,497,0.6,46,0.1,7,0,13,0,10,0,3,0,12,0,107,0.1,0,0,44,0.1,1899,2.2,15,0,314,0.4,497,0.6,0,0,1672,2,1439,1.7,233,0.3,114,0.1,198120,234,262024,309.5
2,State,Arunachal Pradesh,12,0.9,24,1.7,0,0,4,0.3,0,0,6,0.4,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.6,69,5
3,State,Assam,454,1.5,162,0.5,67,0.2,17,0.1,0,0,110,0.4,21,0.1,0,0,2,0,0,0,0,0,0,0,22,0.1,36,0.1,0,0,0,0,19,0.1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,693,2.2,1608,5.2
4,State,Bihar,1574,1.5,352,0.3,210,0.2,2043,2,71,0.1,137,0.1,23,0,3,0,2,0,0,0,0,0,0,0,8,0,756,0.7,0,0,0,0,1393,1.3,0,0,0,0,27,0,0,0,3095,3,3024,2.9,71,0.1,24,0,2019,1.9,11737,11.3
5,State,Chhattisgarh,833,3.3,401,1.6,7345,28.8,10606,41.5,0,0,163,0.6,15,0.1,3,0,1,0,0,0,0,0,0,0,0,0,134,0.5,0,0,0,0,18,0.1,5,0,0,0,25,0.1,0,0,1,0,0,0,1,0,7,0,253726,993.4,273283,1070
6,State,Goa,5,0.3,53,3.6,596,40.9,0,0,0,0,1,0.1,18,1.2,1,0.1,45,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,10,0.7,0,0,3,0.2,2,0.1,1,0.1,0,0,2098,143.9,2833,194.3
7,State,Gujarat,405,0.7,80,0.1,9042,15,1,0,187646,310.8,47,0.1,46,0.1,1,0,31,0.1,2,0,2,0,0,0,6,0,169,0.3,0,0,1,0,28,0,13,0,0,0,410,0.7,0,0,215,0.4,192,0.3,23,0,12,0,23057,38.2,221212,366.3
8,State,Haryana,1411,5.6,858,3.4,4008,15.8,9723,38.4,0,0,33,0.1,57,0.2,4,0,19,0.1,0,0,0,0,0,0,0,0,288,1.1,0,0,0,0,9,0,6,0,0,0,165,0.7,0,0,150,0.6,150,0.6,0,0,2,0,5502,21.7,22235,87.7
9,State,Himachal Pradesh,24,0.4,570,8.3,251,3.7,1830,26.7,0,0,4,0.1,2,0,0,0,7,0.1,3,0,3,0,0,0,0,0,34,0.5,0,0,0,0,0,0,0,0,0,0,30,0.4,0,0,86,1.3,82,1.2,4,0.1,1510,22,212,3.1,4563,66.5
10,State,Jammu & Kashmir,231,1.8,529,4.2,146,1.2,563,4.5,0,0,29,0.2,1,0,0,0,9,0.1,1,0,1,0,0,0,0,0,351,2.8,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,10,0.1,208,1.7,2086,16.6
11,State,Jharkhand,587,1.8,77,0.2,102,0.3,315,1,0,0,77,0.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0.3,0,0,0,0,402,1.2,0,0,0,0,23,0.1,0,0,386,1.2,282,0.9,104,0.3,115,0.3,1470,4.5,3665,11.1
12,State,Karnataka,134,0.2,252,0.4,7024,11.5,2402,3.9,0,0,79,0.1,351,0.6,1,0,94,0.2,12,0,8,0,4,0,115,0.2,405,0.7,0,0,6,0,1210,2,12,0,2,0,267,0.4,0,0,1493,2.4,1331,2.2,162,0.3,91,0.1,3283,5.4,17233,28.2
13,State,Kerala,296,0.9,693,2.1,3601,10.8,0,0,42747,128,631,1.9,197,0.6,11,0,30,0.1,1,0,1,0,0,0,172,0.5,268,0.8,0,0,1,0,5,0,3,0,12,0,428,1.3,0,0,81,0.2,59,0.2,22,0.1,11,0,197445,591.4,246633,738.7
14,State,Madhya Pradesh,10063,13.9,721,1,20769,28.6,36454,50.2,0,0,225,0.3,24,0,4,0,2,0,0,0,0,0,0,0,0,0,368,0.5,0,0,0,0,66,0.1,5,0,0,0,57,0.1,0,0,5,0,4,0,1,0,29,0,49527,68.2,118319,163
15,State,Maharashtra,1014,0.9,1368,1.2,13296,11.8,0,0,71171,63.3,57,0.1,390,0.3,33,0,31,0,10,0,10,0,0,0,65,0.1,2796,2.5,0,0,2,0,44,0,19,0,1,0,563,0.5,0,0,365,0.3,304,0.3,61,0.1,16,0,38981,34.7,130222,115.9
16,State,Manipur,14,0.5,36,1.3,12,0.4,0,0,0,0,28,1,0,0,0,0,29,1.1,0,0,0,0,0,0,0,0,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,40.1,1218,44.7
17,State,Meghalaya,29,1,12,0.4,5,0.2,0,0,0,0,11,0.4,2,0.1,0,0,33,1.1,0,0,0,0,0,0,5,0.2,6,0.2,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,26,0.9,132,4.5
18,State,Mizoram,38,3.5,69,6.3,0,0,0,0,91,8.3,13,1.2,8,0.7,0,0,49,4.5,0,0,0,0,0,0,17,1.6,10,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,56.2,908,83.2
19,State,Nagaland,86,4.3,78,3.9,0,0,31,1.6,69,3.5,8,0.4,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3.3,342,17.3
20,State,Odisha,469,1.1,170,0.4,757,1.8,7422,17.7,0,0,154,0.4,23,0.1,0,0,1,0,0,0,0,0,0,0,0,0,112,0.3,0,0,0,0,1062,2.5,1,0,1,0,5,0,0,0,1662,4,1256,3,406,1,2,0,512,1.2,12353,29.4
21,State,Punjab,831,3,5464,19.7,2254,8.1,6386,23.1,2,0,15,0.1,50,0.2,8,0,2,0,0,0,0,0,0,0,33,0.1,85,0.3,0,0,0,0,3,0,0,0,0,0,602,2.2,0,0,24,0.1,24,0.1,0,0,2,0,645,2.3,16406,59.2
22,State,Rajasthan,5005,7.3,1241,1.8,14527,21.2,12291,17.9,0,0,490,0.7,81,0.1,7,0,5,0,5,0,5,0,0,0,4,0,275,0.4,0,0,1,0,4,0,5,0,102,0.1,442,0.6,0,0,122,0.2,102,0.1,20,0,3497,5.1,20878,30.4,58982,86
