Sr. No.,Category,State/UT,"Incidence of
Total Cognizable
Crimes","Percentage
Contribution to
All-India Total",Population** (In Lakhs),"Rate of Total
Cognizable
Crimes",Rank of * Criminality
1,State,Andhra Pradesh,262024,6.7,846.65,309.5,8
2,State,Arunachal Pradesh,69,0,13.83,5,32
3,State,Assam,1608,0,311.69,5.2,31
4,State,Bihar,11737,0.3,1038.04,11.3,28
5,State,Chhattisgarh,273283,7,255.4,1070,1
6,State,Goa,2833,0.1,14.58,194.3,9
7,State,Gujarat,221212,5.6,603.83,366.3,7
8,State,Haryana,22235,0.6,253.53,87.7,13
9,State,Himachal Pradesh,4563,0.1,68.57,66.5,16
10,State,Jammu & Kashmir,2086,0.1,125.49,16.6,26
11,State,Jharkhand,3665,0.1,329.66,11.1,29
12,State,Karnataka,17233,0.4,611.31,28.2,22
13,State,Kerala,246633,6.3,333.88,738.7,5
14,State,Madhya Pradesh,118319,3,725.98,163,10
15,State,Maharashtra,130222,3.3,1123.73,115.9,11
16,State,Manipur,1218,0,27.22,44.7,19
17,State,Meghalaya,132,0,29.64,4.5,34
18,State,Mizoram,908,0,10.91,83.2,15
19,State,Nagaland,342,0,19.81,17.3,24
20,State,Odisha,12353,0.3,419.47,29.4,21
21,State,Punjab,16406,0.4,277.04,59.2,18
22,State,Rajasthan,58982,1.5,686.21,86,14
23,State,Sikkim,171,0,6.08,28.1,23
24,State,Tamil Nadu,526208,13.4,721.39,729.4,6
25,State,Tripura,148,0,36.71,4,35
26,State,Uttar Pradesh,1890833,48.1,1995.81,947.4,3
27,State,Uttarakhand,78296,2,101.17,773.9,4
28,State,West Bengal,11635,0.3,913.48,12.7,27
State,State,Total (states),3915354,99.7,11901.11,329,NA
29,Union Territory,A & N Islands,3772,0.1,3.8,992.6,2
30,Union Territory,Chandigarh,687,0,10.55,65.1,17
31,Union Territory,D & N Haveli,19,0,3.43,5.5,30
32,Union Territory,Daman & Diu,11,0,2.43,4.5,33
33,Union Territory,Delhi,5896,0.2,167.53,35.2,20
34,Union Territory,Lakshadweep,11,0,0.64,17.2,25
35,Union Territory,Puducherry,1404,0,12.44,112.9,12
Union Territory,Union Territory,Total (UTs),11800,0.3,200.82,58.8,NA
Total (All-India),Total (All-India),Total (All-India),3927154,100,12101.93,324.5,NA
36,City,Agra,104635,9.1,17.46,5992.8,2
37,City,Ahmedabad,9737,0.8,63.52,153.3,28
38,City,Allahabad,40905,3.6,12.17,3361.1,7
39,City,Amritsar,707,0.1,11.84,59.7,37
40,City,Asansol,240,0,12.43,19.3,50
41,City,Aurangabad,965,0.1,11.89,81.2,36
42,City,Bengaluru,2671,0.2,84.99,31.4,44
43,City,Bhopal,1870,0.2,18.83,99.3,34
44,City,Chandigarh(c),568,0,10.26,55.4,39
45,City,Chennai,85019,7.4,86.96,977.7,14
46,City,Coimbatore,3471,0.3,21.51,161.4,27
47,City,Delhi (city),5195,0.5,163.15,31.8,43
48,City,Dhanbad,223,0,11.95,18.7,51
49,City,Durg-bhilainagar,47139,4.1,10.64,4430.4,4
50,City,Faridabad,1541,0.1,14.05,109.7,33
51,City,Ghaziabad,98206,8.5,23.59,4163,5
52,City,Gwalior,1025,0.1,11.02,93,35
53,City,Hyderabad,60963,5.3,77.49,786.7,16
54,City,Indore,3013,0.3,21.67,139,30
55,City,Jabalpur,2913,0.3,12.68,229.7,26
56,City,Jaipur,4565,0.4,30.73,148.6,29
57,City,Jamshedpur,315,0,13.37,23.6,47
58,City,Jodhpur,1314,0.1,11.38,115.5,32
59,City,Kannur,5032,0.4,16.43,306.3,24
60,City,Kanpur,114151,9.9,29.2,3909.3,6
61,City,Kochi,25115,2.2,21.18,1185.8,13
62,City,Kolkata,1187,0.1,141.13,8.4,53
63,City,Kollam,17267,1.5,11.1,1555.6,11
64,City,Kota,4626,0.4,10.01,462.1,20
65,City,Kozhikode,8974,0.8,20.31,441.9,21
66,City,Lucknow,143216,12.5,29.01,4936.8,3
67,City,Ludhiana,940,0.1,16.14,58.2,38
68,City,Madurai,26882,2.3,14.62,1838.7,10
69,City,Malappuram,799,0.1,16.99,47,40
70,City,Meerut,41554,3.6,14.25,2916.1,8
71,City,Mumbai,5034,0.4,184.14,27.3,46
72,City,Nagpur,22413,2,24.98,897.2,15
73,City,Nasik,547,0,15.63,35,42
74,City,Patna,733,0.1,20.47,35.8,41
75,City,Pune,6497,0.6,50.5,128.7,31
76,City,Raipur,125741,10.9,11.23,11196.9,1
77,City,Rajkot,3736,0.3,13.91,268.6,25
78,City,Ranchi,331,0,11.27,29.4,45
79,City,Srinagar,273,0,12.73,21.4,49
80,City,Surat,19146,1.7,45.85,417.6,22
81,City,Thiruvananthapuram,22317,1.9,16.87,1322.9,12
82,City,Thrissur,12050,1,18.55,649.6,19
83,City,Tiruchirapalli,10412,0.9,14.05,741.1,17
84,City,Vadodara,12790,1.1,18.17,703.9,18
85,City,Varanasi,33638,2.9,14.35,2344.1,9
86,City,Vasai Virar,265,0,12.21,21.7,48
87,City,Vijayawada,225,0,14.91,15.1,52
88,City,Vishakhapatnam,5968,0.5,17.3,345,23
City,City,Total (Cities),1149059,100,1611.07,713.2,NA
