Sl.  No.,Category,State/UT,Officers (Dy.SP & Above) - Sanctioned Strength,Officers (Dy.SP & Above) - Built-in Houses Provided by Government,"Officers (Dy.SP & Above) - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates(ASI to Inspectors) - Sanctioned Strength,Upper Subordinates(ASI to Inspectors) - Built-in Houses Providedby Government,"Upper Subordinates(ASI to Inspectors) - Houses Provided on Lease, Rent/ General Pool by Govt.","Lower Subordinates(Constables, Head Constables & Class IV Subordinate Staff) - Sanctioned Strength","Lower Subordinates(Constables, Head Constables & Class IV Subordinate Staff) - Built-In Houses Providedby Government","Lower Subordinates(Constables, Head Constables & Class IV Subordinate Staff) - Houses Provided on Lease, Rent/ General Pool by Govt."
1,State,Andhra Pradesh,1069,37,0,16860,2802,0,113750,38260,0
2,State,Arunachal Pradesh,138,85,53,845,717,128,7234,2593,4641
3,State,Assam,538,25,0,6008,93,0,49408,65,0
4,State,Bihar,666,150,516,15935,2625,13310,70696,5519,65177
5,State,Chhattisgarh,612,16,0,5277,389,0,42610,3747,0
6,State,Goa,68,2,5,525,75,1,5627,505,5
7,State,Gujarat,485,119,22,13954,5639,389,70847,35584,2272
8,State,Haryana,359,125,74,7401,990,3122,49223,4812,19034
9,State,Himachal Pradesh,258,53,14,2051,388,0,14794,2430,0
10,State,Jammu & Kashmir,835,156,173,7950,1090,308,73188,5995,1247
11,State,Jharkhand,463,275,25,10142,926,367,62365,1801,4549
12,State,Karnataka,781,165,87,10050,3054,837,80682,27174,5756
13,State,Kerala,484,77,0,4605,624,0,45294,6949,0
14,State,Madhya Pradesh,1000,396,131,13351,3274,1413,71329,25053,8621
15,State,Maharashtra,1208,0,0,35126,5641,0,173047,80850,0
16,State,Manipur,347,56,6,3271,78,37,28223,116,44
17,State,Meghalaya,143,41,102,1280,487,793,10894,2210,8684
18,State,Mizoram,187,101,0,1635,210,0,9958,1357,0
19,State,Nagaland,133,44,2,662,240,0,9984,776,0
20,State,Odisha,869,220,0,9595,2116,0,44609,8283,0
21,State,Punjab,749,1,2,8851,48,0,69902,88,0
22,State,Rajasthan,851,52,0,10325,2900,0,73311,22749,0
23,State,Sikkim,124,17,0,509,190,0,4931,394,0
24,State,Tamil Nadu,1103,366,0,12117,3623,0,99143,43435,0
25,State,Tripura,359,90,0,2128,505,0,25528,2050,0
26,State,Uttar Pradesh,1475,1039,436,23943,5342,2654,342891,29348,17660
27,State,Uttarakhand,161,79,0,1610,596,0,20336,4289,0
28,State,West Bengal,845,524,22,29064,5787,186,77377,14793,845
State,State,Total (States),16310,4311,1670,255070,50449,23545,1747181,371225,138535
29,Union Territory,A & N Islands,31,32,2,632,72,0,3989,971,0
30,Union Territory,Chandigarh,30,11,0,677,340,0,6013,1797,0
31,Union Territory,D & N Haveli,3,3,0,29,23,0,322,200,0
32,Union Territory,Daman & Diu,5,0,0,44,6,0,302,69,0
33,Union Territory,Delhi,505,293,0,13407,7900,0,67556,7391,0
34,Union Territory,Lakshadweep,2,2,0,85,50,0,469,148,0
35,Union Territory,Puducherry,25,16,1,404,236,0,2746,676,0
Union Territory,Union Territory,Total (UTs),601,357,3,15278,8627,0,81397,11252,0
Total (All-India),Total (All-India),Total (All-India),16911,4668,1673,270348,59076,23545,1828578,382477,138535
