Sr. No.,Category,State/UT,Dacoity (Sec.395- 398 IPC),Preparation and Assembly for Dacoity (Sec.399-402 IPC),"Robbery (392-394, 397,398 IPC)","Burglary (Sec.449- 452,454, 455, 457- 460 IPC)",Theft (Sec. 379-382 IPC),Total IPC Crimes Against Property,Percentage Share,Crime Rate,Percentage to Total IPC Cog.Crimes
1,State,Andhra Pradesh,126,7,600,8300,28267,37300,8.02,44.06,19.65
2,State,Arunachal Pradesh,13,0,64,183,414,674,0.14,48.73,29.48
3,State,Assam,305,4,837,3327,8309,12782,2.75,41.01,19.16
4,State,Bihar,556,105,1381,3629,16292,21963,4.72,21.16,16.16
5,State,Chhattisgarh,68,7,470,3548,5315,9408,2.02,36.84,16.44
6,State,Goa,2,0,26,318,1115,1461,0.31,100.21,42.36
7,State,Gujarat,221,24,1368,4509,16043,22165,4.76,36.71,17.97
8,State,Haryana,167,176,638,5011,17425,23417,5.03,92.36,38.55
9,State,Himachal Pradesh,1,0,10,995,1042,2048,0.44,29.87,14.31
10,State,Jammu & Kashmir,14,0,88,1516,2655,4273,0.92,34.05,17.44
11,State,Jharkhand,309,40,614,1235,6378,8576,1.84,26.01,23.93
12,State,Karnataka,214,399,2123,6136,19834,28706,6.17,46.96,20.86
13,State,Kerala,71,245,741,3001,4704,8762,1.88,26.24,5.09
14,State,Madhya Pradesh,118,117,1952,10230,22414,34831,7.49,47.98,16.04
15,State,Maharashtra,773,291,4249,16313,53449,75075,16.14,66.81,36.64
16,State,Manipur,1,154,7,52,719,933,0.2,34.28,28.99
17,State,Meghalaya,49,0,63,145,696,953,0.2,32.15,34.59
18,State,Mizoram,1,0,6,336,734,1077,0.23,98.72,59.14
19,State,Nagaland,7,0,59,73,360,499,0.11,25.19,46.08
20,State,Odisha,417,84,1583,3031,8724,13839,2.97,32.99,22.58
21,State,Punjab,28,143,236,2488,4784,7679,1.65,27.72,22.01
22,State,Rajasthan,28,72,727,4510,21099,26436,5.68,38.52,15.96
23,State,Sikkim,0,0,5,60,72,137,0.03,22.53,22.99
24,State,Tamil Nadu,101,11,2066,4848,13924,20950,4.5,29.04,10.86
25,State,Tripura,11,0,50,227,494,782,0.17,21.3,13.48
26,State,Uttar Pradesh,379,39,3148,5765,36683,46014,9.89,23.06,23.58
27,State,Uttarakhand,13,1,179,342,2093,2628,0.56,25.98,29.95
28,State,West Bengal,236,939,760,455,21446,23836,5.12,26.09,16.65
State,State,Total (states),4229,2858,24050,90583,315484,437204,93.99,36.74,19.32
29,Union Territory,A&n Islands,1,0,1,99,88,189,0.04,49.74,23.83
30,Union Territory,chandigarh,6,2,68,285,1502,1863,0.4,176.59,52.6
31,Union Territory,D&n Haveli,7,0,2,22,69,100,0.02,29.15,26.88
32,Union Territory,Daman & Diu,4,0,6,31,47,88,0.02,36.21,39.29
33,Union Territory,Delhi,33,25,562,1419,22899,24938,5.36,148.86,46.74
34,Union Territory,Lakshadweep,0,0,0,0,4,4,0,6.25,9.09
35,Union Territory,Puducherry,5,10,11,65,707,798,0.17,64.15,18.29
Union Territory,Union Territory,Total (UTs),56,37,650,1921,25316,27980,6.01,139.33,44.63
Total (All-India),Total (All-India),Total (All-India),4285,2895,24700,92504,340800,465184,100,38.44,20
