Sr. No.,Category,State/UT,2006,2007,2008,2009,2010,Quinquennial Average (20062010) (Q.A.)@,2011,Percentage Change In 2011 [(+) Increase () Decrease] Over QA,Percentage Change In 2011 [(+) Increase () Decrease] Over 2010
1,State,Andhra Pradesh,173909,175087,179275,180441,181438,178030,189780,6.6,4.6
2,State,Arunachal Pradesh,2294,2286,2374,2362,2439,2351,2286,2.8,6.3
3,State,Assam,43673,45282,53333,55313,61668,51854,66714,28.7,8.2
4,State,Bihar,100665,109420,122669,122931,127453,116628,135896,16.5,6.6
5,State,Chhattisgarh,45177,45845,51442,51370,54958,49758,57218,15,4.1
6,State,Goa,2204,2479,2742,3005,3293,2745,3449,25.7,4.7
7,State,Gujarat,120972,123195,123808,115183,116439,119919,123371,2.9,6
8,State,Haryana,50509,51597,55344,56229,59120,54560,60741,11.3,2.7
9,State,Himachal Pradesh,13093,14222,13976,13315,13049,13531,14312,5.8,9.7
10,State,Jammu & Kashmir,20787,21443,20604,21975,23223,21606,24504,13.4,5.5
11,State,Jharkhand,36364,38489,38686,37436,38889,37973,35838,5.6,7.8
12,State,Karnataka,117710,120606,127540,134042,142322,128444,137600,7.1,3.3
13,State,Kerala,105255,108530,110620,118369,148313,118217,172137,45.6,16.1
14,State,Madhya Pradesh,194711,202386,206556,207762,214269,205137,217094,5.8,1.3
15,State,Maharashtra,191788,195707,206243,199598,208168,200301,204902,2.3,1.6
16,State,Manipur,2884,3259,3349,2852,2715,3012,3218,6.8,18.5
17,State,Meghalaya,1935,2079,2318,2448,2505,2257,2755,22.1,10
18,State,Mizoram,2073,2083,1989,2047,2174,2073,1821,12.2,16.2
19,State,Nagaland,1103,1180,1202,1059,1059,1121,1083,3.4,2.3
20,State,Odisha,52792,54872,56755,55740,56459,55324,61277,10.8,8.5
21,State,Punjab,32068,35793,35314,35545,36648,35074,34883,0.5,4.8
22,State,Rajasthan,141992,148870,151174,166565,162957,154312,165622,7.3,1.6
23,State,Sikkim,703,667,730,669,552,664,596,10.3,8
24,State,Tamil Nadu,148972,172754,176833,174691,185678,171786,192879,12.3,3.9
25,State,Tripura,3940,4273,5336,5486,5805,4968,5803,16.8,0
26,State,Uttar Pradesh,127001,150258,168996,172884,174179,158664,195135,23,12
27,State,Uttarakhand,8412,9599,8856,8802,9240,8982,8774,2.3,5
28,State,West Bengal,68052,81102,105419,113036,129616,99445,143197,44,10.5
State,State,Total (states),1811038,1923363,2033483,2061155,2164628,1998733,2262885,13.2,4.5
29,Union Territory,A & N Islands,676,807,882,941,980,857,793,7.5,19.1
30,Union Territory,Chandigarh,3126,3643,3931,3555,3373,3526,3542,0.5,5
31,Union Territory,D & N Haveli,435,425,401,442,378,416,372,10.6,1.6
32,Union Territory,Daman & Diu,288,260,248,276,203,255,224,12.2,10.3
33,Union Territory,Delhi,57963,56065,49350,50251,51292,52984,53353,0.7,4
34,Union Territory,Lakshadweep,80,56,95,134,42,81,44,45.9,4.8
35,Union Territory,Puducherry,4687,5054,4989,4591,3935,4651,4362,6.2,10.9
Union Territory,Union Territory,Total (UTs),67255,66310,59896,60190,60203,62771,62690,0.1,4.1
Total (AllIndia),Total (AllIndia),Total (AllIndia),1878293,1989673,2093379,2121345,2224831,2061504,2325575,12.8,4.5
36,City,Agra,4410,4304,4826,4836,4802,4636,8380,80.8,74.5
37,City,Ahmedabad,19238,17310,18544,20726,21442,19452,20203,3.9,5.8
38,City,Allahabad,1589,1706,2068,2073,1973,1882,2702,43.6,36.9
39,City,Amritsar,1295,2142,2327,2157,1833,1951,1807,7.4,1.4
40,City,Asansol,1699,1491,1676,1361,1841,1614,3381,109.5,83.7
41,City,Aurangabad,NR,NR,NR,NR,NR,NA,3781,NA,NA
42,City,Bengaluru,26284,27049,29664,32380,32188,29513,30283,2.6,5.9
43,City,Bhopal,10468,11069,11515,12169,11974,11439,12570,9.9,5
44,City,Chandigarh(c),NR,NR,NR,NR,NR,NA,3299,NA,NA
45,City,Chennai,16168,16508,11829,10905,10869,13256,21346,61,96.4
46,City,Coimbatore,3974,3924,4180,4318,4180,4115,4030,2.1,3.6
47,City,Delhi (city),53007,50895,44573,45247,45994,47943,47212,1.5,2.6
48,City,Dhanbad,1577,1331,1302,1316,1006,1306,1482,13.4,47.3
49,City,Durgbhilainagar,NR,NR,NR,NR,NR,NA,7267,NA,NA
50,City,Faridabad,4682,4520,4516,4409,4920,4609,5357,16.2,8.9
51,City,Ghaziabad,NR,NR,NR,NR,NR,NA,5488,NA,NA
52,City,Gwalior,NR,NR,NR,NR,NR,NA,7816,NA,NA
53,City,Hyderabad,17295,17391,18567,17840,17549,17728,15657,11.7,10.8
54,City,Indore,12605,12992,15430,14101,14230,13872,14504,4.6,1.9
55,City,Jabalpur,6244,6543,5128,6195,6205,6063,6560,8.2,5.7
56,City,Jaipur,13877,14102,15407,16788,16717,15378,18897,22.9,13
57,City,Jamshedpur,2624,2767,2685,3075,2732,2777,2362,14.9,13.5
58,City,Jodhpur,NR,NR,NR,NR,NR,NA,4270,NA,NA
59,City,Kannur,NR,NR,NR,NR,NR,NA,2389,NA,NA
60,City,Kanpur,4736,8008,8885,6812,6747,7038,7661,8.9,13.5
61,City,Kochi,5699,6602,7956,8757,25715,10946,34658,216.6,34.8
62,City,Kolkata,9381,10901,13005,13615,15510,12482,17152,37.4,10.6
63,City,Kollam,NR,NR,NR,NR,NR,NA,6440,NA,NA
64,City,Kota,NR,NR,NR,NR,NR,NA,4176,NA,NA
65,City,Kozhikode,NR,NR,NR,NR,NR,NA,4026,NA,NA
66,City,Lucknow,6772,8468,11735,10482,10316,9555,8891,6.9,13.8
67,City,Ludhiana,2817,3075,2847,2888,3522,3030,2792,7.8,20.7
68,City,Madurai,2464,2325,2470,3000,2672,2586,2873,11.1,7.5
69,City,Malappuram,NR,NR,NR,NR,NR,NA,2429,NA,NA
70,City,Meerut,2400,2441,2765,2431,3307,2669,4353,63.1,31.6
71,City,Mumbai,31070,30481,32770,31262,33932,31903,32647,2.3,3.8
72,City,Nagpur,9991,9791,8661,7785,7728,8791,8063,8.3,4.3
73,City,Nasik,2951,3115,3813,4218,4484,3716,4512,21.4,0.6
74,City,Patna,8432,8944,9014,8806,9017,8843,9292,5.1,3
75,City,Pune,11484,12818,14467,13848,13602,13244,12622,4.7,7.2
76,City,Raipur,NR,NR,NR,NR,NR,NA,6222,NA,NA
77,City,Rajkot,3489,3912,5525,4475,4024,4285,3939,8.1,2.1
78,City,Ranchi,NR,NR,NR,NR,NR,NA,3761,NA,NA
79,City,Srinagar,NR,NR,NR,NR,NR,NA,2756,NA,NA
80,City,Surat,8659,10986,10741,7564,7426,9075,8446,6.9,13.7
81,City,Thiruvananthapuram,NR,NR,NR,NR,NR,NA,6670,NA,NA
82,City,Thrissur,NR,NR,NR,NR,NR,NA,4864,NA,NA
83,City,Tiruchirapalli,NR,NR,NR,NR,NR,NA,3496,NA,NA
84,City,Vadodara,5672,5109,5386,5060,5352,5316,5727,7.7,7
85,City,Varanasi,1970,2802,2734,2254,2129,2378,2020,15,5.1
86,City,Vasai Virar,NR,NR,NR,NR,NR,NA,1727,NA,NA
