Sl. No.,Category,State/UT,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11 – 20,Number of Police Stations (Sanctioned Strength) - 21 – 30,Number of Police Stations (Sanctioned Strength) - 31 – 40,Number of Police Stations (Sanctioned Strength) - 41 – 50,Number of Police Stations (Sanctioned Strength) - 51 and Above
1,State,Andhra Pradesh,91,863,261,181,108,157
2,State,Arunachal Pradesh,0,54,15,0,0,0
3,State,Assam,49,101,65,57,41,0
4,State,Bihar,257,357,175,49,19,13
5,State,Chhattisgarh,15,90,75,39,88,109
6,State,Goa,0,0,0,2,3,20
7,State,Gujarat,7,25,70,96,93,254
8,State,Haryana,21,35,49,53,54,50
9,State,Himachal Pradesh,0,16,23,32,14,17
10,State,Jammu & Kashmir,0,0,0,0,0,215
11,State,Jharkhand,99,106,50,133,11,26
12,State,Karnataka,15,21,83,302,199,283
13,State,Kerala,2,15,65,217,92,85
14,State,Madhya Pradesh,37,296,250,122,110,133
15,State,Maharashtra,2,28,124,160,146,566
16,State,Manipur,0,0,9,0,1,81
17,State,Meghalaya,4,25,10,0,0,0
18,State,Mizoram,4,14,8,4,3,5
19,State,Nagaland,1,4,14,10,10,11
20,State,Odisha,90,378,73,5,4,4
21,State,Punjab,2,33,68,61,67,146
22,State,Rajasthan,13,253,273,140,51,43
23,State,Sikkim,0,0,6,12,4,6
24,State,Tamil Nadu,19,297,396,174,158,257
25,State,Tripura,13,12,14,5,9,17
26,State,Uttar Pradesh,25,430,288,247,195,330
27,State,Uttarakhand,6,35,29,18,3,34
28,State,West Bengal,14,222,166,37,23,91
State,State,Total (States),786,3710,2659,2156,1506,2953
29,Union Territory,A & N Islands,10,12,0,0,0,1
30,Union Territory,Chandigarh,0,0,0,0,0,11
31,Union Territory,D & N Haveli,0,0,0,0,1,1
32,Union Territory,Daman & Diu,0,0,0,1,1,1
33,Union Territory,Delhi,0,2,6,2,2,168
34,Union Territory,Lakshadweep,0,2,4,2,0,1
35,Union Territory,Puducherry,11,16,12,3,1,1
Union Territory,Union Territory,Total (UTs),21,32,22,8,5,184
Total (All-India),Total (All-India),Total (All-India),807,3742,2681,2164,1511,3137
