Sl. No.,Category,State/UT,Education - Illiterate,Education - Primary,Education - Above Primary But Below Matric/H.Sec.,Education - Matric / H.Sec. & Above,Education - Total,Family Background - Living with Parents,Family Background - Living with Guardians,Family Background - Homeless,Family Background - Total,"Economic Status - Annual Income (Upto Rs. 25,000)","Economic Status - Annual Income (Rs. 25,001 to Rs. 50,000)","Economic Status - Middle Income (Rs.50,001 to Rs. 1,00,000)","Economic Status - Middle Income (Rs. 1,00,001 to Rs. 2,00,000)","Economic Status - Upper Middle Income (Rs. 2,00,001 to Rs. 3,00,000)","Economic Status - Upper Income (Above Rs. 3,00,000)",Economic Status - total,Recidivism - New Delinquent,Recidivism - Old Delinquent,Recidivism - total
1,State,Andhra Pradesh,911,969,402,192,2474,1831,192,451,2474,1919,375,154,25,1,0,2474,2235,239,2474
2,State,Arunachal Pradesh,0,45,36,12,93,33,60,0,93,28,47,18,0,0,0,93,93,0,93
3,State,Assam,119,137,141,30,427,289,117,21,427,319,86,22,0,0,0,427,389,38,427
4,State,Bihar,234,332,419,141,1126,795,261,70,1126,330,318,240,106,106,26,1126,857,269,1126
5,State,Chhattisgarh,536,1111,861,184,2692,1893,661,138,2692,1275,992,333,79,11,2,2692,2167,525,2692
6,State,Goa,79,25,48,5,157,154,2,1,157,95,35,15,8,4,0,157,157,0,157
7,State,Gujarat,441,1154,676,239,2510,2042,287,181,2510,1781,447,245,32,5,0,2510,2103,407,2510
8,State,Haryana,26,181,479,148,834,601,212,21,834,293,293,207,29,8,4,834,714,120,834
9,State,Himachal Pradesh,13,28,85,132,258,254,4,0,258,106,117,31,4,0,0,258,256,2,258
10,State,Jammu & Kashmir,2,6,10,3,21,20,1,0,21,3,16,2,0,0,0,21,13,8,21
11,State,Jharkhand,140,190,69,12,411,306,48,57,411,151,136,73,51,0,0,411,307,104,411
12,State,Karnataka,57,174,90,55,376,253,111,12,376,217,66,45,35,13,0,376,357,19,376
13,State,Kerala,17,166,400,302,885,690,146,49,885,449,313,78,43,2,0,885,869,16,885
14,State,Madhya Pradesh,1445,2075,1396,878,5794,4892,606,296,5794,3447,1562,627,154,4,0,5794,4647,1147,5794
15,State,Maharashtra,691,2861,2215,1003,6770,5818,763,189,6770,3879,1780,679,316,107,9,6770,6272,498,6770
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,45,43,36,4,128,86,42,0,128,75,52,1,0,0,0,128,109,19,128
18,State,Mizoram,7,67,28,3,105,89,16,0,105,34,64,7,0,0,0,105,102,3,105
19,State,Nagaland,4,10,29,3,46,38,7,1,46,43,1,2,0,0,0,46,44,2,46
20,State,Odisha,140,254,171,63,628,552,57,19,628,435,132,61,0,0,0,628,580,48,628
21,State,Punjab,48,61,65,41,215,195,9,11,215,72,112,26,4,1,0,215,211,4,215
22,State,Rajasthan,432,814,978,318,2542,2392,132,18,2542,1525,592,307,71,15,32,2542,2439,103,2542
23,State,Sikkim,8,15,46,9,78,55,18,5,78,73,5,0,0,0,0,78,76,2,78
24,State,Tamil Nadu,240,1170,617,56,2083,1715,238,130,2083,1598,445,40,0,0,0,2083,1996,87,2083
25,State,Tripura,48,25,19,0,92,32,49,11,92,60,32,0,0,0,0,92,91,1,92
26,State,Uttar Pradesh,123,353,471,257,1204,1090,96,18,1204,265,360,285,174,100,20,1204,1192,12,1204
27,State,Uttarakhand,23,27,20,16,86,65,3,18,86,10,28,28,17,3,0,86,86,0,86
28,State,West Bengal,54,134,219,213,620,360,118,142,620,252,249,119,0,0,0,620,605,15,620
State,State,Total (States),5883,12427,10026,4319,32655,26540,4256,1859,32655,18734,"8655


","3645


","1148


","380


","93


","32655


","28967


","3688


","32655


"
29,Union Territory,A & N Islands,1,1,4,2,8,8,0,0,8,4,2,2,0,0,0,8,8,0,8
30,Union Territory,Chandigarh,35,62,39,23,159,158,1,0,159,51,26,53,20,9,0,159,157,2,159
31,Union Territory,D & N Haveli,0,12,10,0,22,22,0,0,22,11,11,0,0,0,0,22,22,0,22
32,Union Territory,Daman & Diu,1,4,6,5,16,12,4,0,16,1,1,7,5,0,2,16,16,0,16
33,Union Territory,Delhi,202,281,369,90,942,754,123,65,942,382,330,181,39,9,1,942,737,205,942
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,16,65,4,85,83,2,0,85,47,34,4,0,0,0,85,83,2,85
Union Territory,Union Territory,Total (UTs),239,376,493,124,1232,1037,130,65,1232,496,404,247,64,18,3,1232,1023,209,1232
Total (All-India),Total (All-India),Total (All-India),6122,12803,10519,4443,33887,27577,4386,1924,33887,19230,9059,3892,1212,398,96,33887,29990,3897,33887
