Sl. No.,Category,Crime head,2007,2008,2009,2010,2011
1,IPC Crimes,Murder (sec.302 IPC),2,1.9,1.9,1.9,2.1
2,IPC Crimes,Attempt to commit murder (sec. 307 IPC),2.3,2.3,2.2,2.2,2.4
3,IPC Crimes,"C.H. not amounting murder (sec. 304, 308 IPC)",1.9,1.7,1.6,1.9,1.9
4,IPC Crimes,Rape(sec. 376 IPC),1.2,1.2,1.2,1.2,1.2
5,IPC Crimes,Rape(sec. 376 IPC) - custodial rape,0,0,3.5,1.7,1
6,IPC Crimes,Rape(sec. 376 IPC) - other rape,1.2,1.2,1.2,1.2,1.2
7,IPC Crimes,"Kidnapping & abduction (sec. 363-369,371-373 IPC)",1.3,1.3,1.2,1.2,1.3
8,IPC Crimes,"Kidnapping & abduction (sec. 363-369,371-373 IPC) - of women & girls",1.2,1.2,1.2,1.1,1.3
9,IPC Crimes,"Kidnapping & abduction (sec. 363-369,371-373 IPC) - of others",1.7,1.5,1.4,1.3,1.3
10,IPC Crimes,Dacoity(sec. 395-398 IPC),4,3.9,3.8,4,4
11,IPC Crimes,Preparation & assembly for dacoity (sec. 399-402 IPC),3.9,3.9,3.9,4,3.9
12,IPC Crimes,"Robbery(sec. 392-394,397,398 IPC)",1.6,1.5,1.5,1.5,1.4
13,IPC Crimes,"Burglary(sec. 449-452,454,455,457-460 IPC)",0.7,0.7,0.7,0.8,0.7
14,IPC Crimes,Theft(sec. 379-382 IPC),0.7,0.7,0.6,0.6,0.6
15,IPC Crimes,Theft(sec. 379-382 IPC) - auto theft,0.4,0.4,0.4,0.4,0.4
16,IPC Crimes,Theft(sec. 379-382 IPC) - other theft,0.8,0.8,0.8,0.8,0.8
17,IPC Crimes,"Riots(sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",5.3,5,4.8,4.7,5.2
18,IPC Crimes,Criminal breach of trust (sec. 406-409 IPC),1.2,1.2,1.2,1.2,1.4
19,IPC Crimes,"Cheating(sec. 419,420 IPC)",1,1,0.9,1,1.1
20,IPC Crimes,"Counterfeiting(sec. 231-254,489a-489d IPC)",1.2,0.9,1,0.9,0.9
21,IPC Crimes,"Arson(sec. 435,436,438 IPC)",1.3,1.2,1.3,1.3,1.4
22,IPC Crimes,"Hurt(sec. 323-333,335-338 IPC)",1.8,1.8,1.8,1.7,1.7
23,IPC Crimes,Dowry deaths (sec. 304b IPC),2.7,2.8,2.8,2.8,2.9
24,IPC Crimes,Molestation (sec. 354 IPC),1.2,1.2,1.2,1.2,1.3
25,IPC Crimes,Sexual harassment (sec. 509 IPC),1.3,1.2,1.3,1,1.2
26,IPC Crimes,Cruelty by husband and relatives (sec. 498a IPC),2.1,2,1.9,1.9,1.8
27,IPC Crimes,Importation of girls (sec. 366b IPC),1.6,1.9,1,2.3,2.8
28,IPC Crimes,Death due to negligence (304a IPC),0.8,0.8,0.8,0.8,0.8
29,IPC Crimes,Other IPC crimes,1.3,1.3,1.3,1.2,1.3
30,IPC Crimes,Total cognizable crimes under IPC,1.4,1.4,1.3,1.3,1.4
1,SLL Crimes,Arms act,1.1,1.1,1.1,1.1,1.1
2,SLL Crimes,Narcotic drugs & psychotropic substances act,1.2,1.2,1.2,1.2,1.2
3,SLL Crimes,Gambling act,1.9,2.1,2.2,2.2,2.3
4,SLL Crimes,Excise act,1.1,1.1,1.1,1.1,1.1
5,SLL Crimes,Prohibition act,1,1,1.1,1.1,1.1
6,SLL Crimes,Explosives & explosive substances act,1.3,1.3,1.2,1.2,1.3
7,SLL Crimes,Immoral traffic (p) act,2.8,3.1,3.2,2.7,3.1
8,SLL Crimes,Indian railways act,1.4,0.8,0.9,0.6,1.5
9,SLL Crimes,The foreigners act,2.1,1.9,1.5,2,1.8
10,SLL Crimes,Protection of civil rights act,1.8,1.5,2.1,2.4,4.6
11,SLL Crimes,Protection of civil rights act - PCR act for SCs,1.8,1.5,2.1,2.4,5
12,SLL Crimes,Protection of civil rights act - PCR act for STs,1.6,1.3,1,2.2,1
13,SLL Crimes,Indian passport act,1.9,1.9,1.6,1.6,1.5
14,SLL Crimes,Essential commodities act,1.5,1.4,1.4,1.5,1.5
15,SLL Crimes,Terrorist & disruptive activities act,0,0,0,0,0
16,SLL Crimes,Antiquities & art treasures act,1.9,1.8,1.9,1.8,1.5
17,SLL Crimes,Dowry prohibition act,1.8,1.9,1.8,2.3,1.9
18,SLL Crimes,Prohibition of child marriage act,2.3,2.8,0.3,3.4,2.9
19,SLL Crimes,Indecent representation of women (p) act,1,1.1,1,1.1,1
20,SLL Crimes,Copyright act,1.2,1.3,1.3,1.2,1.3
21,SLL Crimes,Sati prevention act,0,7,0,0,0
22,SLL Crimes,SC/ST (prevention of atrocities) act,1.9,1.8,1.7,1.6,1.9
23,SLL Crimes,SC/ST (prevention of atrocities) act - prevention of attrocities act for SCs,1.9,1.9,1.7,1.6,1.9
24,SLL Crimes,SC/ST (prevention of atrocities) act - prevention of attrocities act for STs,1.6,1.8,1.7,1.6,1.5
25,SLL Crimes,Forest act,1.5,1.5,1.5,1.4,1.4
26,SLL Crimes,Other SLL crimes,1,1.1,1,1,1
27,SLL Crimes,Total cognizable crimes under SLL,1.1,1.1,1.1,1.1,1.1
