Sr. No.,Category,State/UT,Murder (Sec. 302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) Total,Rape (Sec. 376 IPC) Custodial,Rape (Sec. 376 IPC) Others,"Kidnapping and Abduction (Sec. 363369, 371373 IPC) Total","Kidnapping and Abduction (Sec. 363369, 371373 IPC) of Women and Girls","Kidnapping and Abduction (Sec. 363369, 371373 IPC) of Others",Dacoity (Sec. 395398 IPC),Preparation and Assembly for Dacoity (Sec.399402 IPC),"Robbery (Sec.392394, 397,398 IPC)","Burglary (Sec. 449452, 454,455, 457460 IPC)",Theft (Sec. 379382 IPC) Total,Theft (Sec. 379382 IPC) Auto Theft,Theft (Sec. 379382 IPC) Other Theft,"Riots (Sec. 143145,147151, 153,153A,153B,157, 158,160 IPC)",Criminal Breach of Trust (Sec.406409 IPC),"Cheating (Sec.419, 420 IPC)","Counterfeiting (Sec. 231254,489A,489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323333,335338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,90.2,94.6,94,96.3,NA,96.3,92.2,91.4,94.7,91.4,100,79.9,70.7,72.1,71.4,72.4,95.5,76.5,77.3,55.5,79.2,95,98.1,98.3,98.7,99,NA,85.3,91.1,88
2,State,Arunachal Pradesh,77.3,84,100,84.4,NA,84.4,57.9,63.2,47.4,8.3,NA,52.1,42.7,40.8,45.7,39.4,56.5,47.2,65.5,42.9,48,75.4,NA,81.1,100,72.7,NA,51.5,60.9,59.1
3,State,Assam,71,62.8,75.6,77,100,77,51.9,53.2,46.1,59.9,72.2,53.7,30.1,32.6,29.7,33.4,60.7,55.6,45.8,72.2,49.6,70.5,86.5,64.3,66.7,75.5,100,74.9,51.2,54.3
4,State,Bihar,80.5,88.9,72.7,79.8,100,79.8,67.6,69.8,63.5,48.1,84.8,44.4,27.5,23.8,18.6,25.6,89.2,69.4,75.7,77.1,66.1,92.7,81,89.6,82.4,82.1,83.9,68.3,83.7,74.1
5,State,Chhattisgarh,91.3,94,95.5,99.1,NA,99.1,88,87.9,88.4,84.7,100,69.9,36.9,34.8,27.7,40.1,95.8,84.3,85.8,43.9,55.9,98.2,97.3,98.9,93.8,99.6,100,66.1,91.9,83.3
6,State,Goa,76.7,93.1,100,94.3,NA,94.3,78.3,66.7,100,100,NA,51.9,25.9,21.7,13.6,27,76.4,31.1,37.9,25,50,89.9,100,82.4,100,66.7,NA,82.1,82.8,54
7,State,Gujarat,85,96,94,96.9,NA,96.9,84.4,84,87.3,80.1,100,60.2,40.5,37,29.7,46.7,97.7,84,78.9,20.2,82.5,97.3,96.3,99.5,92,99.3,NA,73.5,96.1,84.4
8,State,Haryana,85.3,92.2,95.2,97.4,NA,97.4,92.3,93.2,90.1,77.6,100,65.6,35.3,31.4,25.6,45.9,93.8,78.1,77.9,77.8,79.9,97.5,98.2,98.8,96.2,92.4,NA,72.8,86.7,66.7
9,State,Himachal Pradesh,85.3,93,100,100,NA,100,83,86.7,54.5,66.7,NA,71.4,30.6,47.4,35.8,54.4,97.6,80.3,82.1,100,58.6,93.4,100,99.3,86.7,99.5,NA,60.3,95,84.8
10,State,Jammu & Kashmir,59.3,76.5,89.7,98.7,NA,98.7,93.4,94.6,76.9,77.8,NA,77.5,26.4,58,24.2,78,91.6,89.1,87.7,100,48.2,96.5,80,99,98.8,99.6,NA,85.5,92.7,84
11,State,Jharkhand,72.9,86.9,83.8,82.7,NA,82.7,78,75.7,82.8,52,83.3,52.2,31.6,30.1,29.3,30.5,86.7,70.2,70.8,52.4,56.4,85.9,88,84.4,81.3,80.1,37.5,72.2,82.5,70.3
12,State,Karnataka,88.6,96,94.9,95,NA,95,55.5,73.7,38.7,73.6,99.4,65.1,39.7,27,20.8,37.5,94.3,78.5,46.4,38,64.4,93,98.1,95.2,60.3,97.2,100,94.2,89.8,76.8
13,State,Kerala,94.4,96.2,97.8,95.5,NA,95.5,88.3,89.9,83.9,84.5,100,80.5,51.1,60.1,47.2,66.4,97.1,77.6,79.8,50,52.8,98.5,100,98.8,98.3,98.9,NA,91.7,98,95.6
14,State,Madhya Pradesh,91.3,94.7,91.9,98.7,NA,98.7,90.2,90.1,90.9,90.6,99.1,68.2,32,32.4,22,43.9,96.2,89,83.1,58.8,83.2,98.3,99.9,99.5,98,99.5,97.5,83.6,95.1,85.9
15,State,Maharashtra,88.6,96.6,95.1,97.6,NA,97.6,86.7,86.9,86,86.4,99.3,68.2,39.8,35.9,25.5,41.6,96.8,79.8,63.4,23,70.1,97,99.4,97.9,96.8,98.8,NA,73.3,90.2,70.8
16,State,Manipur,13.1,2.3,NA,14.3,NA,14.3,1,0,3.4,0,5.1,NA,8.8,4.2,1.4,9.7,0,0,4.5,50,0,3.4,NA,0,100,0,NA,0,9.8,6.5
17,State,Meghalaya,51.9,56.3,50,78.6,NA,78.6,37.5,26.1,48,30,NA,29.1,37.5,34.2,20.4,37.5,NA,61.4,58.3,87.5,20.5,59.5,100,70.9,NA,90.9,0,84.8,78.3,56
18,State,Mizoram,95.2,100,100,100,NA,100,100,NA,100,100,NA,100,83,93.7,86.7,93.8,NA,100,98,100,40.9,97.7,NA,100,NA,100,NA,100,96.7,92.7
19,State,Nagaland,76.6,77.3,69.2,83.3,NA,83.3,58.5,66.7,57.9,85.7,NA,76.7,65.3,68.8,76.9,64.9,100,90.9,88.4,100,100,86.7,NA,100,100,100,NA,80,79.9,75.5
20,State,Odisha,96,97.2,100,99.1,NA,99.1,96.5,96.6,96.3,93.1,100,78.9,56.5,58.3,52.4,61.2,96.6,95.7,92.6,84.2,76.5,95,99.3,98.4,97.5,96.4,100,87.2,92.5,86.3
21,State,Punjab,83.8,82.7,89.5,92.6,NA,92.6,73.1,75.6,67.8,82.5,100,80.2,55.6,60.1,54.9,64.4,NA,83.1,83.8,98,75,82.5,96,83.2,69.7,86.9,NA,68.9,81,75.8
22,State,Rajasthan,90.2,96.9,98.5,99.6,NA,99.6,85.9,85,89.7,91.7,100,69.8,33.7,22.9,16.4,33.4,98.7,84.8,83.7,66.1,73,99.3,99.7,99,100,99.7,NA,88.1,94.1,79.8
23,State,Sikkim,100,100,100,100,NA,100,100,100,NA,NA,NA,50,55.9,79.7,60,81.5,100,100,63.6,0,25,92.6,NA,94.1,NA,100,NA,50,74.3,77.3
24,State,Tamil Nadu,96.3,95.4,81.8,96.6,NA,96.6,66.1,64.4,77.3,93.3,66.7,91.1,81.9,76.2,71.3,79.2,92.3,77.5,65.5,36.6,66.1,95,98.3,94.9,91.7,87.4,NA,87.5,88.2,87.5
25,State,Tripura,86.1,92,100,93.7,NA,93.7,74.1,78.3,57.1,75,NA,75.9,31.7,42.6,30.3,44.4,84.3,60.3,48.4,57.1,51.1,89.5,94.9,89.2,75,95.8,NA,89.8,85.8,81.6
26,State,Uttar Pradesh,87.1,84.5,87.1,93.4,0,93.5,65.9,67,56.3,92.9,97.1,79.4,39.1,26.8,16,43.1,84.5,56.4,56.1,30.2,71.2,85.4,88.8,96.8,100,78.4,NA,81.5,80.8,68.7
27,State,Uttarakhand,86.6,85.1,93.3,89.9,NA,89.9,65.2,65.6,60.9,100,100,79.4,57.2,45.9,32.9,55.2,83.3,57.3,62.6,45,64.3,86.6,97.4,95.5,98.6,80,NA,82.9,80.3,71.5
28,State,West Bengal,79.3,91.1,83.7,92.8,NA,92.8,74.6,79.2,52.8,74.8,94.1,59.8,36.3,22.7,18.4,23.5,91.3,70.3,66,81.4,67.8,93.2,98.9,96,79,97.4,0,79.2,85.6,77.6
State,State,Total (states),85.7,90.6,86.9,93.7,75,93.7,73.1,74.7,66.5,72,94,68.5,43.2,37.6,28.1,44.9,91.6,71.1,68.7,45,68.5,94.7,91.9,96.6,96.4,94.4,82.4,79.9,89.8,79.5
