Sl. No.,Category,State/UT,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 – 18 Years - Boys,16 – 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total
1,State,Andhra Pradesh,0,0,12,0,34,4,46,4,50
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,3,0,3,0,3
4,State,Bihar,0,0,11,0,50,0,61,0,61
5,State,Chhattisgarh,2,0,177,79,157,99,336,178,514
6,State,Goa,9,26,7,1,0,0,16,27,43
7,State,Gujarat,6,0,79,13,336,108,421,121,542
8,State,Haryana,0,0,3,0,71,2,74,2,76
9,State,Himachal Pradesh,0,0,4,0,18,0,22,0,22
10,State,Jammu & Kashmir,0,0,1,0,2,0,3,0,3
11,State,Jharkhand,0,0,5,0,38,4,43,4,47
12,State,Karnataka,0,0,5,0,4,0,9,0,9
13,State,Kerala,1,0,6,0,35,0,42,0,42
14,State,Madhya Pradesh,2,0,65,1,229,2,296,3,299
15,State,Maharashtra,11,7,60,8,259,8,330,23,353
16,State,Manipur,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,4,0,0,0,4,0,4
18,State,Mizoram,6,6,19,2,17,1,42,9,51
19,State,Nagaland,0,0,2,0,1,0,3,0,3
20,State,Odisha,0,0,5,0,11,0,16,0,16
21,State,Punjab,0,0,5,0,17,0,22,0,22
22,State,Rajasthan,0,0,23,3,71,0,94,3,97
23,State,Sikkim,0,0,0,0,14,1,14,1,15
24,State,Tamil Nadu,220,24,293,23,119,4,632,51,683
25,State,Tripura,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,0,27,4,42,1,69,5,74
27,State,Uttarakhand,0,0,2,0,1,0,3,0,3
28,State,West Bengal,9,4,18,2,25,7,52,13,65
State,State,Total (States),266,67,833,136,1554,241,2653,444,3097
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,2,0,2,0,4,0,4
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,2,0,2,2
33,Union Territory,Delhi,0,0,0,0,8,0,8,0,8
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,10,0,10,0,10
Union Territory,Union Territory,Total (UTs),0,0,2,0,20,2,22,2,24
Total (All-India),Total (All-India),Total (All-India),266,67,835,136,1574,243,2675,446,3121
