Sl. No.,Category,State /UT,No. of Cases in Which offenders Were Known to the Victims,No. of Cases in Which offenders Were - Parents / Close Family Members,No. of Cases in Which offenders Were - Relatives,No. of Cases in Which offenders Were - Neighbours,No. of Cases in Which offenders Were - Other Known Persons
1,State,Andhra Pradesh,1442,0,29,362,1051
2,State,Arunachal Pradesh,42,0,0,5,37
3,State,Assam,1700,0,72,418,1210
4,State,Bihar,934,2,18,408,506
5,State,Chhattisgarh,1053,39,135,392,487
6,State,Goa,28,1,1,7,19
7,State,Gujarat,438,2,29,74,333
8,State,Haryana,733,8,43,393,289
9,State,Himachal Pradesh,168,8,7,25,128
10,State,Jammu & Kashmir,276,0,18,77,181
11,State,Jharkhand,784,8,117,306,353
12,State,Karnataka,352,1,42,81,228
13,State,Kerala,1119,38,56,244,781
14,State,Madhya Pradesh,3406,10,301,1849,1246
15,State,Maharashtra,1699,43,97,566,993
16,State,Manipur,53,0,0,16,37
17,State,Meghalaya,117,6,14,24,73
18,State,Mizoram,77,3,16,32,26
19,State,Nagaland,16,9,0,4,3
20,State,Odisha,1112,0,92,302,718
21,State,Punjab,467,6,61,156,244
22,State,Rajasthan,1689,43,134,502,1010
23,State,Sikkim,16,1,0,1,14
24,State,Tamil Nadu,675,2,96,249,328
25,State,Tripura,205,1,14,99,91
26,State,Uttar Pradesh,2042,2,79,452,1509
27,State,Uttarakhand,112,4,6,35,67
28,State,West Bengal,1184,7,20,540,617
State,State,Total (States),21939,244,1497,7619,12579
29,Union Territory,A & N Islands,13,0,3,1,9
30,Union Territory,Chandigarh,27,0,0,2,25
31,Union Territory,D & N Haveli,4,0,0,0,4
32,Union Territory,Daman & Diu,1,0,1,0,0
33,Union Territory,Delhi,558,23,59,211,265
34,Union Territory,Lakshadweep,0,0,0,0,0
35,Union Territory,Puducherry,7,0,0,2,5
Union Territory,Union Territory,Total (UTs),610,23,63,216,308
Total (All-India),Total (All-India),Total (All-India),22549,267,1560,7835,12887
36,City,Agra,61,0,2,6,53
37,City,Ahmedabad,60,0,3,7,50
38,City,Allahabad,10,0,2,2,6
39,City,Amritsar,20,2,0,14,4
40,City,Asansol,31,0,3,10,18
41,City,Aurangabad,16,0,0,1,15
42,City,Bengaluru,97,0,35,15,47
43,City,Bhopal,100,0,26,52,22
44,City,Chandigarh(c),21,0,0,2,19
45,City,Chennai,74,0,2,46,26
46,City,Coimbatore,9,0,0,2,7
47,City,Delhi (city),442,20,48,156,218
48,City,Dhanbad,10,0,0,6,4
49,City,Durg-bhilainagar,61,0,2,56,3
50,City,Faridabad,54,0,3,17,34
51,City,Ghaziabad,4,0,0,1,3
52,City,Gwalior,48,0,2,11,35
53,City,Hyderabad,59,0,0,8,51
54,City,Indore,91,0,0,84,7
55,City,Jabalpur,64,0,52,11,1
56,City,Jaipur,92,2,0,26,64
57,City,Jamshedpur,18,0,2,5,11
58,City,Jodhpur,33,0,0,0,33
59,City,Kannur,12,0,2,1,9
60,City,Kanpur,71,0,2,12,57
61,City,Kochi,30,1,1,12,16
62,City,Kolkata,46,0,1,19,26
63,City,Kollam,50,0,2,11,37
64,City,Kota,24,0,2,12,10
65,City,Kozhikode,14,1,0,3,10
66,City,Lucknow,38,0,2,7,29
67,City,Ludhiana,42,1,0,9,32
68,City,Madurai,7,0,0,2,5
69,City,Malappuram,16,0,2,7,7
70,City,Meerut,23,0,3,4,16
71,City,Mumbai,220,4,11,46,159
72,City,Nagpur,44,1,2,10,31
73,City,Nasik,25,6,4,0,15
74,City,Patna,27,0,5,13,9
75,City,Pune,79,1,7,34,37
76,City,Raipur,24,1,0,16,7
77,City,Rajkot,9,1,0,1,7
78,City,Ranchi,34,0,12,14,8
79,City,Srinagar,13,0,2,1,10
80,City,Surat,36,0,0,7,29
81,City,Thiruvananthapuram,39,0,0,4,35
82,City,Thrissur,28,1,1,9,17
83,City,Tiruchirapalli,6,0,0,5,1
84,City,Vadodara,9,0,2,0,7
85,City,Varanasi,5,0,0,1,4
86,City,Vasai Virar,21,4,0,9,8
87,City,Vijayawada,37,0,0,0,37
88,City,Vishakhapatnam,57,0,0,9,48
City,City,Total (Cities),2561,46,245,816,1454
