Sr. No.,Category,State/UT,Murder (Sec. 302 IPC) - Incidence,Murder (Sec. 302 IPC) - Rate,Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC)- Total - Incidence,Rape (Sec. 376 IPC) - Total - Rate,Rape (Sec. 376 IPC) - Custodial - Incidence,Rape (Sec. 376 IPC) - Custodial - Rate,Rape (Sec. 376 IPC) - Others - Incidence,Rape (Sec. 376 IPC) - Others - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) -of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455,457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455,457-460 IPC) - Rate",Theft (Sec.379-382 IPC) - Total - Incidence,Theft (Sec.379-382 IPC) - Total - Rate,Theft (Sec.379-382 IPC) - Auto Theft - Incidence,Theft (Sec.379-382 IPC) - Auto Theft - Rate,Theft (Sec.379-382 IPC) - Other Theft - Incidence,Theft (Sec.379-382 IPC) - Other Theft - Rate,"Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Incidence","Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC) - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.340B IPC) - Incidence,Dowry Deaths (Sec.340B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,State,Andhra Pradesh,2808,3.3,2229,2.6,171,0.2,1442,1.7,0,0,1442,1.7,2154,2.5,1612,1.9,542,0.6,126,0.1,7,0,600,0.7,8300,9.8,28267,33.4,8966,10.6,19301,22.8,2210,2.6,1174,1.4,9748,11.5,224,0.3,1021,1.2,54452,64.3,599,0.7,4849,5.7,3658,4.3,13376,15.8,0,0,13973,16.5,38392,45.3,189780,224.2
2,State,Arunachal Pradesh,65,4.7,29,2.1,2,0.1,42,3,0,0,42,3,93,6.7,60,4.3,33,2.4,13,0.9,0,0,64,4.6,183,13.2,414,29.9,152,11,262,18.9,49,3.5,54,3.9,74,5.4,2,0.1,34,2.5,379,27.4,0,0,51,3.7,0,0,18,1.3,0,0,98,7.1,622,45,2286,165.3
3,State,Assam,1303,4.2,504,1.6,48,0.2,1700,5.5,0,0,1700,5.5,3764,12.1,3192,10.2,572,1.8,305,1,4,0,837,2.7,3327,10.7,8309,26.7,585,1.9,7724,24.8,2328,7.5,920,3,1495,4.8,60,0.2,506,1.6,6306,20.2,121,0.4,1193,3.8,8,0,5246,16.8,2,0,2915,9.4,25513,81.9,66714,214
4,State,Bihar,3198,3.1,3327,3.2,348,0.3,934,0.9,1,0,933,0.9,4268,4.1,3050,2.9,1218,1.2,556,0.5,105,0.1,1381,1.3,3629,3.5,16292,15.7,5041,4.9,11251,10.8,9768,9.4,1741,1.7,3776,3.6,64,0.1,705,0.7,19391,18.7,1413,1.4,790,0.8,11,0,2607,2.5,10,0,5877,5.7,55705,53.7,135896,130.9
5,State,Chhattisgarh,1110,4.3,747,2.9,28,0.1,1053,4.1,0,0,1053,4.1,472,1.8,365,1.4,107,0.4,68,0.3,7,0,470,1.8,3548,13.9,5315,20.8,2292,9,3023,11.8,934,3.7,180,0.7,980,3.8,65,0.3,289,1.1,11105,43.5,104,0.4,1654,6.5,174,0.7,834,3.3,2,0,2856,11.2,25223,98.8,57218,224
6,State,Goa,48,3.3,22,1.5,6,0.4,29,2,0,0,29,2,28,1.9,17,1.2,11,0.8,2,0.1,0,0,26,1.8,318,21.8,1115,76.5,463,31.8,652,44.7,74,5.1,45,3.1,142,9.7,31,2.1,24,1.6,215,14.7,1,0.1,29,2,12,0.8,18,1.2,0,0,263,18,1001,68.7,3449,236.6
7,State,Gujarat,1126,1.9,478,0.8,43,0.1,439,0.7,0,0,439,0.7,1614,2.7,1442,2.4,172,0.3,221,0.4,24,0,1368,2.3,4509,7.5,16043,26.6,8934,14.8,7109,11.8,1615,2.7,1339,2.2,1399,2.3,256,0.4,263,0.4,10159,16.8,30,0,685,1.1,93,0.2,6052,10,0,0,5827,9.7,69788,115.6,123371,204.3
8,State,Haryana,1062,4.2,851,3.4,60,0.2,733,2.9,0,0,733,2.9,959,3.8,733,2.9,226,0.9,167,0.7,176,0.7,638,2.5,5011,19.8,17425,68.7,12541,49.5,4884,19.3,1466,5.8,812,3.2,1761,6.9,18,0.1,166,0.7,3423,13.5,255,1,474,1.9,490,1.9,2740,10.8,0,0,1505,5.9,20549,81.1,60741,239.6
9,State,Himachal Pradesh,130,1.9,50,0.7,6,0.1,168,2.5,0,0,168,2.5,212,3.1,191,2.8,21,0.3,1,0,0,0,10,0.1,995,14.5,1042,15.2,356,5.2,686,10,530,7.7,143,2.1,359,5.2,4,0.1,110,1.6,1251,18.2,4,0.1,331,4.8,62,0.9,239,3.5,0,0,563,8.2,8102,118.2,14312,208.7
10,State,Jammu & Kashmir,169,1.3,494,3.9,29,0.2,277,2.2,0,0,277,2.2,1077,8.6,1023,8.2,54,0.4,14,0.1,0,0,88,0.7,1516,12.1,2655,21.2,930,7.4,1725,13.7,1405,11.2,195,1.6,612,4.9,39,0.3,205,1.6,246,2,11,0.1,1194,9.5,350,2.8,286,2.3,0,0,385,3.1,13257,105.6,24504,195.3
