Sl. No.,Category,State/UT,No. of Cases Reported for Incest (Rape),No. of Victims Upto 10 for Incest (Rape) Years,No. of Victims 10 - 14 for Incest (Rape) Years,No. of Victims 14 - 18 for Incest (Rape) Years,No. of Victims 18 - 30 for Incest (Rape) Years,No. of Victims 30 - 50 for Incest (Rape) Years,No. of Victims Above 50 for Incest (Rape) Years,No. of Victims - Total for Incest (Rape)Victims,No. of Cases Reported for Other (Rape),No. of Victims Upto 10 for Other (Rape) Years,No. of Victims 10 - 14 for Other (Rape) Years,No. of Victims 14 - 18 for Other (Rape) Years,No. of Victims 18 - 30 for Other (Rape) Years,No. of Victims 30 - 50 for Other (Rape) Years,No. of Victims Above 50 for Other (Rape) Years,No. of Victims - Total for Other (Rape) Victims,No. of Cases Reported for Rape Cases (Total),No. of Victims Upto 10 for Rape Cases (Total) Years,No. of Victims 10 - 14 for Rape Cases (Total) Years,No. of Victims 14 - 18 for Rape Cases (Total) Years,No. of Victims 18 - 30 for Rape Cases (Total) Years,No. of Victims 30 - 50 for Rape Cases (Total) Years,No. of Victims Above 50 for Rape Cases (Total) Years,No. of Victims - Total for Rape Cases (Total) Victims
1,State,Andhra Pradesh,0,0,0,0,0,0,0,0,1442,99,147,400,652,136,8,1442,1442,99,147,400,652,136,8,1442
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,42,6,13,1,22,0,0,42,42,6,13,1,22,0,0,42
3,State,Assam,0,0,0,0,0,0,0,0,1700,4,9,27,1114,538,8,1700,1700,4,9,27,1114,538,8,1700
4,State,Bihar,2,2,0,0,0,0,0,2,932,21,18,50,757,86,0,932,934,23,18,50,757,86,0,934
5,State,Chhattisgarh,39,0,3,31,4,1,0,39,1014,33,97,313,373,185,13,1014,1053,33,100,344,377,186,13,1053
6,State,Goa,1,0,1,0,0,0,0,1,28,3,5,11,7,2,0,28,29,3,6,11,7,2,0,29
7,State,Gujarat,2,0,0,0,0,2,0,2,437,16,45,69,263,37,7,437,439,16,45,69,263,39,7,439
8,State,Haryana,8,0,0,2,5,1,0,8,725,9,15,40,545,114,2,725,733,9,15,42,550,115,2,733
9,State,Himachal Pradesh,8,0,3,2,2,1,0,8,160,7,9,51,71,19,3,160,168,7,12,53,73,20,3,168
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,277,2,3,15,201,56,0,277,277,2,3,15,201,56,0,277
11,State,Jharkhand,8,0,1,4,3,0,0,8,776,0,6,38,588,142,2,776,784,0,7,42,591,142,2,784
12,State,Karnataka,1,1,0,0,0,0,0,1,635,20,24,59,471,60,1,635,636,21,24,59,471,60,1,636
13,State,Kerala,38,6,12,12,8,0,0,38,1094,53,86,272,414,260,21,1106,1132,59,98,284,422,260,21,1144
14,State,Madhya Pradesh,10,0,0,4,6,0,0,10,3396,67,309,882,1567,546,27,3398,3406,67,309,886,1573,546,27,3408
15,State,Maharashtra,43,6,9,14,10,4,0,43,1658,130,166,520,714,165,7,1702,1701,136,175,534,724,169,7,1745
16,State,Manipur,0,0,0,0,0,0,0,0,53,4,8,11,23,6,1,53,53,4,8,11,23,6,1,53
17,State,Meghalaya,6,1,3,2,0,0,0,6,124,24,27,13,47,16,1,128,130,25,30,15,47,16,1,134
18,State,Mizoram,3,3,0,0,0,0,0,3,74,18,13,15,17,10,1,74,77,21,13,15,17,10,1,77
19,State,Nagaland,9,1,3,3,1,1,0,9,14,4,3,1,3,3,0,14,23,5,6,4,4,4,0,23
20,State,Odisha,0,0,0,0,0,0,0,0,1112,2,44,119,758,172,17,1112,1112,2,44,119,758,172,17,1112
21,State,Punjab,6,0,0,2,4,0,0,6,473,20,32,113,274,32,3,474,479,20,32,115,278,32,3,480
22,State,Rajasthan,43,0,0,7,25,11,0,43,1757,26,73,288,1027,331,12,1757,1800,26,73,295,1052,342,12,1800
23,State,Sikkim,1,0,0,1,0,0,0,1,15,3,3,4,4,0,1,15,16,3,3,5,4,0,1,16
24,State,Tamil Nadu,2,0,0,1,1,0,0,2,675,45,46,180,364,39,2,676,677,45,46,181,365,39,2,678
25,State,Tripura,1,0,0,1,0,0,0,1,204,22,22,0,141,18,1,204,205,22,22,1,141,18,1,205
26,State,Uttar Pradesh,2,0,0,1,1,0,0,2,2040,150,305,632,815,138,0,2040,2042,150,305,633,816,138,0,2042
27,State,Uttarakhand,4,0,3,1,0,0,0,4,125,1,6,12,83,23,0,125,129,1,9,13,83,23,0,129
28,State,West Bengal,7,0,0,7,0,0,0,7,2356,1,34,210,1671,439,1,2356,2363,1,34,217,1671,439,1,2363
State,State,Total (States),244,20,38,95,70,21,0,244,23338,790,1568,4346,12986,3573,139,23402,23582,810,1606,4441,13056,3594,139,23646
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,13,2,2,5,4,0,0,13,13,2,2,5,4,0,0,13
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,27,6,1,9,6,5,0,27,27,6,1,9,6,5,0,27
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,4,4,0,0,1,2,1,0,4
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
33,Union Territory,Delhi,23,0,10,7,5,1,0,23,549,57,87,178,189,36,2,549,572,57,97,185,194,37,2,572
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,7,0,1,5,1,0,0,7,7,0,1,5,1,0,0,7
Union Territory,Union Territory,Total (UTs),23,0,10,7,5,1,0,23,601,65,91,198,203,42,2,601,624,65,101,205,208,43,2,624
Total (All-India),Total (All-India),Total (All-India),267,20,48,102,75,22,0,267,23939,855,1659,4544,13189,3615,141,24003,24206,875,1707,4646,13264,3637,141,24270
36,City,Agra,0,0,0,0,0,0,0,0,61,5,5,22,26,3,0,61,61,5,5,22,26,3,0,61
37,City,Ahmedabad,0,0,0,0,0,0,0,0,60,0,0,1,50,3,6,60,60,0,0,1,50,3,6,60
38,City,Allahabad,0,0,0,0,0,0,0,0,10,2,2,2,4,0,0,10,10,2,2,2,4,0,0,10
39,City,Amritsar,2,0,0,2,0,0,0,2,18,1,1,3,11,2,0,18,20,1,1,5,11,2,0,20
40,City,Asansol,0,0,0,0,0,0,0,0,31,0,0,0,29,2,0,31,31,0,0,0,29,2,0,31
41,City,Aurangabad,0,0,0,0,0,0,0,0,16,0,2,4,8,2,0,16,16,0,2,4,8,2,0,16
42,City,Bengaluru,0,0,0,0,0,0,0,0,97,12,1,0,74,10,0,97,97,12,1,0,74,10,0,97
43,City,Bhopal,0,0,0,0,0,0,0,0,100,3,8,21,48,20,0,100,100,3,8,21,48,20,0,100
44,City,Chandigarh(c),0,0,0,0,0,0,0,0,21,5,0,7,5,4,0,21,21,5,0,7,5,4,0,21
45,City,Chennai,0,0,0,0,0,0,0,0,76,10,3,33,29,1,0,76,76,10,3,33,29,1,0,76
46,City,Coimbatore,0,0,0,0,0,0,0,0,9,1,0,4,3,1,0,9,9,1,0,4,3,1,0,9
47,City,Delhi (city),20,0,9,7,3,1,0,20,433,44,66,146,148,27,2,433,453,44,75,153,151,28,2,453
48,City,Dhanbad,0,0,0,0,0,0,0,0,10,0,0,0,6,4,0,10,10,0,0,0,6,4,0,10
49,City,Durg-bhilainagar,0,0,0,0,0,0,0,0,61,2,14,13,17,15,0,61,61,2,14,13,17,15,0,61
50,City,Faridabad,0,0,0,0,0,0,0,0,54,2,6,8,29,7,2,54,54,2,6,8,29,7,2,54
51,City,Ghaziabad,0,0,0,0,0,0,0,0,5,0,1,2,2,0,0,5,5,0,1,2,2,0,0,5
52,City,Gwalior,0,0,0,0,0,0,0,0,48,3,6,16,13,8,2,48,48,3,6,16,13,8,2,48
53,City,Hyderabad,0,0,0,0,0,0,0,0,59,0,3,7,38,11,0,59,59,0,3,7,38,11,0,59
54,City,Indore,0,0,0,0,0,0,0,0,91,0,2,22,64,3,0,91,91,0,2,22,64,3,0,91
55,City,Jabalpur,0,0,0,0,0,0,0,0,64,1,3,23,19,14,4,64,64,1,3,23,19,14,4,64
56,City,Jaipur,2,0,0,0,1,1,0,2,90,3,3,22,50,12,0,90,92,3,3,22,51,13,0,92
57,City,Jamshedpur,0,0,0,0,0,0,0,0,18,0,0,0,12,5,1,18,18,0,0,0,12,5,1,18
58,City,Jodhpur,0,0,0,0,0,0,0,0,33,1,1,3,24,3,1,33,33,1,1,3,24,3,1,33
59,City,Kannur,0,0,0,0,0,0,0,0,12,3,1,1,5,2,0,12,12,3,1,1,5,2,0,12
60,City,Kanpur,0,0,0,0,0,0,0,0,71,7,8,28,22,6,0,71,71,7,8,28,22,6,0,71
61,City,Kochi,1,1,0,0,0,0,0,1,29,3,3,10,13,2,0,31,30,4,3,10,13,2,0,32
62,City,Kolkata,0,0,0,0,0,0,0,0,46,4,4,10,21,7,1,47,46,4,4,10,21,7,1,47
63,City,Kollam,0,0,0,0,0,0,0,0,50,2,6,21,18,3,0,50,50,2,6,21,18,3,0,50
64,City,Kota,0,0,0,0,0,0,0,0,24,1,0,8,13,2,0,24,24,1,0,8,13,2,0,24
65,City,Kozhikode,1,0,0,0,1,0,0,1,13,0,1,4,5,3,0,13,14,0,1,4,6,3,0,14
66,City,Lucknow,0,0,0,0,0,0,0,0,38,3,6,10,15,4,0,38,38,3,6,10,15,4,0,38
67,City,Ludhiana,1,0,0,0,1,0,0,1,41,8,7,14,11,2,0,42,42,8,7,14,12,2,0,43
68,City,Madurai,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,7
69,City,Malappuram,0,0,0,0,0,0,0,0,16,0,0,5,9,2,0,16,16,0,0,5,9,2,0,16
70,City,Meerut,0,0,0,0,0,0,0,0,23,1,3,10,9,0,0,23,23,1,3,10,9,0,0,23
71,City,Mumbai,4,0,2,0,2,0,0,4,217,19,19,80,94,22,1,235,221,19,21,80,96,22,1,239
72,City,Nagpur,1,0,0,1,0,0,0,1,44,2,7,14,18,4,0,45,45,2,7,15,18,4,0,46
73,City,Nasik,6,0,0,2,2,2,0,6,19,0,1,5,10,3,0,19,25,0,1,7,12,5,0,25
74,City,Patna,0,0,0,0,0,0,0,0,27,0,0,0,16,11,0,27,27,0,0,0,16,11,0,27
75,City,Pune,1,1,0,0,0,0,0,1,78,7,10,18,37,6,0,78,79,8,10,18,37,6,0,79
76,City,Raipur,1,0,0,1,0,0,0,1,23,5,5,13,0,0,0,23,24,5,5,14,0,0,0,24
77,City,Rajkot,1,0,0,0,0,1,0,1,9,1,0,4,3,1,0,9,10,1,0,4,3,2,0,10
78,City,Ranchi,0,0,0,0,0,0,0,0,34,0,0,0,24,10,0,34,34,0,0,0,24,10,0,34
79,City,Srinagar,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,14,14,0,0,0,14,0,0,14
80,City,Surat,0,0,0,0,0,0,0,0,36,3,7,11,14,1,0,36,36,3,7,11,14,1,0,36
81,City,Thiruvananthapuram,0,0,0,0,0,0,0,0,39,4,11,10,11,3,2,41,39,4,11,10,11,3,2,41
82,City,Thrissur,1,0,0,1,0,0,0,1,27,0,1,6,10,10,0,27,28,0,1,7,10,10,0,28
83,City,Tiruchirapalli,0,0,0,0,0,0,0,0,6,1,0,3,2,0,0,6,6,1,0,3,2,0,0,6
84,City,Vadodara,0,0,0,0,0,0,0,0,9,0,3,4,2,0,0,9,9,0,3,4,2,0,0,9
85,City,Varanasi,0,0,0,0,0,0,0,0,5,0,2,2,1,0,0,5,5,0,2,2,1,0,0,5
86,City,Vasai Virar,4,0,2,1,1,0,0,4,17,4,1,5,6,1,0,17,21,4,3,6,7,1,0,21
87,City,Vijayawada,0,0,0,0,0,0,0,0,37,1,11,14,11,0,0,37,37,1,11,14,11,0,0,37
88,City,Vishakhapatnam,0,0,0,0,0,0,0,0,57,2,4,3,27,21,0,57,57,2,4,3,27,21,0,57
City,City,Total (Cities),46,2,13,15,11,5,0,46,2533,176,248,672,1157,283,22,2558,2579,178,261,687,1168,288,22,2604
