Sl. No.,Category,State/UT,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F. / V.H.F.,Walkie – Talkie,Other Wireless Equipments
1,State,Andhra Pradesh,9965,3685,661,4437,0,890,292,16058,8774,6913,371
2,State,Arunachal Pradesh,924,350,264,0,109,61,140,2026,1042,895,89
3,State,Assam *,34,0,0,0,0,0,34,0,0,0,0
4,State,Bihar,5271,1584,82,1428,22,4,2151,8212,4698,3375,139
5,State,Chhattisgarh,3494,1609,586,787,245,267,0,4619,2092,320,2207
6,State,Goa,640,318,16,229,0,0,77,3974,1489,1021,1464
7,State,Gujarat,8248,4325,457,1828,812,671,155,18478,10514,7913,51
8,State,Haryana,349,68,246,6,7,0,22,7862,3711,4097,54
9,State,Himachal Pradesh,892,450,107,160,0,175,0,3412,1407,2005,0
10,State,Jammu & Kashmir,5326,533,748,2024,1347,674,0,13742,4725,8551,466
11,State,Jharkhand,5030,1617,150,898,549,154,1662,10322,3669,4993,1660
12,State,Karnataka,16914,10668,437,2476,77,29,3227,54837,9049,17908,27880
13,State,Kerala,5317,2092,119,1088,19,48,1951,14399,6363,3587,4449
14,State,Madhya Pradesh,7357,2665,382,2736,877,684,13,28224,9855,17831,538
15,State,Maharashtra,16777,7142,828,5191,630,1567,1419,15203,8760,4761,1682
16,State,Manipur,2118,353,50,1243,273,190,9,12568,5173,3819,3576
17,State,Meghalaya,928,140,18,44,68,67,591,2671,1059,1385,227
18,State,Mizoram,692,176,15,286,141,36,38,2027,742,1233,52
19,State,Nagaland,386,126,5,14,41,35,165,490,218,145,127
20,State,Odisha,4920,2126,147,1732,581,329,5,7443,3857,3562,24
21,State,Punjab,4402,1465,224,1854,492,348,19,14032,4179,6591,3262
22,State,Rajasthan,5110,2560,176,1736,407,231,0,15236,10083,5153,0
23,State,Sikkim,17,6,0,0,0,1,10,196,63,100,33
24,State,Tamil Nadu,13663,6152,456,4407,1587,744,317,19575,6929,12388,258
25,State,Tripura,1659,391,38,174,169,164,723,7120,3359,3120,641
26,State,Uttar Pradesh,12324,4945,530,4213,763,1501,372,42550,17550,17531,7469
27,State,Uttarakhand,1403,517,42,11,95,232,506,4532,1874,2563,95
28,State,West Bengal,7120,2980,2082,760,881,225,192,12083,8671,2842,570
State,State,Total (States),141280,59043,8866,39762,10192,9327,14090,341891,139905,144602,57384
29,Union Territory,A & N Islands,413,283,12,65,10,17,26,246,100,100,46
30,Union Territory,Chandigarh,448,186,20,178,39,20,5,2075,474,1526,75
31,Union Territory,D & N Haveli,66,26,2,0,33,0,5,146,106,40,0
32,Union Territory,Daman & Diu,53,31,9,9,1,2,1,199,94,103,2
33,Union Territory,Delhi,6279,3682,275,1438,884,0,0,20310,18406,911,993
34,Union Territory,Lakshadweep,51,25,1,4,7,6,8,105,0,30,75
35,Union Territory,Puducherry,318,200,11,89,0,18,0,1131,442,669,20
Union Territory,Union Territory,Total (UTs),7628,4433,330,1783,974,63,45,24212,19622,3379,1211
Total (All-India),Total (All-India),Total (All-India),148908,63476,9196,41545,11166,9390,14135,366103,159527,147981,58595
