Sl. No.,State/UT,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"CH. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399-402 IPC),"Robbery (Sec 392-394, 397,398 IPC)","Burglary (Sec 449-452, 454, 455, 457-460 IPC)",Theft (Sec 379-382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323-333, 335-338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
1,Andhra Pradesh,13,2,0,2,5,3,2,1,0,20,0,938,1,2,24,11,179,1198
2,Assam,3,0,0,0,7,7,0,9,0,4,3,154,4,3,16,0,88,291
3,Bihar,42,29,3,3,32,12,20,26,7,34,23,1401,45,1,105,2,617,2370
4,Chhattisgarh,1,3,0,1,2,2,0,0,0,7,4,329,1,0,6,1,52,407
5,Gujarat,8,2,0,0,6,2,4,3,0,13,10,529,17,0,71,4,102,765
6,Haryana,22,4,0,1,3,2,1,2,0,18,1,473,23,0,9,17,626,1199
7,Himachal Pradesh,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,12,17
8,Jammu & Kashmir,0,0,0,0,1,0,1,0,0,0,1,12,16,0,0,0,6,36
9,Jharkhand,13,0,1,1,8,4,4,9,0,15,3,350,8,0,15,1,160,584
10,Karnataka,14,0,0,1,2,0,2,0,3,29,2,436,5,0,18,15,55,580
11,Kerala,1,0,0,0,1,0,1,0,15,9,2,223,6,0,41,0,35,333
12,Madhya Pradesh,2,5,1,7,3,3,0,3,1,17,11,1442,9,0,11,1,396,1909
13,Maharashtra,16,11,2,3,9,6,3,18,4,105,4,3354,20,1,77,7,265,3896
14,Odisha,8,4,0,2,4,4,0,2,2,27,19,676,2,0,36,2,214,998
15,Punjab,9,2,3,0,2,0,2,1,0,0,0,47,0,0,7,0,319,390
16,Rajasthan,8,4,0,2,1,0,1,1,0,7,2,477,5,0,1,1,257,766
17,Tamil Nadu,0,8,0,0,0,0,0,1,0,74,0,306,14,0,62,12,365,842
18,Tripura,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,6
19,Uttar Pradesh,24,25,6,1,15,6,9,19,2,99,3,2412,33,0,9,3,1282,3933
20,West Bengal,30,19,2,2,17,9,8,6,29,22,0,1061,19,0,33,2,195,1437
21,Delhi UT,12,5,0,2,23,5,18,2,0,9,0,647,1,1,11,1,102,816
Total (All-India),Total (All-India),227,123,18,28,141,65,76,103,63,509,89,15273,229,8,554,80,5328,22773
