Sl. No. (Col. 1),Crime Head (Col. 2),Total No. Persons Under Arrest Including those from Previous Year (Col. 3),No. of Persons Whose - Cases Compounded or Withdrawn (Col. 4),No. of Persons Whose - Trial Completed (Col. 5),No. of Persons Whose -Trial Remained Pending at the end of the year (Col. 6),No. of Persons Convicted (Col. 7),Percentage of Persons - Trials Remained Pending (Col. 8) = Col. (6*100/3),Percentage of Persons Convicted To Trials Completed (Col. 9) = Col. (7*100/5)
1,Infanticide (Sec.315 IPC),345,0,77,268,49,77.7,63.6
2,Murder (Sec.302 IPC),8756,2,1454,7300,694,83.4,47.7
3,Rape (Sec.376 IPC),28143,85,4991,23067,1512,82,30.3
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",33999,40,6151,27808,2000,81.8,32.5
5,"Foeticide (Sec.315,316 IPC)",228,5,56,167,11,73.2,19.6
6,Abetment to Suicide (Sec.305 IPC),256,0,49,207,6,80.9,12.2
7,Exposure and Abandonment (Sec. 317 IPC),952,2,106,844,18,88.7,17
8,Procuration Minor Girls (Sec. 366A IPC),1955,0,368,1587,67,81.2,18.2
9,Buying of Girls for Prost. (Sec.373 IPC),276,1,25,250,2,90.6,8
10,Selling of Girls for Prost.(Sec.372 IPC),368,0,27,341,14,92.7,51.9
11,Prohibition of Child Marriage Act 2006,1659,5,192,1462,76,88.1,39.6
12,Other Crimes,32412,636,6295,25481,2194,78.6,34.9
13,Total,109349,776,19791,88782,6643,81.2,33.6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,IPC),
