Sl. No.,Category,State/UT,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total
1,State,Andhra Pradesh,91,8,720,22,1552,31,2363,61,2424
2,State,Arunachal Pradesh,0,0,39,1,52,1,91,2,93
3,State,Assam,20,0,140,4,251,9,411,13,424
4,State,Bihar,0,0,163,14,842,46,1005,60,1065
5,State,Chhattisgarh,82,1,1204,45,820,26,2106,72,2178
6,State,Goa,1,0,37,4,67,5,105,9,114
7,State,Gujarat,44,6,571,58,1197,92,1812,156,1968
8,State,Haryana,3,1,218,0,505,31,726,32,758
9,State,Himachal Pradesh,17,0,83,4,128,4,228,8,236
10,State,Jammu & Kashmir,1,0,9,3,5,0,15,3,18
11,State,Jharkhand,1,0,76,17,229,41,306,58,364
12,State,Karnataka,19,17,94,11,214,12,327,40,367
13,State,Kerala,8,1,219,1,611,3,838,5,843
14,State,Madhya Pradesh,159,17,1678,170,3252,219,5089,406,5495
15,State,Maharashtra,174,12,1621,91,4269,250,6064,353,6417
16,State,Manipur,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,14,0,46,2,62,0,122,2,124
18,State,Mizoram,2,0,22,0,30,0,54,0,54
19,State,Nagaland,0,0,11,1,31,0,42,1,43
20,State,Odisha,21,2,264,11,309,5,594,18,612
21,State,Punjab,8,1,67,5,110,2,185,8,193
22,State,Rajasthan,38,2,839,36,1486,44,2363,82,2445
23,State,Sikkim,0,0,9,0,54,0,63,0,63
24,State,Tamil Nadu,7,0,274,6,1102,11,1383,17,1400
25,State,Tripura,7,0,19,6,48,12,74,18,92
26,State,Uttar Pradesh,33,1,476,28,575,17,1084,46,1130
27,State,Uttarakhand,3,0,31,2,46,1,80,3,83
28,State,West Bengal,31,3,109,6,370,36,510,45,555
State,State,Total (States),784,72,9039,548,18217,898,28040,1518,29558
29,Union Territory,A & N Islands,0,0,3,0,5,0,8,0,8
30,Union Territory,Chandigarh,6,0,74,0,75,0,155,0,155
31,Union Territory,D & N Haveli,0,0,12,0,9,1,21,1,22
32,Union Territory,Daman & Diu,0,0,1,0,13,0,14,0,14
33,Union Territory,Delhi,16,0,342,3,567,6,925,9,934
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,23,3,48,1,71,4,75
Union Territory,Union Territory,Total (UTs),22,0,455,6,717,8,1194,14,1208
Total (All-India),Total (All-India),Total (All-India),806,72,9494,554,18934,906,29234,1532,30766
