Sl. No.,Category,Crime Head,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys*,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
18,SLL CRIMES,Prohibition of Child Marriage Act,0,0,0,1,2,1,2,2,4
19,SLL CRIMES,Indecent Representation of Women (p) Act,0,0,0,0,0,0,0,0,0
20,SLL CRIMES,Copyright Act,2,0,3,0,14,3,19,3,22
21,SLL CRIMES,Sati Prevention Act,0,0,0,0,0,0,0,0,0
22,SLL CRIMES,SC/ST (prevention of Atrocities) Act,0,0,13,1,28,0,41,1,42
23,SLL CRIMES,SC/ST (prevention of Atrocities) Act - Prevention of Attrocities Act for SCs,0,0,11,1,28,0,39,1,40
24,SLL CRIMES,SC/ST (prevention of Atrocities) Act - Prevention of Attrocities Act for STs,0,0,2,0,0,0,2,0,2
25,SLL CRIMES,Forest Act,0,0,2,0,1,0,3,0,3
26,SLL CRIMES,Other SLL Crimes,244,55,570,51,639,65,1453,171,1624
  SLL CRIMES,SLL CRIMES,Total Cognizable Crimes Under Sll,266,67,835,136,1574,243,2675,446,3121
Grand Total (IPC+SLL),Grand Total (IPC+SLL),Grand Total (A+B),1072,139,10329,690,20508,1149,31909,1978,33887
