Sr. No.,Category,State/UT,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - 2011,Murder (Sec.302 IPC) - % Variation,Attempt to Commit Murder (Sec.307 IPC) - 2010,Attempt to Commit Murder (Sec.307 IPC) - 2011,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2010","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2011","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - 2011,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - 2011,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2010,Rape (Sec. 376 IPC) - Other - 2011,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Toof Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - 2011,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) -2011,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - 2011","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - 2011","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 – 382 IPC) - Total - 2010,Theft (Sec. 379 – 382 IPC) - Total - 2011,Theft (Sec. 379 – 382 IPC) - Total - % Variation,Theft (Sec. 379 – 382 IPC) - Auto Theft,Theft (Sec. 379 – 382 IPC) - Auto Theft - 2011,Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 – 382 IPC) - Other Theft - 2010,Theft (Sec. 379 – 382 IPC) - Other Theft - 2011,Theft (Sec. 379 – 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2011","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC)- 2011,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - 2011","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2011","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - 2011","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - 2011","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - 2011,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - 2011,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - 2011,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2011,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - 2011,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - 2011,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2010,Other IPC Crimes -2011,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2010,Total Cognizable Crimes Under IPC - 2011,Total Cognizable Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - % Variation,Note of Attempt to Commit Murder (Sec.307 IPC) - % Variation,"Note of C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Note of Rape (Sec. 376 IPC) - Total - % Variation,Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Rape (Sec. 376 IPC) - Other - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Note of Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,"Note of Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
1,State,Andhra Pradesh,2538,2808,10.6,1953,2229,14.1,155,171,10.3,1362,1442,5.9,0,0,NA,1362,1442,5.9,2053,2154,4.9,1531,1612,5.3,522,542,3.8,134,126,-6,2,7,250,550,600,9.1,8200,8300,1.2,26756,28267,5.6,7422,8966,20.8,19334,19301,-0.2,2231,2210,-0.9,1130,1174,3.9,9164,9748,6.4,186,224,20.4,925,1021,10.4,46777,54452,16.4,588,599,1.9,4634,4849,4.6,4562,3658,-19.8,12080,13376,10.7,0,0,NA,14085,13973,-0.8,41373,38392,-7.2,181438,189780,4.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
2,State,Arunachal Pradesh,75,65,-13.3,34,29,-14.7,3,2,-33.3,47,42,-10.6,0,0,NA,47,42,-10.6,67,93,38.8,46,60,30.4,21,33,57.1,15,13,-13.3,0,0,NA,69,64,-7.2,211,183,-13.3,445,414,-7,139,152,9.4,306,262,-14.4,31,49,58.1,59,54,-8.5,91,74,-18.7,0,2,NA,28,34,21.4,439,379,-13.7,0,0,NA,84,51,-39.3,1,0,-100,12,18,50,0,0,NA,106,98,-7.5,622,622,0,2439,2286,-6.3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,@,NA
3,State,Assam,1223,1303,6.5,431,504,16.9,46,48,4.3,1721,1700,-1.2,5,0,-100,1716,1700,-0.9,3250,3764,15.8,2767,3192,15.4,483,572,18.4,248,305,23,12,4,-66.7,662,837,26.4,3458,3327,-3.8,7860,8309,5.7,2124,585,-72.5,5736,7724,34.7,2183,2328,6.6,992,920,-7.3,1371,1495,9,68,60,-11.8,437,506,15.8,5744,6306,9.8,175,121,-30.9,1400,1193,-14.8,20,8,-60,5410,5246,-3,0,2,NA,2847,2915,2.4,22110,25513,15.4,61668,66714,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
4,State,Bihar,3362,3198,-4.9,2915,3327,14.1,344,348,1.2,795,934,17.5,0,1,NA,795,933,17.4,3674,4268,16.2,2569,3050,18.7,1105,1218,10.2,644,556,-13.7,46,105,128.3,1538,1381,-10.2,3437,3629,5.6,15544,16292,4.8,4257,5041,18.4,11287,11251,-0.3,8809,9768,10.9,1071,1741,62.6,3025,3776,24.8,52,64,23.1,660,705,6.8,15328,19391,26.5,1257,1413,12.4,534,790,47.9,16,11,-31.3,2271,2607,14.8,8,10,25,5615,5877,4.7,56508,55705,-1.4,127453,135896,6.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,State,Chhattisgarh,1065,1110,4.2,756,747,-1.2,30,28,-6.7,1012,1053,4.1,0,0,NA,1012,1053,4.1,359,472,31.5,279,365,30.8,80,107,33.8,122,68,-44.3,15,7,-53.3,552,470,-14.9,3711,3548,-4.4,5805,5315,-8.4,2139,2292,7.2,3666,3023,-17.5,1092,934,-14.5,196,180,-8.2,813,980,20.5,59,65,10.2,319,289,-9.4,10188,11105,9,115,104,-9.6,1706,1654,-3,182,174,-4.4,861,834,-3.1,2,2,0,2907,2856,-1.8,23091,25223,9.2,54958,57218,4.1,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,State,Goa,35,48,37.1,27,22,-18.5,3,6,100,36,29,-19.4,0,0,NA,36,29,-19.4,25,28,12,18,17,-5.6,7,11,57.1,2,2,0,0,0,NA,39,26,-33.3,368,318,-13.6,1034,1115,7.8,359,463,29,675,652,-3.4,64,74,15.6,57,45,-21.1,117,142,21.4,33,31,-6.1,23,24,4.3,177,215,21.5,1,1,0,36,29,-19.4,16,12,-25,17,18,5.9,0,0,NA,256,263,2.7,927,1001,8,3293,3449,4.7,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
7,State,Gujarat,1048,1126,7.4,462,478,3.5,44,43,-2.3,408,439,7.6,0,0,NA,408,439,7.6,1447,1614,11.5,1290,1442,11.8,157,172,9.6,186,221,18.8,18,24,33.3,1384,1368,-1.2,4071,4509,10.8,16794,16043,-4.5,9817,8934,-9,6977,7109,1.9,1623,1615,-0.5,1214,1339,10.3,1002,1399,39.6,255,256,0.4,260,263,1.2,10131,10159,0.3,19,30,57.9,668,685,2.5,110,93,-15.5,5600,6052,8.1,0,0,NA,5907,5827,-1.4,63788,69788,9.4,116439,123371,6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
8,State,Haryana,1005,1062,5.7,836,851,1.8,63,60,-4.8,720,733,1.8,0,0,NA,720,733,1.8,963,959,-0.4,714,733,2.7,249,226,-9.2,147,167,13.6,248,176,-29,734,638,-13.1,4445,5011,12.7,16266,17425,7.1,11299,12541,11,4967,4884,-1.7,1414,1466,3.7,919,812,-11.6,1662,1761,6,29,18,-37.9,221,166,-24.9,3733,3423,-8.3,284,255,-10.2,476,474,-0.4,580,490,-15.5,2720,2740,0.7,0,0,NA,1595,1505,-5.6,20060,20549,2.4,59120,60741,2.7,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
9,State,Himachal Pradesh,132,130,-1.5,74,50,-32.4,12,6,-50,160,168,5,0,0,NA,160,168,5,194,212,9.3,162,191,17.9,32,21,-34.4,2,1,-50,0,0,NA,11,10,-9.1,743,995,33.9,838,1042,24.3,334,356,6.6,504,686,36.1,615,530,-13.8,110,143,30,318,359,12.9,4,4,0,127,110,-13.4,1374,1251,-9,2,4,100,350,331,-5.4,78,62,-20.5,275,239,-13.1,0,0,NA,610,563,-7.7,7020,8102,15.4,13049,14312,9.7,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
10,State,Jammu & Kashmir,217,169,-22.1,711,494,-30.5,26,29,11.5,245,277,13.1,0,0,NA,245,277,13.1,896,1077,20.2,840,1023,21.8,56,54,-3.6,6,14,133.3,0,0,NA,61,88,44.3,1406,1516,7.8,2510,2655,5.8,967,930,-3.8,1543,1725,11.8,2169,1405,-35.2,150,195,30,422,612,45,19,39,105.3,224,205,-8.5,278,246,-11.5,9,11,22.2,1038,1194,15,262,350,33.6,211,286,35.5,0,0,NA,494,385,-22.1,11869,13257,11.7,23223,24504,5.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
