Sl. No.,Crime Head,Total No. of Persons Under Trial Including those from Previous Year,No of Persons Whose Cases Compounded or Withdrawn,No of Persons Whose Trial Completed,No of Persons Whose Trial Remained Pending,No of Persons Convicted,Percentage of Persons whose Trials Remained Pending,Percentage of Persons Convicted to Trials Completed
1,Arms Act,421829,496,74026,347307,49617,82.3,67
2,Narcotic Drugs & Psychotropic Substances Act,170754,142,28420,142192,19410,83.3,68.3
3,Gambling Act,1237177,4932,330742,901503,273698,72.9,82.8
4,Excise Act,638844,530,185851,452463,151139,70.8,81.3
5,Prohibition Act,2531976,12767,339055,2180154,204744,86.1,60.4
6,Explosives & Explosive Substances Act,33447,9,4112,29326,2182,87.7,53.1
7,Immoral Traffic (p) Act,45292,74,4931,40287,2133,88.9,43.3
8,Indian Railways Act,11522,3,1290,10229,1151,88.8,89.2
9,The Foreigners Act,13253,1,1431,11821,1042,89.2,72.8
10,Protection Of Civil Rights Act,2918,19,431,2468,97,84.6,22.5
11,Protection Of Civil Rights Act- PCR Act For SCs,2873,19,417,2437,97,84.8,23.3
12,Protection Of Civil Rights Act - PCR Act For STs,45,0,14,31,0,68.9,0
13,Indian Passport Act,7896,0,777,7119,463,90.2,59.6
14,Essential Commodities Act,79001,61,8051,70889,2547,89.7,31.6
15,Terrorist & Disruptive Activities Act,5324,0,26,5298,0,99.5,0
16,Antiquities & Art Treasures Act,425,4,65,356,12,83.8,18.5
17,Dowry Prohibition Act,46435,1047,9622,35766,2118,77,22
18,Prohibition Of Child Marriage Act*,1659,5,192,1462,76,88.1,39.6
19,Indecent Representation Of Women (p) Act,1882,0,477,1405,393,74.7,82.4
20,Copyright Act,47322,60,8221,39041,3451,82.5,42
21,Sati Prevention Act,18,0,0,18,0,100,0
22,SC/ST (prevention Of Atrocities) Act,92936,152,18848,73936,5347,79.6,28.4
23,SC/ST (prevention Of Atrocities) Act - Prevention Of Attrocities Act For SCs,84145,146,17207,66792,5132,79.4,29.8
24,SC/ST (prevention Of Atrocities) Act - Prevention Of Attrocities Act For STs,8791,6,1641,7144,215,81.3,13.1
25,Forest Act,34765,47,9263,25455,6934,73.2,74.9
26,Other SLL Crimes,4732871,11442,2837948,1883481,2687314,39.8,94.7
27,Total Cognizable Crimes Under SLL,10157546,31791,3863779,6261976,3413868,61.6,88.4
