Sr. No.,Category,State/UT,Incidence,Percentage Contribution to All–India Total,# Population (In Lakhs),Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,4016,11.9,846.65,4.7,2,3
2,State,Arunachal Pradesh,0,0,13.83,0,NA,NA
3,State,Assam,0,0,311.69,0,NA,NA
4,State,Bihar,3623,10.7,1038.04,3.5,6,4
5,State,Chhattisgarh,253,0.8,255.4,1,17,14
6,State,Goa,4,0,14.58,0.3,22,23
7,State,Gujarat,1063,3.2,603.83,1.8,11,10
8,State,Haryana,408,1.2,253.53,1.6,12,13
9,State,Himachal Pradesh,94,0.3,68.57,1.4,15,15
10,State,Jammu & Kashmir,1,0,125.49,0,26,26
11,State,Jharkhand,636,1.9,329.66,1.9,9,12
12,State,Karnataka,2481,7.4,611.31,4.1,4,6
13,State,Kerala,761,2.3,333.88,2.3,8,11
14,State,Madhya Pradesh,3245,9.6,725.98,4.5,3,5
15,State,Maharashtra,1143,3.4,1123.73,1,16,9
16,State,Manipur,0,0,27.22,0,NA,NA
17,State,Meghalaya,0,0,29.64,0,NA,NA
18,State,Mizoram,0,0,10.91,0,NA,NA
19,State,Nagaland,0,0,19.81,0,NA,NA
20,State,Odisha,1455,4.3,419.47,3.5,7,7
21,State,Punjab,90,0.3,277.04,0.3,19,16
22,State,Rajasthan,5182,15.4,686.21,7.6,1,2
23,State,Sikkim,9,0,6.08,1.5,13,22
24,State,Tamil Nadu,1391,4.1,721.39,1.9,10,8
25,State,Tripura,22,0.1,36.71,0.6,18,20
26,State,Uttar Pradesh,7702,22.8,1995.81,3.9,5,1
27,State,Uttarakhand,32,0.1,101.17,0.3,20,18
28,State,West Bengal,59,0.2,913.48,0.1,25,17
State,State,Total (States),33670,99.9,11901.11,2.8,NA,NA
29,Union Territory,A & N Islands,0,0,3.8,0,NA,NA
30,Union Territory,Chandigarh,2,0,10.55,0.2,23,24
31,Union Territory,D & N Haveli,1,0,3.43,0.3,21,25
32,Union Territory,Daman & Diu,0,0,2.43,0,NA,NA
33,Union Territory,Delhi,28,0.1,167.53,0.2,24,19
34,Union Territory,Lakshadweep,0,0,0.64,0,NA,NA
35,Union Territory,Puducherry,18,0.1,12.44,1.4,14,21
Union Territory,Union Territory,Total (UTs),49,0.1,200.82,0.2,NA,NA
Total (AllIndia),Total (AllIndia),Total (AllIndia),33719,100,12101.93,2.8,NA,NA
