Sl. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Infanticide (Sec.315 IPC),88,15,17,54,61.4,19,21.6
2,Murder (Sec.302 IPC),2747,93,3.4,2006,73,648,23.6
3,Rape (Sec.376 IPC),10036,296,2.9,7463,74.4,2277,22.7
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",17523,1614,9.2,11051,63.1,4858,27.7
5,"Foeticide (Sec.315,316 IPC)",96,16,16.7,58,60.4,22,22.9
6,Abetment to Suicide (Sec.305 IPC),134,1,0.7,113,84.3,20,14.9
7,Exposure and Abandonment (Sec. 317 IPC),170,6,3.5,108,63.5,56,32.9
8,Procuration Minor Girls (Sec. 366a IPC),1395,91,6.5,950,68.1,354,25.4
9,Buying of Girls for Prost. (Sec.373 IPC),115,0,0,57,49.6,58,50.4
10,Selling of Girls for Prost. (Sec.372 IPC),314,6,1.9,117,37.3,191,60.8
11,Prohibition of Child Marriage Act 2006,381,10,2.6,275,72.2,96,25.2
12,Other Crimes,10384,111,1.1,8750,84.3,1523,14.7
13,Total,43383,2259,5.2,31002,71.5,10122,23.3
