Sr. No.,Category,State/UT,"Criminal Breach of Trust (Sec.406-409
IPC)","Cheating
(Sec.419,420
IPC)","Counterfeiting
(Sec.231-254,
489A-489D IPC)",Total Economic Crimes,"Percentage
Share",Crime Rate,Percentage to Total cog. Crimes
1,State,Andhra Pradesh,1174,9748,224,11146,10.38,13.16,5.87
2,State,Arunachal Pradesh,54,74,2,130,0.12,9.4,5.69
3,State,Assam,920,1495,60,2475,2.3,7.94,3.71
4,State,Bihar,1741,3776,64,5581,5.2,5.38,4.11
5,State,Chhattisgarh,180,980,65,1225,1.14,4.8,2.14
6,State,Goa,45,142,31,218,0.2,14.95,6.32
7,State,Gujarat,1339,1399,256,2994,2.79,4.96,2.43
8,State,Haryana,812,1761,18,2591,2.41,10.22,4.27
9,State,Himachal Pradesh,143,359,4,506,0.47,7.38,3.54
10,State,Jammu & Kashmir,195,612,39,846,0.79,6.74,3.45
11,State,Jharkhand,447,907,22,1376,1.28,4.17,3.84
12,State,Karnataka,440,5850,105,6395,5.95,10.46,4.65
13,State,Kerala,340,5155,56,5551,5.17,16.63,3.22
14,State,Madhya Pradesh,557,1860,12,2429,2.26,3.35,1.12
15,State,Maharashtra,1883,9098,351,11332,10.55,10.08,5.53
16,State,Manipur,42,126,12,180,0.17,6.61,5.59
17,State,Meghalaya,52,166,13,231,0.22,7.79,8.38
18,State,Mizoram,21,66,2,89,0.08,8.16,4.89
19,State,Nagaland,16,31,5,52,0.05,2.62,4.8
20,State,Odisha,250,1391,10,1651,1.54,3.94,2.69
21,State,Punjab,281,3571,58,3910,3.64,14.11,11.21
22,State,Rajasthan,741,17497,56,18294,17.03,26.66,11.05
23,State,Sikkim,4,31,3,38,0.04,6.25,6.38
24,State,Tamil Nadu,238,3872,275,4385,4.08,6.08,2.27
25,State,Tripura,54,99,9,162,0.15,4.41,2.79
26,State,Uttar Pradesh,3721,9941,270,13932,12.97,6.98,7.14
27,State,Uttarakhand,115,519,26,660,0.61,6.52,7.52
28,State,West Bengal,1264,4171,207,5642,5.25,6.18,3.94
State,State,Total (states),17069,84697,2255,104021,96.84,8.74,4.6
29,Union Territory,A&n Islands,3,32,0,35,0.03,9.21,4.41
30,Union Territory,Chandigarh,25,255,0,280,0.26,26.54,7.91
31,Union Territory,D&n Haveli,10,18,2,30,0.03,8.75,8.06
32,Union Territory,Daman & Diu,3,10,2,15,0.01,6.17,6.7
33,Union Territory,Delhi,337,2590,44,2971,2.77,17.73,5.57
34,Union Territory,Lakshadweep,1,0,0,1,0,1.56,2.27
35,Union Territory,Puducherry,9,54,4,67,0.06,5.39,1.54
Union Territory,Union Territory,Total (UTs),388,2959,52,3399,3.16,16.93,5.42
Total (All-India),Total (All-India),Total (All-India),17457,87656,2307,107420,100,8.88,4.62
