Sl. No.,State/UT,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"CH. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399-402 IPC),"Robbery (Sec 392-394, 397,398 IPC)","Burglary (Sec 449-452, 454, 455, 457-460 IPC)",Theft (Sec 379-382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323-333, 335-338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
1,Andhra Pradesh,19,5,0,0,0,0,0,0,0,3,1,1142,0,0,36,9,179,1394
2,Assam,8,0,0,0,2,0,2,10,0,9,2,146,8,0,0,0,121,306
3,Bihar,55,29,7,5,27,8,19,36,7,41,16,1310,29,0,85,3,692,2342
4,Chhattisgarh,8,1,0,0,1,1,0,0,0,5,6,271,2,0,11,2,51,358
5,Gujarat,16,1,0,1,1,1,0,5,0,8,7,599,7,0,43,6,168,862
6,Haryana,25,7,1,3,3,1,2,5,2,18,0,467,10,0,15,23,685,1264
7,Himachal Pradesh,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,9
8,Jammu & Kashmir,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,27
9,Jharkhand,13,1,0,1,6,3,3,14,0,26,29,310,6,0,17,0,169,592
10,Karnataka,12,5,0,1,0,0,0,2,3,47,2,459,9,0,15,0,49,604
11,Kerala,1,1,0,0,0,0,0,0,27,3,1,182,3,0,20,0,31,269
12,Madhya Pradesh,7,7,1,4,5,3,2,0,3,43,15,1643,5,1,12,1,445,2192
13,Maharashtra,14,9,0,6,6,2,4,22,8,82,6,3461,16,0,71,4,343,4048
14,Odisha,9,3,0,3,7,5,2,4,3,24,29,610,6,0,59,4,227,988
15,Punjab,9,4,1,1,0,0,0,0,0,2,0,59,0,0,17,0,375,468
16,Rajasthan,9,5,0,1,2,1,1,2,1,2,0,543,2,0,0,4,357,928
17,Tamil Nadu,1,2,0,0,0,0,0,0,0,38,3,278,15,0,37,6,280,660
18,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Uttar Pradesh,14,16,8,2,11,8,3,18,7,40,4,1521,27,0,7,5,952,2632
20,West Bengal,36,18,5,2,9,8,1,4,15,25,0,727,22,0,26,1,215,1105
21,Delhi UT,9,5,0,4,11,5,6,2,0,10,1,725,0,0,10,0,87,864
Total (All-India),Total (All-India),268,120,23,34,91,46,45,124,76,426,122,14469,169,1,481,68,5440,21912
