Sl. No.,Category,Crime Head,Cases Registered,Persons Arrested
1,Offences under IT Act,Tampering computer source documents,94,66
2,Offences under IT Act,Hacking with Computer Systems - Loss/damage to computer resource/utility,826,487
2,Offences under IT Act,Hacking with Computer Systems - Hacking,157,65
3,Offences under IT Act,Obscene publication/transmission in electronic form,496,443
4,Offences under IT Act,Failure - Of compliance/orders of certifying Authority,6,4
4,Offences under IT Act,Failure - To assist in decrypting the information intercepted by Govt. Agency,3,0
5,Offences under IT Act,Un-authorised access/attempt to access of protected Computer system,5,15
6,Offences under IT Act,Obtaining License or Digital Signature Certificate by misrepresentation/suppression of fact,6,0
7,Offences under IT Act,Publishing false digital Signature Certificate,3,1
8,Offences under IT Act,Fraud Digital Signature Certificate,12,8
9,Offences under IT Act,Breach of confidentiality/privacy,26,27
10,Offences under IT Act,Other,157,68
11,Offences under IT Act,Total,1791,1184
12,Offences under IPC,Offences by/Against Public Servant,7,3
13,Offences under IPC,False electronic evidence,1,1
14,Offences under IPC,Destruction of electronic evidence,9,10
15,Offences under IPC,Forgery,259,277
16,Offences under IPC,Criminal Breach of Trust/Fraud,118,129
17,Offences under IPC,Counterfeiting - Property/mark,6,8
18,Offences under IPC,Counterfeiting - Tampering,5,7
19,Offences under IPC,Counterfeiting - Currency/Stamps,17,11
20,Offences under IPC,Total,422,446
Grant Total,Grant Total,Grant Total,2213,1630
