Sl. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial No.,Persons Released Before Trial - Percentage toTotal,Persons Charge Sheeted No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the End of the Year No.,Persons Under Investigation at the End of the Year - Percentage ToTotal
1,Arms Act,79735,940,1.2,66252,83.1,12543,15.7
2,Narcotic Drugs & Psychotropic Substances Act,42590,553,1.3,30474,71.6,11563,27.1
3,Gambling Act,374949,573,0.2,343783,91.7,30593,8.2
4,Excise Act,166346,394,0.2,150872,90.7,15080,9.1
5,Prohibition Act,506551,4539,0.9,419166,82.7,82846,16.4
6,Explosives & Explosive Substances Act,7492,132,1.8,4391,58.6,2969,39.6
7,Immoral Traffic (p) Act,10381,94,0.9,7319,70.5,2968,28.6
8,Indian Railways Act,348,15,4.3,190,54.6,143,41.1
9,The Foreigners Act,3847,31,0.8,2349,61.1,1467,38.1
10,Protection Of Civil Rights Act,417,8,1.9,363,87.1,46,11
11,Protection Of Civil Rights Act - Pcr Act For SCs,408,8,2,356,87.3,44,10.8
12,Protection Of Civil Rights Act - Pcr Act For STs,9,0,0,7,77.8,2,22.2
13,Indian Passport Act,2504,52,2.1,1293,51.6,1159,46.3
14,Essential Commodities Act,18151,681,3.8,12079,66.5,5391,29.7
15,Terrorist & Disruptive Activities Act,731,0,0,3,0.4,728,99.6
16,Antiquities & Art Treasures Act,158,11,7,87,55.1,60,38
17,Dowry Prohibition Act,16659,200,1.2,11226,67.4,5233,31.4
18,Prohibition Of Child Marriage Act*,381,10,2.6,275,72.2,96,25.2
19,Indecent Representation Of Women (p) Act,538,10,1.9,471,87.5,57,10.6
20,Copyright Act,12316,101,0.8,9167,74.4,3048,24.7
21,Sati Prevention Act,0,0,0,0,0,0,0
22,SC/ST (prevention Of Atrocities) Act,29955,2117,7.1,19904,66.4,7934,26.5
23,SC/ST (prevention Of Atrocities) Act - Prevention Of Attrocities Act For SCs,27704,2069,7.5,18273,66,7362,26.6
24,SC/ST (prevention Of Atrocities) Act - Prevention Of Attrocities Act For STs,2251,48,2.1,1631,72.5,572,25.4
25,Forest Act,10925,348,3.2,9719,89,858,7.9
26,Other SLL Crimes,3284029,289671,8.8,2851138,86.8,143220,4.4
27,Total Cognizable Crimes Under SLL,4569003,300480,6.6,3940521,86.2,328002,7.2
