Sl. No.,Category,State/UT/City,Motives - Revenge / Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud / Illegal Gain,Motives - Eve Teasing / Harassment,Motives - Others,Motives - Total,Suspects - Foreign National /Group,Suspects - Disgrunted Employee / Employee,Suspects - Cracker / Student / Professional learners,Suspects - Business Competitor,Suspects - Neighbours / Friends & Relatives,Suspects - Others,Suspects - Total
39,City,Amritsar,1,2,0,0,0,1,3,6,13,1,0,0,0,4,8,13
40,City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Aurangabad,7,5,0,0,0,6,2,4,24,3,2,1,0,7,11,24
42,City,Bengaluru,8,13,0,6,0,31,24,39,121,5,1,0,2,2,111,121
43,City,Bhopal,0,0,0,0,0,0,4,1,5,0,1,4,0,0,0,5
44,City,Chandigarh City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,City,Chennai,0,3,0,0,0,7,0,7,17,5,5,0,0,0,7,17
46,City,Coimbatore,0,3,0,1,1,6,4,2,17,3,3,3,2,0,6,17
47,City,Delhi (city),2,5,0,0,0,30,23,39,99,0,0,1,14,37,47,99
48,City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,City,Durg- Bhilainagar,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6
50,City,Faridabad,0,2,0,0,0,0,0,7,9,0,0,0,0,0,9,9
51,City,Ghaziabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,City,Gwalior,0,0,0,0,0,2,0,4,6,0,0,0,0,0,6,6
53,City,Hyderabad,0,3,0,5,0,14,26,19,67,10,0,0,0,0,57,67
54,City,Indore,0,2,0,0,0,1,2,5,10,0,0,0,0,0,10,10
55,City,Jabalpur,0,1,0,0,1,0,5,2,9,0,0,0,0,0,9,9
56,City,Jaipur,0,25,0,4,0,5,4,58,96,0,1,0,0,0,95,96
57,City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,City,Jodhpur,0,0,0,0,9,0,2,4,15,0,0,0,0,0,15,15
59,City,Kannur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,City,Kanpur,0,2,0,3,0,4,1,0,10,0,0,4,0,1,5,10
61,City,Kochi,1,10,3,7,0,8,8,0,37,2,6,10,7,6,6,37
62,City,Kolkata,0,0,0,0,0,0,0,22,22,0,0,0,0,0,22,22
63,City,Kollam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,City,Kota,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
65,City,Kozhikode,2,0,1,0,0,2,4,4,13,0,0,0,0,1,12,13
66,City,Lucknow,2,7,2,3,2,2,3,2,23,1,2,8,1,7,4,23
67,City,Ludhiana,0,0,0,10,0,3,0,3,16,0,0,0,0,0,16,16
68,City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,City,Malappuram,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,7
70,City,Meerut,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,2
71,City,Mumbai,0,0,0,0,0,0,0,33,33,0,0,0,0,0,33,33
72,City,Nagpur,0,0,0,0,0,3,4,4,11,0,1,0,0,1,9,11
73,City,Nasik,0,0,0,2,0,3,0,0,5,1,0,0,0,0,4,5
74,City,Patna,0,0,1,0,0,32,1,2,36,0,0,7,0,0,29,36
75,City,Pune,2,6,1,1,2,24,15,32,83,22,10,3,6,8,34,83
76,City,Raipur,0,0,0,0,0,0,0,12,12,0,0,0,0,0,12,12
77,City,Rajkot,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,2
78,City,Ranchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,City,Srinagar,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6
80,City,Surat,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
81,City,Thirissur,0,2,0,1,0,1,3,1,8,2,0,0,0,1,5,8
82,City,Thiruvananthapuram,0,0,0,0,0,2,4,7,13,0,0,0,0,0,13,13
83,City,Tiruchirappalli,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
84,City,Vadodara,1,6,0,0,1,0,5,1,14,0,2,2,1,0,9,14
85,City,Varanasi,0,2,1,0,0,1,0,0,4,0,0,1,0,2,1,4
86,City,Vasai Virar City,0,0,1,0,0,2,0,1,4,0,0,0,0,1,3,4
87,City,Vijayawada,0,1,0,0,1,0,0,5,7,0,0,0,0,2,5,7
88,City,Vishakhapatnam,0,0,0,0,0,29,36,61,126,0,0,5,0,26,95,126
City,City,Total (Cities),26,108,11,44,17,232,195,425,1058,56,36,53,34,110,769,1058
