Sl. No.,Category,State/UT,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Female to Total
1,State,Andhra Pradesh,219626,18938,238564,7.9
2,State,Arunachal Pradesh,2275,37,2312,1.6
3,State,Assam,64167,2979,67146,4.4
4,State,Bihar,240063,12286,252349,4.9
5,State,Chhattisgarh,70659,3358,74017,4.5
6,State,Goa,3029,290,3319,8.7
7,State,Gujarat,153670,13581,167251,8.1
8,State,Haryana,59763,2945,62708,4.7
9,State,Himachal Pradesh,15482,2006,17488,11.5
10,State,Jammu & Kashmir,40140,3436,43576,7.9
11,State,Jharkhand,48265,2804,51069,5.5
12,State,Karnataka,152780,14006,166786,8.4
13,State,Kerala,205133,6638,211771,3.1
14,State,Madhya Pradesh,319482,16162,335644,4.8
15,State,Maharashtra,279597,30159,309756,9.7
16,State,Manipur,1244,205,1449,14.1
17,State,Meghalaya,2076,59,2135,2.8
18,State,Mizoram,1525,76,1601,4.7
19,State,Nagaland,1050,17,1067,1.6
20,State,Odisha,81104,6025,87129,6.9
21,State,Punjab,41777,3646,45423,8
22,State,Rajasthan,168301,13106,181407,7.2
23,State,Sikkim,683,35,718,4.9
24,State,Tamil Nadu,206293,15831,222124,7.1
25,State,Tripura,8952,1110,10062,11
26,State,Uttar Pradesh,374921,9684,384605,2.5
27,State,Uttarakhand,10190,476,10666,4.5
28,State,West Bengal,131835,11773,143608,8.2
State,State,Total (states),2904082,191668,3095750,6.2
29,Union Territory,A & N Islands,730,98,828,11.8
30,Union Territory,Chandigarh,2545,145,2690,5.4
31,Union Territory,D & N Haveli,546,22,568,3.9
32,Union Territory,Daman & Diu,314,16,330,4.8
33,Union Territory,Delhi,38815,1199,40014,3
34,Union Territory,Lakshadweep,76,0,76,0
35,Union Territory,Puducherry,5182,407,5589,7.3
Union Territory,Union Territory,Total (uts),48208,1887,50095,3.8
Total (all-india),Total (all-india),Total (all-india),2952290,193555,3145845,6.2
