Sr. No.,Purpose,Total No. of Cases Reported,Sex-Wise/Age Group-Wise (Upto 10 years) - Male,Sex-Wise/Age Group-Wise (Upto 10 years) - Female,Sex-Wise/Age Group-Wise (10-15 years) - Male,Sex-Wise/Age Group-Wise (10-15 years) - Female,Sex-Wise/Age Group-Wise (15-18 years) - Male,Sex-Wise/Age Group-Wise (15-18 years) - Female,Sex-Wise/Age Group-Wise (18-30 years) - Male,Sex-Wise/Age Group-Wise (18-30 years) - Female,Sex-Wise/Age Group-Wise (30-50 years) - Male,Sex-Wise/Age Group-Wise (30-50 years) - Female,Sex-Wise/Age Group-Wise (Above 50 years) - Male,Sex-Wise/Age Group-Wise (Above 50 years) - Female,Total Male,Total Female,Grand Total
1,For Adoption,105,14,7,1,0,0,40,16,20,8,0,0,0,39,67,106
2,For Begging,45,13,6,17,1,6,2,0,0,0,3,0,0,36,12,48
3,For Camel racing,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
4,For Illicit intercourse,3523,0,20,5,394,1,953,13,1848,9,288,0,1,28,3504,3532
5,For marriage,22016,1,14,14,1420,19,6941,210,11263,113,2049,2,4,359,21691,22050
6,For Prostitution,637,0,3,0,42,0,92,21,407,16,98,0,0,37,642,679
7,For Ransom,664,95,18,35,7,33,39,215,66,153,24,24,0,555,154,709
8,For Revenge,565,8,7,14,1,51,11,316,53,84,12,9,0,482,84,566
9,For Sale,203,3,16,33,11,30,73,15,23,0,0,0,0,81,123,204
10,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,For Slavery,67,5,0,3,0,16,0,35,0,8,0,0,0,67,0,67
12,For unlawaful activity,876,21,27,12,23,56,83,223,232,142,44,12,4,466,413,879
13,Others,15959,586,375,1105,1128,775,1881,3625,3247,1655,1185,473,360,8219,8176,16395
Total,Total,44664,746,493,1239,3027,987,10115,4689,17159,2188,3707,520,369,10369,34870,45239
