Sl. No.,Category,State/UT,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents / Guardians,"Released on Probation and Placed Under Care of - Fit
Instt.",Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,2474,757,245,98,200,157,203,814
2,State,Arunachal Pradesh,93,37,56,0,0,0,0,0
3,State,Assam,427,73,155,42,41,15,40,61
4,State,Bihar,1126,123,82,66,464,22,111,258
5,State,Chhattisgarh,2692,46,169,126,681,127,234,1309
6,State,Goa,157,19,32,0,15,0,2,89
7,State,Gujarat,2510,222,307,233,233,90,338,1087
8,State,Haryana,834,4,9,13,15,43,56,694
9,State,Himachal Pradesh,258,91,29,1,10,0,1,126
10,State,Jammu & Kashmir,21,0,0,0,0,0,7,14
11,State,Jharkhand,411,11,22,8,116,3,209,42
12,State,Karnataka,376,123,14,10,17,0,5,207
13,State,Kerala,885,206,181,36,133,4,43,282
14,State,Madhya Pradesh,5794,837,1332,127,450,412,466,2170
15,State,Maharashtra,6770,549,2026,534,1834,116,182,1529
16,State,Manipur,0,0,0,0,0,0,0,0
17,State,Meghalaya,128,32,8,0,14,0,26,48
18,State,Mizoram,105,3,38,41,12,2,0,9
19,State,Nagaland,46,6,0,0,31,5,4,0
20,State,Odisha,628,23,161,17,175,0,16,236
21,State,Punjab,215,0,2,0,72,2,6,133
22,State,Rajasthan,2542,334,442,135,1192,87,42,310
23,State,Sikkim,78,12,15,0,0,2,10,39
24,State,Tamil Nadu,2083,157,779,103,559,32,74,379
25,State,Tripura,92,0,30,0,2,0,23,37
26,State,Uttar Pradesh,1204,44,7,7,633,59,114,340
27,State,Uttarakhand,86,0,14,0,60,0,2,10
28,State,West Bengal,620,18,75,5,21,12,50,439
State,State,Total (States),32655,3727,6230,1602,6980,1190,2264,10662
29,Union Territory,A & N Islands,8,0,0,0,5,0,0,3
30,Union Territory,Chandigarh,159,5,7,0,45,9,2,91
31,Union Territory,D & N Haveli,22,1,2,0,0,0,0,19
32,Union Territory,Daman & Diu,16,0,0,0,0,0,0,16
33,Union Territory,Delhi,942,312,93,25,262,1,45,204
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,85,0,1,0,0,1,0,83
Union Territory,Union Territory,Total (UTs),1232,318,103,25,312,11,47,416
Total (All-India),Total (All-India),Total (All-India),33887,4045,6333,1627,7292,1201,2311,11078
