Sr.No.,Category,State/UT,Murder (Sec. 302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec.304,308 IPC)",Rape (Sec. 376 IPC) Total,Rape (Sec. 376 IPC) Custodial,Rape (Sec. 376 IPC) Other,"Kidnapping & Abduction (Sec. 363369,371373 IPC) Total","Kidnapping & Abduction (Sec. 363369,371373 IPC) of Women","Kidnapping & Abduction (Sec. 363369,371373 IPC) of Others",Dacoity (Sec.395398 IPC),Preparation and Assembly for Dacoity (Sec. 399402 IPC),"Robbery (Sec. 392394,397,398 IPC)","Burglary (Sec. 449452,454,455,457460 IPC)",Theft (Sec. 379382 IPC) total,Theft (Sec. 379382 IPC) Auto Theft,Theft (Sec. 379382 IPC) Other Theft,"Riots (Sec. 143145,147151,153,153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec. 406409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec. 231254, 489A489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec. 323333,335338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,18.6,16.2,11.5,11,0,11,10.9,11.8,7.8,20.8,10,24.9,39.6,34.2,40.7,32.2,12.5,7.7,12.9,11.1,9.4,48.6,13.3,9.3,31.6,12.1,NA,9.3,37.7,33.4
2,State,Arunachal Pradesh,34.8,55.6,0,17.4,NA,17.4,17.2,17.2,NA,70,0,50,87.5,71.2,100,69.6,0,0,28.6,NA,0,52.1,NA,66.7,NA,0,NA,40,32.9,44.4
3,State,Assam,42.4,26.9,14.3,23.3,NA,23.3,23.9,26.7,14.4,30.6,0,24.3,37.3,23.4,29.3,22.8,11.5,26.1,14.1,16.1,20.3,16.1,29.5,8.5,0,16.7,NA,21.1,17.9,19.9
4,State,Bihar,32.5,13.7,13.2,24.8,NA,24.8,19.7,21.4,17.6,17.2,16.7,11.5,10.2,11.8,21.1,10.3,13.2,17,14.6,16.2,17.2,11.7,20.8,15.7,0,17.3,5.6,24.7,15.4,15.5
5,State,Chhattisgarh,44.7,26.6,37.5,24.5,NA,24.5,20.6,19.1,24.4,35.8,72.7,16.7,29.7,27.3,25.5,27.9,35.5,29.4,32,42.9,26,33.6,38.8,34.8,35.4,21.9,NA,24.3,61.7,44.6
6,State,Goa,70,41.7,50,28.6,NA,28.6,0,0,0,0,NA,16.7,23.7,24.8,26.2,24.3,3.1,0,30,33.3,0,13.1,NA,18.2,22.2,9.1,NA,19.4,32.5,25.9
7,State,Gujarat,24.5,6.9,5.6,14.7,NA,14.7,6.4,6.8,2.3,4.9,16.7,6.4,7.6,14.2,13.3,14.6,8.3,4.2,6.2,11.8,2,8.4,0,3.4,11.1,2.6,NA,10,53,39.1
8,State,Haryana,33.2,26.7,26.8,23.4,NA,23.4,16.7,16.6,16.8,30.6,27.3,34.7,31.1,37.4,42.3,32.2,13.2,19.3,18.4,36.8,11.6,14.9,29.9,24.5,67.4,12.7,NA,17.5,25.7,25.5
9,State,Himachal Pradesh,40.5,29.8,11.1,22.3,NA,22.3,8.8,8,14.3,50,NA,10,26.6,19.3,14.9,21.1,8,17.9,16.2,0,5.6,21,0,20.3,16.7,6.8,NA,14.2,30.4,25.1
10,State,Jammu & Kashmir,14.2,3,11.1,8.3,NA,8.3,2.4,2.6,0,0,NA,0,12.4,6.1,14.3,5.7,3.6,4.3,5.8,0,0,5.1,0,5.6,39.5,5.3,NA,13.1,72.1,50.5
11,State,Jharkhand,35.3,26.1,30.6,39,NA,39,33.4,29.7,41.4,37.2,30,35,27.9,29.9,30.4,29.7,22.2,40.4,29.4,66.7,32.9,27.1,38,30.7,70,38.9,50,33.3,28.6,29.3
12,State,Karnataka,23.4,9.7,4.7,19.8,NA,19.8,8.7,8.1,9.7,10.4,3,14.4,16.7,13.2,12.1,14,3.3,20.3,7.7,11.8,1,10.3,18.1,6.5,10,5.3,NA,6.1,55.7,36.2
13,State,Kerala,47.7,18.4,6.3,15.4,NA,15.4,4.5,4.8,3.8,5.9,44.3,28.7,38.1,35.7,34.8,36,32,12.1,11.4,37.5,8.5,10.8,16.7,11.4,36.5,5.8,NA,3.8,83.8,65.2
14,State,Madhya Pradesh,52.5,34.5,31.5,23.6,NA,23.6,29.6,29.4,30.3,44.7,21.5,29.9,28.6,33.8,35.9,33.6,33.3,45.5,23.1,31.3,21.1,47,40.4,37.6,45.1,39.3,0,44.4,48.7,42.8
15,State,Maharashtra,29.4,17.5,14.5,20.3,NA,20.3,7.9,6.7,11.8,10.2,3.6,10.7,13.7,19.1,18.6,19.2,4.8,6.5,9.8,19.6,3.7,4.3,15.3,7.7,5.4,2.1,NA,5.2,6.7,8.2
16,State,Manipur,0,66.7,NA,100,NA,100,60,60,NA,0,NA,0,60,50,100,40,0,NA,50,0,NA,20,NA,NA,NA,NA,NA,NA,72.2,51.9
17,State,Meghalaya,25,21.4,25,0,NA,0,15.4,0,33.3,12.5,NA,20,38.5,44.4,25,47.1,0,0,0,NA,7.7,13,NA,28.6,NA,0,NA,71.9,61,41.3
18,State,Mizoram,100,70,50,80.7,NA,80.7,66.7,NA,66.7,NA,NA,60,94.4,90.7,100,90.6,NA,75,89.2,20,87.5,86.8,NA,86.1,NA,85.7,NA,100,90.5,89.5
19,State,Nagaland,96.6,93.9,80,84.2,NA,84.2,73,60,75,78.6,NA,74.3,91.6,86.1,87.3,85.6,100,70,92.4,100,100,100,NA,100,100,NA,NA,88.2,88.4,88
20,State,Odisha,23,14.4,27,23.2,NA,23.2,7.8,7.7,8.9,9.8,10.6,10.4,8,10.5,12.7,9.8,7,13.1,13.9,15.8,8.5,10.1,14.2,8.3,7.6,10.4,NA,13.8,8.7,10.3
21,State,Punjab,51.1,34.6,46.9,36.3,NA,36.3,25.4,24.4,27.6,23.1,34.1,33.3,55.2,45.3,48.7,42.9,60,33.7,24.3,64.2,37.5,25.5,50.5,33.2,40.7,21.3,NA,30.4,48.5,38.9
22,State,Rajasthan,53.4,47.2,58,26.1,NA,26.1,27.7,25.7,35.3,40,47.6,38.2,45,53.4,54.9,52.6,59.6,44.4,40.4,42.9,45.6,73.3,39,54.1,77.8,41,NA,47.5,71.2,64.5
23,State,Sikkim,63.6,54.5,33.3,55,NA,55,0,0,NA,0,NA,50,47.4,56.7,100,51.9,25,0,14.3,50,0,52.1,NA,50,NA,100,NA,40,52.2,48
24,State,Tamil Nadu,33.9,29.7,9.1,20.4,NA,20.4,18,20.8,7.3,30,11.1,43.4,59.2,59.6,60.7,59.2,24.6,23.5,28.2,18.4,30.6,44.9,24.3,38.7,57,22.1,NA,40.2,71.2,62.1
25,State,Tripura,28.8,18.5,20,11.9,NA,11.9,7.1,7.5,6.3,25,NA,9.4,19.6,18.6,11.1,20,2.3,14.3,9.4,33.3,17.6,9.8,50,10.1,0,9.3,NA,11.9,21.4,14.6
26,State,Uttar Pradesh,54.5,52,55.7,56.4,NA,56.4,53.1,52.7,55.2,56,62.5,59.1,58.5,64.3,65.5,63.8,56.9,59.8,57.7,64.4,52.2,58.3,56.6,69.4,68.5,57.9,NA,62.8,60.1,59.6
27,State,Uttarakhand,58.8,47.8,57.5,54.5,NA,54.5,44.4,44.2,46.2,47.1,100,63.8,72.7,79.4,85,75.6,52.3,44.6,63,50,30,65.4,27.9,76.4,80.1,51.3,NA,58,73.3,65.5
