Sl. No.,Category,State/UT,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons whose Cases Compounded or Withdrawn,Number of Persons whose Trial Completed,Number of Persons Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to all India Total
1,State,Andhra pradesh,676006,41736,177397,456873,50447,67.6,3.3
2,State,Arunachal pradesh,23316,205,584,22527,255,96.6,0.2
3,State,Assam,165772,3296,36206,126270,4648,76.2,0.9
4,State,Bihar,1733537,31191,156933,1545413,17367,89.1,11.2
5,State,Chhattisgarh,327629,11718,42565,273346,18963,83.4,2
6,State,Goa,16186,45,1845,14296,401,88.3,0.1
7,State,Gujarat,1714054,4163,100233,1609658,29071,93.9,11.6
8,State,Haryana,328246,460,74065,253721,18005,77.3,1.8
9,State,Himachal pradesh,128621,2279,10567,115775,2129,90,0.8
10,State,Jammu & kashmir,212012,7004,18888,186120,6209,87.8,1.3
11,State,Jharkhand,139137,1812,41904,95421,10904,68.6,0.7
12,State,Karnataka,476119,14586,125793,335740,28231,70.5,2.4
13,State,Kerala,819950,7213,150146,662591,79976,80.8,4.8
14,State,Madhya pradesh,1558147,99431,261756,1196960,107604,76.8,8.6
15,State,Maharashtra,3104765,39353,204659,2860753,12775,92.1,20.6
16,State,Manipur,3171,5,87,3079,40,97.1,0
17,State,Meghalaya,14206,35,977,13194,312,92.9,0.1
18,State,Mizoram,2794,20,1290,1484,1141,53.1,0
19,State,Nagaland,2357,70,1608,679,1424,28.8,0
20,State,Odisha,650885,0,64222,586663,6529,90.1,4.2
21,State,Punjab,187772,106,40133,147533,15539,78.6,1.1
22,State,Rajasthan,1107817,31359,143270,933188,80945,84.2,6.7
23,State,Sikkim,1385,19,446,920,208,66.4,0
24,State,Tamil nadu,537270,447,176082,360741,95761,67.1,2.6
25,State,Tripura,13693,2,5151,8540,446,62.4,0.1
26,State,Uttar pradesh,1125874,13746,251580,860548,147376,76.4,6.2
27,State,Uttarakhand,57134,1619,6065,49450,3848,86.6,0.4
28,State,West bengal,939766,5880,54274,879612,4862,93.6,6.3
State,State,Total (states),16067621,317800,2148726,13601095,745416,84.6,98.1
29,Union territory,A & n islands,10046,0,194,9852,135,98.1,0.1
30,Union territory,Chandigarh,12129,0,2068,10061,937,82.9,0.1
31,Union territory,D & n haveli,4938,0,176,4762,23,96.4,0
32,Union territory,Daman & diu,1763,133,226,1404,32,79.6,0
33,Union territory,Delhi,252428,0,33518,218910,16615,86.7,1.6
34,Union territory,Lakshadweep,295,0,107,188,82,63.7,0
35,Union territory,Puducherry,13780,81,2223,11476,1723,83.3,0.1
Union territory,Union territory,Total (uts),295379,214,38512,256653,19547,86.9,1.9
Total (all-india),Total (all-india),Total (all-india),16363000,318014,2187238,13857748,764963,84.7,100
