Sl. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,2001,151723,44733,29.5
2,2002,246723,47742,19.4
3,2003,173504,44759,25.8
4,2004,236170,46947,19.9
5,2005,240900,57600,23.9
6,2006,240395,60723,25.3
7,2007,268078,69655,26
8,2008,385296,76815,19.9
9,2009,449501,87611,19.5
10,2010,626636,180963,28.9
11,2011,658525,122538,18.6
12,Percentage Change in 2011 Over 2001,334,173.9,-36.9
