Sl. No.,Category,State/UT,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons whose Cases Compounded or Withdrawn,Number of Persons Whose Trial Completed,Number of Persons Whose Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India total
1,State,Andhra Pradesh,249527,1010,208137,40380,190984,16.2,0.6
2,State,Arunachal Pradesh,931,0,9,922,5,99,0
3,State,Assam,14808,11,1834,12963,143,87.5,0.2
4,State,Bihar,100871,483,11885,88503,2579,87.7,1.4
5,State,Chhattisgarh,301470,282,255742,45446,249622,15.1,0.7
6,State,Goa,9205,0,2889,6316,2185,68.6,0.1
7,State,Gujarat,1996788,1250,196089,1799449,133628,90.1,28.7
8,State,Haryana,130043,2,39266,90775,25775,69.8,1.4
9,State,Himachal Pradesh,32132,70,4636,27426,1820,85.4,0.4
10,State,Jammu & Kashmir,27398,5,2466,24927,1154,91,0.4
11,State,Jharkhand,19051,70,5339,13642,1830,71.6,0.2
12,State,Karnataka,127057,349,41362,85346,25455,67.2,1.4
13,State,Kerala,594282,2192,187155,404935,169549,68.1,6.5
14,State,Madhya Pradesh,275664,547,170794,104323,153919,37.8,1.7
15,State,Maharashtra,1790675,20469,146115,1624091,23719,90.7,25.9
16,State,Manipur,1887,3,84,1800,57,95.4,0
17,State,Meghalaya,1358,0,150,1208,101,89,0
18,State,Mizoram,1559,0,641,918,621,58.9,0
19,State,Nagaland,924,37,615,272,564,29.4,0
20,State,Odisha,118880,0,11925,106955,1749,90,1.7
21,State,Punjab,85600,73,20230,65297,15362,76.3,1
22,State,Rajasthan,225416,260,62651,162505,58145,72.1,2.6
23,State,Sikkim,295,0,215,80,202,27.1,0
24,State,Tamil Nadu,465959,4403,347844,113712,290586,24.4,1.8
25,State,Tripura,616,0,232,384,79,62.3,0
26,State,Uttar Pradesh,3207393,36,2021712,1185645,1949638,37,18.9
27,State,Uttarakhand,121849,2,86944,34903,86318,28.6,0.6
28,State,West Bengal,78511,237,5826,72448,1413,92.3,1.2
State,State,Total (states),9980149,31791,3832787,6115571,3387202,61.3,97.7
29,Union Territory,A & N Islands,30912,0,15340,15572,15340,50.4,0.2
30,Union Territory,Chandigarh,2345,0,851,1494,745,63.7,0
31,Union Territory,D & N Haveli,308,0,3,305,3,99,0
32,Union Territory,Daman & Diu,252,0,18,234,0,92.9,0
33,Union Territory,Delhi,140742,0,13335,127407,9299,90.5,2
34,Union Territory,Lakshadweep,84,0,12,72,8,85.7,0
35,Union Territory,Puducherry,2754,0,1433,1321,1271,48,0
Union Territory,Union Territory,Total (uts),177397,0,30992,146405,26666,82.5,2.3
Total (all-india),Total (all-india),Total (all-india),10157546,31791,3863779,6261976,3413868,61.6,100
