Sr. No.,Category,State/UT,District / Session Judge with duration of Trial Less Than 6 Months,District / Session Judge with duration of Trial 6–12 Months,District / Session Judge with duration of Trial 1–3 Years,District / Session Judge with duration of Trial 3–5 Years,District / Session Judge with duration of Trial 5–10 Years,District / Session Judge with duration of Trial Over 10 Years,District / Session Judge Total,Additional Session Judge with duration of Trial Less Than 6 Months,Additional Session Judge with duration of Trial 6–12 Months,Additional Session Judge with duration of Trial 1–3 Years,Additional Session Judge with duration of Trial 3–5 Years,Additional Session Judge with duration of Trial 5–10 Years,Additional Session Judge with duration of Trial Over 10 Years,Additional Session Judge Total,Chief Judicial Magistrate with duration of Trial Less Than 6 Months,Chief Judicial Magistrate with duration of Trial 6–12 Months,Chief Judicial Magistrate with duration of Trial 1–3 Years,Chief Judicial Magistrate with duration of Trial 3–5 Years,Chief Judicial Magistrate with duration of Trial 5–10 Years,Chief Judicial Magistrate with duration of Trial Over 10 Years,Chief Judicial Magistrate Total,Judicial Magistrate (I) with duration of Trial Less Than 6 Months,Judicial Magistrate (I) with duration of Trial 6–12 Months,1–3Judicial Magistrate (I) with duration of Trial 1-3 Years,Judicial Magistrate (I) with duration of Trial 3–5 Years,Judicial Magistrate (I) with duration of Trial 5–10 Years,Judicial Magistrate (I) with duration of Trial Over 10 Years,Judicial Magistrate (I) Total,Judicial Magistrate (II) with duration of Trial Less Than 6 Months,Judicial Magistrate (II) with duration of Trial 6–12 Months,1–3Judicial Magistrate (II) with duration of Trial 1-3 Years,Judicial Magistrate (II) with duration of Trial 3–5 Years,Judicial Magistrate (II) with duration of Trial 5–10 Years,Judicial Magistrate (II) with duration of Trial Over 10 Years,Judicial Magistrate (II) Total,Special Judicial Magistrate with duration of Trial Less Than 6 Months,Special Judicial Magistrate with duration of Trial 6–12 Months,Special Judicial Magistrate with duration of Trial 1–3 Years,Special Judicial Magistrate with duration of Trial 3–5 Years,Special Judicial Magistrate with duration of Trial 5–10 Years,Special Judicial Magistrate with duration of Trial Over 10 Years,Special Judicial Magistrate Total,Other Type of Courts with duration of Trial Less Than 6 Months,Other Type of Courts with duration of Trial 6–12 Months,Other Type of Courts with duration of Trial 1–3 Years,Other Type of Courts with duration of Trial 3–5 Years,Other Type of Courts with duration of Trial 5–10 Years,Other Type of Courts with duration of Trial Over 10 Years,Other Type of Courts Total,Sum of All Type of Courts with duration of Trial Less Than 6 Months,Sum of All Type of Courts with duration of Trial 6–12 Months,Sum of All Type of Courts with duration of Trial 1–3 Years,Sum of All Type of Courts with duration of Trial 3–5 Years,Sum of All Type of Courts with duration of Trial 5–10 Years,Sum of All Type of Courts with duration of Trial Over 10 Years,Sum of All Type of Courts Total
1,State,Andhra Pradesh,32,1222,1681,1218,296,87,4536,343,1088,3840,1966,352,97,7686,437,1261,2005,3049,1788,248,8788,7164,14954,20683,6955,3529,453,53738,3567,6045,6326,2118,559,44,18659,1871,3147,3057,1981,421,53,10530,1389,2136,2070,851,190,73,6709,14803,29853,39662,18138,7135,1055,110646
2,State,Arunachal Pradesh,0,10,16,13,10,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,58,28,14,0,174,23,106,104,45,0,0,278,0,4,6,0,0,0,10,0,0,0,0,0,0,0,41,176,184,86,24,0,511
3,State,Assam,41,214,1121,511,345,100,2332,31,271,803,622,331,95,2153,759,1571,3113,2735,937,425,9540,301,755,2528,2312,801,268,6965,51,201,331,311,75,42,1011,43,180,363,235,92,59,972,101,112,235,199,171,85,903,1327,3304,8494,6925,2752,1074,23876
4,State,Bihar,4,125,312,473,1460,367,2741,192,924,3617,3450,2721,997,11901,269,760,1206,806,640,320,4001,705,2827,7366,6800,4446,1265,23409,87,587,1737,1885,1064,206,5566,66,478,660,345,243,175,1967,259,917,2441,2034,1125,380,7156,1582,6618,17339,15793,11699,3710,56741
5,State,Chhattisgarh,291,453,681,584,233,238,2480,201,508,734,506,121,4,2074,2303,1233,1391,750,410,72,6159,2405,2307,3544,3383,1606,517,13762,420,585,597,568,371,281,2822,43,143,234,75,12,2,509,222,187,478,529,384,336,2136,5885,5416,7659,6395,3137,1450,29942
6,State,Goa,2,2,20,5,2,1,32,0,7,22,3,2,0,34,2,10,12,2,2,1,29,85,178,512,157,57,19,1008,1,0,90,11,1,1,104,0,0,4,0,0,0,4,0,1,13,7,4,1,26,90,198,673,185,68,23,1237
7,State,Gujarat,87,183,623,500,220,38,1651,42,268,658,400,175,29,1572,4139,2764,4952,2323,1021,210,15409,3991,5386,7865,5640,2273,418,25573,1342,3087,4067,3621,2282,188,14587,522,296,409,311,178,56,1772,1183,1320,670,381,318,238,4110,11306,13304,19244,13176,6467,1177,64674
8,State,Haryana,33,257,811,313,100,7,1521,115,678,1899,832,258,10,3792,1084,1574,3883,2185,832,20,9578,1210,2286,4135,3188,1110,42,11971,974,1791,3195,2081,797,107,8945,177,468,793,312,117,17,1884,445,845,1105,1229,550,23,4197,4038,7899,15821,10140,3764,226,41888
9,State,Himachal Pradesh,3,33,93,58,17,4,208,8,43,125,76,34,5,291,85,192,376,349,211,26,1239,157,206,571,442,209,49,1634,48,93,343,341,169,35,1029,0,5,44,8,1,0,58,133,105,263,144,137,45,827,434,677,1815,1418,778,164,5286
10,State,Jammu & Kashmir,53,24,222,225,227,210,961,0,25,64,127,101,42,359,775,455,531,455,337,162,2715,771,484,754,715,670,218,3612,118,151,194,215,177,26,881,31,75,44,25,10,6,191,249,294,412,162,192,144,1453,1997,1508,2221,1924,1714,808,10172
