Sl. No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,149,35,287,0,806
2,Anti-dacoity Operations,25,8,7,0,34
3,Against Extremists and Terrorists,221,26,14,55,58
4,Against Others,87,40,20,4,73
5,Total,482,109,328,59,971
