Sr. No.,Category,State/UT,Disposal of Cases - Murder (Sec. 302 IPC) -Confession,Disposal of Cases - Murder (Sec. 302 IPC) - Trial,Disposal of Cases - Murder (Sec. 302 IPC) - Total,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Confession","Disposal of Cases - C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Trial","Disposal of Cases - C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) - Confession,Disposal of Cases - Rape (Sec. 376 IPC) - Trial,Disposal of Cases - Rape (Sec. 376 IPC) - Total,"Disposal of Cases - Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Confession","Disposal of Cases - Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",Disposal of Cases - Kidnapping & Abduction Women & Girls - Confession,Disposal of Cases - Kidnapping & Abduction Women & Girls - Trial,Disposal of Cases - Kidnapping & Abduction Women & Girls - Total,Disposal of Cases - Kidnapping & Abduction Others - Confession,Disposal of Cases - Kidnapping & Abduction Others - Trial,Disposal of Cases - Kidnapping & Abduction Others - Total,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Confession,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Trial,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Total,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Confession,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Trial,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Total,"Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Confssion","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Total","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Confession","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Trial","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Total","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Confession","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Trial","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Total - Confession,Disposal of Cases - Total - Trial,Disposal of Cases - Grand total
1,State,Andhra Pradesh,2,2417,2419,1,1430,1431,0,104,104,0,1007,1007,1,1243,1244,0,976,976,1,267,268,0,53,53,0,10,10,5,465,470,2,1617,1619,1,564,565,0,421,421,12,9331,9343
2,State,Arunachal Pradesh,6,40,46,0,18,18,0,1,1,4,19,23,4,25,29,4,25,29,0,0,0,0,10,10,0,3,3,0,8,8,0,1,1,0,7,7,0,0,0,14,132,146
3,State,Assam,26,425,451,4,141,145,1,13,14,22,747,769,70,876,946,70,661,731,0,215,215,16,213,229,0,8,8,11,265,276,71,1681,1752,4,203,207,5,39,44,230,4611,4841
4,State,Bihar,2,2173,2175,0,2073,2073,0,227,227,0,847,847,0,1560,1560,0,860,860,0,700,700,0,688,688,0,72,72,0,749,749,0,5397,5397,0,291,291,0,785,785,2,14862,14864
5,State,Chhattisgarh,361,446,807,104,287,391,3,5,8,217,669,886,32,123,155,21,89,110,11,34,45,29,52,81,0,11,11,41,204,245,217,394,611,38,108,146,26,41,67,1068,2340,3408
6,State,Goa,0,10,10,0,12,12,0,2,2,0,14,14,0,5,5,0,4,4,0,1,1,0,2,2,0,0,0,0,6,6,0,32,32,0,5,5,0,0,0,0,88,88
7,State,Gujarat,18,538,556,4,273,277,0,18,18,5,206,211,6,480,486,5,437,442,1,43,44,0,102,102,0,6,6,2,310,312,37,807,844,0,196,196,0,24,24,72,2960,3032
8,State,Haryana,0,665,665,0,531,531,0,56,56,0,578,578,2,430,432,2,293,295,0,137,137,0,98,98,2,196,198,0,395,395,0,863,863,0,129,129,0,261,261,4,4202,4206
9,State,Himachal Pradesh,0,74,74,0,47,47,0,9,9,0,130,130,0,57,57,0,50,50,0,7,7,0,2,2,0,0,0,0,10,10,0,288,288,0,36,36,0,2,2,0,655,655
10,State,Jammu & Kashmir,0,141,141,0,232,232,0,18,18,0,169,169,0,335,335,0,313,313,0,22,22,0,4,4,0,0,0,0,42,42,9,384,393,0,60,60,0,6,6,9,1391,1400
11,State,Jharkhand,11,963,974,6,731,737,0,49,49,5,469,474,7,451,458,5,308,313,2,143,145,0,218,218,0,20,20,1,330,331,20,2169,2189,0,76,76,0,166,166,50,5642,5692
12,State,Karnataka,24,1082,1106,13,1135,1148,1,42,43,4,370,374,6,417,423,0,258,258,6,159,165,0,115,115,2,268,270,39,572,611,164,4412,4576,1,103,104,4,195,199,258,8711,8969
13,State,Kerala,0,153,153,0,152,152,0,32,32,0,201,201,0,88,88,0,62,62,0,26,26,0,34,34,0,176,176,0,356,356,93,5971,6064,0,130,130,0,6,6,93,7299,7392
14,State,Madhya Pradesh,0,2522,2522,0,3251,3251,0,343,343,0,3507,3507,0,892,892,0,697,697,0,195,195,0,85,85,0,121,121,0,1891,1891,0,2708,2708,0,725,725,0,821,821,0,16866,16866
15,State,Maharashtra,5,1523,1528,4,996,1000,0,62,62,2,1010,1012,1,571,572,1,444,445,0,127,127,1,342,343,0,168,168,4,1321,1325,22,5018,5040,0,707,707,0,215,215,39,11933,11972
