Sl.No.,Category,State/UT,Population (In Lakhs) @,Infanticide (Sec. 315 IPC) - Incidence,Infanticide (Sec. 315 IPC) - Rate,Infanticide (Sec. 315 IPC) - Percentage,Murder (Sec. 302 IPC) - Incidence,Murder (Sec. 302 IPC) - Rate,Murder (Sec. 302 IPC) - Percentage,Rape (Sec. 376 IPC) - Incidence,Rape (Sec. 376 IPC) - Rate,Rape (Sec. 376 IPC) - Percentage,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Incidence","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Rate","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Percentage","Foeticide (Sec.315,316 IPC) - Incidence","Foeticide (Sec.315,316 IPC) - Rate","Foeticide (Sec.315,316 IPC) - Percentage",Abetment to Suicide (Sec.305 IPC) - Incidence,Abetment to Suicide (Sec.305 IPC) - Rate,Abetment to Suicide (Sec.305 IPC) - Percentage,Exposure and Abandonment (Sec.317 IPC) - Incidence,Exposure and Abandonment (Sec.317 IPC) - Rate,Exposure and Abandonment (Sec.317 IPC) - Percentage,Procuration of Minor Girl (Sec.366A IPC) - Incidence,Procuration of Minor Girl (Sec.366A IPC) - Rate,Procuration of Minor Girl (Sec.366A IPC) - Percentage,Buying of Girls for Prostitution (Sec.373 IPC) - Incidence,Buying of Girls for Prostitution (Sec.373 IPC) - Rate,Buying of Girls for Prostitution (Sec.373 IPC) - Percentage,Selling of Girls for Prostitution (Sec.372 IPC) - Incidence,Selling of Girls for Prostitution (Sec.372 IPC) - Rate,Selling of Girls for Prostitution (Sec.372 IPC) - Percentage,Prohibition of Child Marriage Act 2006 - Incidence,Prohibition of Child Marriage Act 2006 - Rate,Prohibition of Child Marriage Act 2006 - Percentage,Other Crimes - Incidence,Other Crimes - Rate,Other Crimes - Percentage,Total - Incidence,Total - Rate,Total - Percentage
1,State,Andhra Pradesh,846.65,0,0,0,101,0.1,7,646,0.8,9.1,735,0.9,4.8,7,0,5.3,11,0,18,53,0.1,7.6,106,0.1,12.3,0,0,0,2,0,1.8,15,0,13.3,537,0.6,7.5,2213,2.6,6.7
2,State,Arunachal Pradesh,13.83,0,0,0,0,0,0,20,1.4,0.3,15,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2.5,0.1
3,State,Assam,311.69,0,0,0,8,0,0.6,40,0.1,0.6,29,0.1,0.2,0,0,0,0,0,0,0,0,0,142,0.5,16.5,0,0,0,0,0,0,0,0,0,17,0.1,0.2,236,0.8,0.7
4,State,Bihar,1038.04,3,0,4.8,121,0.1,8.3,91,0.1,1.3,1821,1.8,11.9,1,0,0.8,0,0,0,1,0,0.1,183,0.2,21.2,1,0,3.7,1,0,0.9,0,0,0,10,0,0.1,2233,2.2,6.7
5,State,Chhattisgarh,255.4,8,0,12.7,51,0.2,3.5,477,1.9,6.7,283,1.1,1.9,21,0.1,15.9,5,0,8.2,7,0,1,15,0.1,1.7,0,0,0,1,0,0.9,5,0,4.4,909,3.6,12.7,1782,7,5.4
6,State,Goa,14.58,0,0,0,2,0.1,0.1,20,1.4,0.3,17,1.2,0.1,0,0,0,2,0.1,3.3,4,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,30,2.1,0.4,75,5.1,0.2
7,State,Gujarat,603.83,0,0,0,69,0.1,4.8,130,0.2,1.8,605,1,4,0,0,0,1,0,1.6,105,0.2,15,4,0,0.5,0,0,0,0,0,0,13,0,11.5,204,0.3,2.8,1131,1.9,3.4
8,State,Haryana,253.53,0,0,0,14,0.1,1,66,0.3,0.9,144,0.6,0.9,5,0,3.8,4,0,6.6,15,0.1,2.1,0,0,0,2,0,7.4,2,0,1.8,6,0,5.3,22,0.1,0.3,280,1.1,0.8
9,State,Himachal Pradesh,68.57,0,0,0,5,0.1,0.3,72,1.1,1,108,1.6,0.7,0,0,0,1,0,1.6,8,0.1,1.1,3,0,0.3,0,0,0,0,0,0,0,0,0,63,0.9,0.9,260,3.8,0.8
10,State,Jammu & Kashmir,125.49,0,0,0,4,0,0.3,9,0.1,0.1,5,0,0,1,0,0.8,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.1,25,0.2,0.1
11,State,Jharkhand,329.66,1,0,1.6,4,0,0.3,16,0,0.2,18,0.1,0.1,1,0,0.8,0,0,0,1,0,0.1,15,0,1.7,1,0,3.7,6,0,5.3,0,0,0,22,0.1,0.3,85,0.3,0.3
12,State,Karnataka,611.31,8,0,12.7,44,0.1,3,97,0.2,1.4,109,0.2,0.7,1,0,0.8,0,0,0,21,0,3,8,0,0.9,0,0,0,1,0,0.9,12,0,10.6,33,0.1,0.5,334,0.5,1
13,State,Kerala,333.88,1,0,1.6,46,0.1,3.2,423,1.3,5.9,129,0.4,0.8,0,0,0,2,0,3.3,4,0,0.6,9,0,1,0,0,0,0,0,0,3,0,2.7,835,2.5,11.6,1452,4.3,4.4
