Category (Col. 1),State/UT (Col. 2),Total No. of Persons Arrested (Col. 3),No. of New offenders (Col. 4),Percentage to Total New offenders (Col. 5),Old offenders Convicted in The Past - Once - No. (Col. 6),Old offenders Convicted in The Past - Once - Percentage to Total (Col. 7),Old offenders Convicted in The Past - Twice - No. (Col. 8),Old offenders Convicted in The Past - Twice - Percentage to Total (Col. 9),Old offenders Convicted in The Past - Thrice or More - No. (Col. 10),Old offenders Convicted in The Past - Thrice or More - Percentage to Total (Col. 11),Old offenders Convicted in The Past - Percentage of Recidivists (Col. 12) = Col. {(7+9)+11)}
State,Andhra Pradesh,238564,222757,93.4,11532,4.8,4015,1.7,260,0.1,6.6
State,Arunachal Pradesh,2312,2208,95.5,102,4.4,2,0.1,0,0,4.5
State,Assam,67146,66084,98.4,821,1.2,196,0.3,45,0.1,1.6
State,Bihar,252349,242487,96.1,5067,2,3802,1.5,993,0.4,3.9
State,Chhattisgarh,74017,59351,80.2,8608,11.6,1240,1.7,4818,6.5,19.8
State,Goa,3319,3308,99.7,8,0.2,2,0.1,1,0,0.3
State,Gujarat,167251,148675,88.9,17008,10.2,1147,0.7,421,0.3,11.1
State,Haryana,62708,58359,93.1,2955,4.7,1030,1.6,364,0.6,6.9
State,Himachal Pradesh,17488,17140,98,145,0.8,126,0.7,77,0.4,2
State,Jammu & Kashmir,43576,41199,94.5,2063,4.7,259,0.6,55,0.1,5.5
State,Jharkhand,51069,43325,84.8,5256,10.3,1790,3.5,698,1.4,15.2
State,Karnataka,166786,157598,94.5,7272,4.4,1312,0.8,604,0.4,5.5
State,Kerala,211771,210362,99.3,1115,0.5,242,0.1,52,0,0.7
State,Madhya Pradesh,335644,290016,86.4,34958,10.4,8054,2.4,2616,0.8,13.6
State,Maharashtra,309756,306293,98.9,2427,0.8,793,0.3,243,0.1,1.1
State,Manipur,1449,1449,100,0,0,0,0,0,0,0
State,Meghalaya,2135,1880,88.1,165,7.7,62,2.9,28,1.3,11.9
State,Mizoram,1601,1027,64.1,297,18.6,191,11.9,86,5.4,35.9
State,Nagaland,1067,810,75.9,172,16.1,68,6.4,17,1.6,24.1
State,Odisha,87129,84245,96.7,1830,2.1,871,1,183,0.2,3.3
State,Punjab,45423,38356,84.4,4994,11,1711,3.8,362,0.8,15.6
State,Rajasthan,181407,170617,94.1,8194,4.5,2106,1.2,490,0.3,5.9
State,Sikkim,718,692,96.4,15,2.1,8,1.1,3,0.4,3.6
State,Tamil Nadu,222124,199245,89.7,17701,8,4349,2,829,0.4,10.3
State,Tripura,10062,10039,99.8,20,0.2,3,0,0,0,0.2
State,Uttar Pradesh,384605,381473,99.2,2391,0.6,611,0.2,130,0,0.8
State,Uttarakhand,10666,8382,78.6,1727,16.2,395,3.7,162,1.5,21.4
State,West Bengal,143608,117673,81.9,17994,12.5,6276,4.4,1665,1.2,18.1
State,Total (States),3095750,2885050,93.2,154837,5,40661,1.3,15202,0.5,6.8
Union Territory,A & N Islands,828,807,97.5,11,1.3,4,0.5,6,0.7,2.5
Union Territory,Chandigarh,2690,1525,56.7,965,35.9,128,4.8,72,2.7,43.3
Union Territory,D & N Haveli,568,566,99.6,2,0.4,0,0,0,0,0.4
Union Territory,Daman & Diu,330,330,100,0,0,0,0,0,0,0
Union Territory,Delhi,40014,35777,89.4,2754,6.9,985,2.5,498,1.2,10.6
Union Territory,Lakshadweep,76,23,30.3,28,36.8,10,13.2,15,19.7,69.7
Union Territory,Puducherry,5589,5578,99.8,8,0.1,3,0.1,0,0,0.2
Union Territory,Total (UTs),50095,44606,89,3768,7.5,1130,2.3,591,1.2,11
Total (All-India),Total (All-India),3145845,2929656,93.1,158605,5,41791,1.3,15793,0.5,6.9
