Sl. No.,Category,State/UT,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways -Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,8572,2989.7,842,234.3,12,1.8,1589,765.5,611,346,978,419.5,99,143.7,2460,965.5,14693,6071.8,28267,11172.2
2,State,Arunachal Pradesh,159,250.4,23,52.1,0,0,0,0,0,0,0,0,0,0,91,101.9,141,1192.9,414,1597.3
3,State,Assam,3830,1357.1,79,67.5,0,0,0,0,0,0,0,0,5,1.2,1090,324.2,3305,1454.3,8309,3204.2
4,State,Bihar,6152,1362.2,574,236,0,0,1038,60.6,910,56.2,128,4.5,6,4.1,1587,371.4,6935,1543.4,16292,3577.7
5,State,Chhattisgarh,1517,402.7,117,83.1,1,0,218,119.3,117,98.7,101,20.6,10,3.8,311,183.8,3141,1590.9,5315,2383.6
6,State,Goa,220,272.5,9,34,0,0,21,20.4,18,20,3,0.4,7,35.3,91,56.1,767,724.1,1115,1142.3
7,State,Gujarat,3332,2381.4,68,136.4,6,0.7,747,237.4,256,158.6,491,78.8,33,28.2,1297,832.8,10560,7663.4,16043,11280.2
8,State,Haryana,4139,1418.4,776,281.6,0,0,520,128,142,6.9,378,121.1,43,18.1,3068,1280.4,8879,3745.3,17425,6871.7
9,State,Himachal Pradesh,115,61.9,28,77,0,0,3,1.3,3,1.3,0,0,4,1.8,125,115.4,767,804.5,1042,1061.8
10,State,Jammu & Kashmir,640,360.2,23,27.3,0,0,4,2.7,1,0.1,3,2.6,0,0,520,333.5,1468,713,2655,1436.6
11,State,Jharkhand,2587,584.4,226,98.1,0,0,383,151.3,199,60.6,184,90.8,0,0,1067,239.8,2115,608.1,6378,1681.7
12,State,Karnataka,5224,932.2,413,217.6,6,2.1,545,479.3,458,402,87,77.4,333,380.7,2487,1170.5,10826,3768.9,19834,6951.2
13,State,Kerala,946,409.6,52,23.7,3,1.8,258,210.6,196,187.7,62,22.9,1,23.9,324,163.7,3120,1519.9,4704,2353.3
14,State,Madhya Pradesh,8604,3058.3,912,349,26,19.6,1866,492.8,1240,398.2,626,94.6,17,12.7,1598,557.3,9391,3615.3,22414,8105
15,State,Maharashtra,9562,7767.6,422,437.1,164,84.4,3604,1395.5,1490,1031.4,2114,364.2,310,1069.1,3529,3106.2,35858,31273.9,53449,45133.8
16,State,Manipur,221,93.1,87,370.3,0,0,0,0,0,0,0,0,0,0,181,74,230,125.9,719,663.3
17,State,Meghalaya,276,551.2,28,42.1,0,0,0,0,0,0,0,0,0,0,28,25.1,364,505.7,696,1124.1
18,State,Mizoram,438,159.2,0,0,0,0,0,0,0,0,0,0,0,0,142,28.4,154,37.2,734,224.8
19,State,Nagaland,121,165.2,55,116.8,0,0,2,0.7,0,0,2,0.7,0,0,94,197.2,88,96.4,360,576.4
20,State,Odisha,1871,1207.6,190,239.8,0,0,849,309.4,472,219.5,377,90,27,18.4,562,460.7,5225,3010.5,8724,5246.4
21,State,Punjab,1241,1218.3,95,151,0,0,52,24.1,15,11.3,37,12.9,5,0.1,950,989.4,2441,2224.1,4784,4606.9
22,State,Rajasthan,2749,1205.9,182,284,0,0,585,166.7,105,66.3,480,100.4,3,17.5,615,215.4,16965,9563.4,21099,11452.9
23,State,Sikkim,31,8.2,0,0,0,0,0,0,0,0,0,0,0,0,7,20.4,34,10.1,72,38.7
24,State,Tamil Nadu,3427,1660.2,1353,571,11,8.6,320,115.3,188,89.8,132,25.5,5,2.2,2096,717,6712,2383.2,13924,5457.5
25,State,Tripura,169,96,0,0,0,0,0,0,0,0,0,0,1,0.8,112,32.3,212,129.7,494,258.7
26,State,Uttar Pradesh,4532,1058.4,17390,5072.8,0,0,3043,554.7,2688,535.4,355,19.3,2,10.1,980,526.8,10736,3145.7,36683,10368.5
27,State,Uttarakhand,227,76.7,16,15,0,0,5,0.8,0,0,5,0.8,0,0,41,14.3,1804,1131.8,2093,1238.6
