Sr. No. (Col. 1),Crime Head (Col. 2),Total No. for Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - Compounded or Withdrawn (Col. 5),No. of Cases - in Which Trials Completed - Convicted (Col. 6),No. of Cases - in Which Trials Completed - Acquitted or Discharged (Col. 7),No. of Cases - in Which Trials Completed - Total (Col. 8) = Col. (6+7),No. of Cases Pending Trial at the end of the year (Col. 9)
1,Infanticide (Sec.315 IPC),224,0,1,30,34,64,159
2,Murder (Sec.302 IPC),5543,0,3,413,495,908,4632
3,Rape (Sec.376 IPC),23181,0,33,1196,2558,3754,19394
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",23740,0,19,1349,2531,3880,19841
5,"Foeticide (Sec.315,316 IPC)",127,0,1,7,18,25,101
6,Abetment to Suicide (Sec.305 IPC),149,0,0,5,20,25,124
7,Exposure and Abandonment (Sec. 317 IPC),808,0,4,13,62,75,729
8,Procuration Minor Girls (Sec. 366a IPC),1334,0,0,54,179,233,1101
9,Buying of Girls for Prost. (Sec.373 IPC),155,0,1,2,12,14,140
10,Selling of Girls for Prost. (Sec.372 IPC),251,0,0,3,11,14,237
11,Prohibition of Child Marriage Act 2006,422,0,2,18,33,51,369
12,Other Crimes,24966,0,494,1530,2798,4328,20144
13,Total,80900,0,558,4620,8751,13371,66971
