Sl. No.,Category,State/UT,Total No. of PersonsUnder Arrest* Including those from Previous Year,Number of Persons Released before Trial,Number of Persons ChargeSheeted,Number of Persons Under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra pradesh,275519,45,203925,71549,26,21.8
2,State,Arunachal pradesh,212,20,84,108,50.9,0
3,State,Assam,9842,1525,1287,7030,71.4,2.1
4,State,Bihar,34134,420,19968,13746,40.3,4.2
5,State,Chhattisgarh,257380,8,255801,1571,0.6,0.5
6,State,Goa,3294,18,2978,298,9,0.1
7,State,Gujarat,284246,0,264252,19994,7,6.1
8,State,Haryana,29329,0,27043,2286,7.8,0.7
9,State,Himachal pradesh,6418,13,5055,1350,21,0.4
10,State,Jammu & kashmir,3378,2,3293,83,2.5,0
11,State,Jharkhand,9587,3,6250,3334,34.8,1
12,State,Karnataka,55666,522,49547,5597,10.1,1.7
13,State,Kerala,283654,844,271352,11458,4,3.5
14,State,Madhya pradesh,155037,93,154628,316,0.2,0.1
15,State,Maharashtra,235158,176,171009,63973,27.2,19.5
16,State,Manipur,3760,1305,251,2204,58.6,0.7
17,State,Meghalaya,617,10,159,448,72.6,0.1
18,State,Mizoram,1221,0,1175,46,3.8,0
19,State,Nagaland,769,98,455,216,28.1,0.1
20,State,Odisha,19677,0,18610,1067,5.4,0.3
21,State,Punjab ##,31795,502,20020,11273,35.5,3.4
22,State,Rajasthan,65313,0,65051,262,0.4,0.1
23,State,Sikkim,265,8,184,73,27.5,0
24,State,Tamil nadu,689899,253805,367099,68995,10,21
25,State,Tripura,472,65,301,106,22.5,0
26,State,Uttar pradesh,1984826,40169,1926701,17956,0.9,5.5
27,State,Uttarakhand,78844,9,78469,366,0.5,0.1
28,State,West bengal,24593,694,9984,13915,56.6,4.2
State,State,Total (states),4544905,300354,3924931,319620,7,97.4
29,Union territory,A & n islands,5856,0,5197,659,11.3,0.2
30,Union territory,Chandigarh,1596,2,1057,537,33.6,0.2
31,Union territory,D & n haveli,39,0,15,24,61.5,0
32,Union territory,Daman & diu,174,0,31,143,82.2,0
33,Union territory,Delhi,14627,58,7678,6891,47.1,2.1
34,Union territory,Lakshadweep,26,0,15,11,42.3,0
35,Union territory,Puducherry,1780,66,1597,117,6.6,0
Union territory,Union territory,Total (uts),24098,126,15590,8382,34.8,2.6
Total (all-india),Total (all-india),Total (all-india),4569003,300480,3940521,328002,7.2,100
