Sr. No.,Category,State/UT,"Murder (Sec.302, IPC)",Attempt to Commit Murder (Sec.307 IPC),"C.H. not Amounting to murder (Sec.304,308 IPC)","Kidnapping & Abduction (Sec.363,369,371-373 IPC)","Hurt (Sec.323-333,335-338 IPC)",Causing Death by Negligence (Sec.304A IPC),Total IPC Crimes Against Body,Percentage share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,2808,2229,171,2154,54452,13973,75787,14.41,89.51,39.93
2,State,Arunachal Pradesh,65,29,2,93,379,98,666,0.13,48.16,29.13
3,State,Assam,1303,504,48,3764,6306,2915,14840,2.82,47.61,22.24
4,State,Bihar,3198,3327,348,4268,19391,5877,36409,6.92,35.07,26.79
5,State,Chhattisgarh,1110,747,28,472,11105,2856,16318,3.1,63.89,28.52
6,State,Goa,48,22,6,28,215,263,582,0.11,39.92,16.87
7,State,Gujarat,1126,478,43,1614,10159,5827,19247,3.66,31.87,15.6
8,State,Haryana,1062,851,60,959,3423,1505,7860,1.49,31,12.94
9,State,Himachal Pradesh,130,50,6,212,1251,563,2212,0.42,32.26,15.46
10,State,Jammu & Kashmir,169,494,29,1077,246,385,2400,0.46,19.13,9.79
11,State,Jharkhand,1747,718,83,941,4403,1728,9620,1.83,29.18,26.84
12,State,Karnataka,1820,1837,85,1395,21295,750,27182,5.17,44.47,19.75
13,State,Kerala,365,521,105,299,21747,65,23102,4.39,69.19,13.42
14,State,Madhya Pradesh,2511,2340,139,1288,35711,7478,49467,9.41,68.14,22.79
15,State,Maharashtra,2818,2105,144,1669,29769,13024,49529,9.42,44.08,24.17
16,State,Manipur,78,245,4,169,292,2,790,0.15,29.02,24.55
17,State,Meghalaya,170,51,3,87,197,90,598,0.11,20.18,21.71
18,State,Mizoram,26,24,8,6,97,37,198,0.04,18.15,10.87
19,State,Nagaland,46,43,11,34,55,15,204,0.04,10.3,18.84
20,State,Odisha,1477,1621,51,1139,7894,3778,15960,3.04,38.05,26.05
21,State,Punjab,842,997,112,681,4757,3576,10965,2.09,39.58,31.43
22,State,Rajasthan,1461,1566,100,3204,17977,8122,32430,6.17,47.26,19.58
23,State,Sikkim,14,7,8,10,75,57,171,0.03,28.13,28.69
24,State,Tamil Nadu,1877,2962,28,1984,21167,16076,44094,8.39,61.12,22.86
25,State,Tripura,163,75,0,154,1340,14,1746,0.33,47.56,30.09
26,State,Uttar Pradesh,4951,4653,1454,8500,12234,14380,46172,8.78,23.13,23.66
27,State,Uttarakhand,178,189,54,314,852,696,2283,0.43,22.57,26.02
28,State,West Bengal,2109,2242,486,4285,13094,3249,25465,4.84,27.88,17.78
State,State,Total (states),33672,30927,3616,40800,299883,107399,516297,98.19,43.38,22.82
29,Union Territory,A&n Islands,14,6,2,15,81,6,124,0.02,32.63,15.64
30,Union Territory,Chandigarh,24,40,6,58,45,7,180,0.03,17.06,5.08
31,Union Territory,D&n Haveli,14,2,0,9,25,24,74,0.01,21.57,19.89
32,Union Territory,Daman & Diu,6,1,0,3,11,43,64,0.01,26.34,28.57
33,Union Territory,Delhi,543,386,71,3767,1946,1168,7881,1.5,47.04,14.77
34,Union Territory,Lakshadweep,0,1,0,0,3,0,4,0,6.25,9.09
35,Union Territory,Puducherry,32,22,12,12,853,243,1174,0.22,94.37,26.91
Union Territory,Union Territory,Total (UTs),633,458,91,3864,2964,1491,9501,1.81,47.31,15.16
Total (All-India,Total (All-India,Total (All-India,34305,31385,3707,44664,302847,108890,525798,100,43.45,22.61
